Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt9 contribution,tmean9 contribution,vpdmax9 contribution,ppt9 permutation importance,tmean9 permutation importance,vpdmax9 permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,9,0.3106,0.4135,60,0.7573,1,0.7789,0.9039,-1.0000,10009,99.9020,0.0067,0.0913,99.2693,0.0000,0.7307,8.9005,0.4441,1.0000,0.1523,0.9506,0.0000,0.0000,9.506E-1,5.0000,0.2048,0.8069,0.0000,0.0000,8.069E-1,10.0000,0.2495,0.6638,0.0000,0.0000,6.638E-1,25.7733,0.4909,0.4020,0.0000,0.0000,4.02E-1,25.7733,0.4909,0.4020,0.0000,0.0000,4.02E-1,36.2001,0.6152,0.3079,0.3333,0.0000,3.079E-1,25.7733,0.4909,0.4020,0.0000,0.0000,4.02E-1,72.8778,0.7975,0.0961,1.0000,0.0000,9.611E-2,72.8778,0.7975,0.0961,1.0000,0.0000,9.611E-2,10.3248,0.2541,0.6556,0.0000,0.0000,6.556E-1,7.4540,0.2263,0.7328,0.0000,0.0000,7.328E-1
species_1,9,0.3215,0.4268,60,0.7656,1,0.6493,0.8431,-1.0000,10009,100.0000,0.0000,0.0000,100.0000,0.0000,0.0000,8.8897,0.4389,1.0000,0.1492,0.9503,0.0000,0.0000,9.503E-1,5.0000,0.1992,0.8036,0.0000,0.0000,8.036E-1,10.0000,0.2460,0.6579,0.0000,0.0000,6.579E-1,25.8116,0.4918,0.3964,0.0000,0.0000,3.964E-1,25.8116,0.4918,0.3964,0.0000,0.0000,3.964E-1,37.5032,0.6241,0.2942,0.3333,0.0000,2.942E-1,25.8116,0.4918,0.3964,0.0000,0.0000,3.964E-1,59.8293,0.7504,0.1569,0.6667,0.0000,1.569E-1,59.8293,0.7504,0.1569,0.6667,0.0000,1.569E-1,10.4191,0.2517,0.6473,0.0000,0.0000,6.473E-1,7.5612,0.2202,0.7249,0.0000,0.0000,7.249E-1
species_2,9,0.3252,0.4323,60,0.7680,1,0.6082,0.8211,-1.0000,10009,100.0000,0.0000,0.0000,100.0000,0.0000,0.0000,8.8861,0.4371,1.0000,0.1477,0.9497,0.0000,0.0000,9.497E-1,5.0000,0.1974,0.8018,0.0000,0.0000,8.018E-1,10.0000,0.2449,0.6553,0.0000,0.0000,6.553E-1,25.6304,0.4897,0.3964,0.0000,0.0000,3.964E-1,25.6304,0.4897,0.3964,0.0000,0.0000,3.964E-1,37.3080,0.6227,0.2942,0.3333,0.0000,2.942E-1,25.6304,0.4897,0.3964,0.0000,0.0000,3.964E-1,55.5021,0.7348,0.1789,0.5556,0.0000,1.789E-1,55.5021,0.7348,0.1789,0.5556,0.0000,1.789E-1,10.4712,0.2509,0.6434,0.0000,0.0000,6.434E-1,7.5711,0.2184,0.7223,0.0000,0.0000,7.223E-1
species_3,9,0.3416,0.4536,60,0.7745,1,0.4497,0.7625,-1.0000,10009,100.0000,0.0000,0.0000,100.0000,0.0000,0.0000,8.8697,0.4293,1.0000,0.1398,0.9471,0.0000,0.0000,9.471E-1,5.0000,0.1893,0.7937,0.0000,0.0000,7.937E-1,10.0000,0.2395,0.6438,0.0000,0.0000,6.438E-1,24.8359,0.4801,0.3964,0.0000,0.0000,3.964E-1,24.8359,0.4801,0.3964,0.0000,0.0000,3.964E-1,36.4482,0.6164,0.2942,0.3333,0.0000,2.942E-1,24.8359,0.4801,0.3964,0.0000,0.0000,3.964E-1,44.6854,0.6718,0.2375,0.3333,0.0000,2.375E-1,44.6854,0.6718,0.2375,0.3333,0.0000,2.375E-1,10.5075,0.2473,0.6309,0.0000,0.0000,6.309E-1,7.6126,0.2108,0.7107,0.0000,0.0000,7.107E-1
species_4,9,0.4288,0.5430,60,0.7911,1,-0.1868,0.5966,-1.0000,10009,99.9016,0.0984,0.0000,99.6963,0.3037,0.0000,8.7824,0.3905,1.0000,0.1056,0.9303,0.0000,0.0000,9.303E-1,5.0000,0.1527,0.7446,0.0000,0.0000,7.446E-1,10.0000,0.2184,0.5811,0.0000,0.0000,5.811E-1,22.0059,0.4458,0.3833,0.0000,1.0000,1E0,22.0059,0.4458,0.3833,0.0000,1.0000,1E0,39.3493,0.6430,0.2437,0.2222,1.0000,1E0,22.0059,0.4458,0.3833,0.0000,1.0000,1E0,20.2507,0.4174,0.4034,0.0000,0.0000,4.034E-1,20.2507,0.4174,0.4034,0.0000,0.0000,4.034E-1,10.6075,0.2293,0.5655,0.0000,0.0000,5.655E-1,7.5929,0.1815,0.6512,0.0000,0.0000,6.512E-1
species_5,9,0.3415,0.4535,60,0.7745,1,0.4505,0.7627,-1.0000,10009,100.0000,0.0000,0.0000,100.0000,0.0000,0.0000,8.8698,0.4294,1.0000,0.1399,0.9471,0.0000,0.0000,9.471E-1,5.0000,0.1893,0.7937,0.0000,0.0000,7.937E-1,10.0000,0.2395,0.6439,0.0000,0.0000,6.439E-1,24.8401,0.4802,0.3964,0.0000,0.0000,3.964E-1,24.8401,0.4802,0.3964,0.0000,0.0000,3.964E-1,36.4393,0.6163,0.2943,0.3333,0.0000,2.943E-1,24.8401,0.4802,0.3964,0.0000,0.0000,3.964E-1,44.7151,0.6721,0.2373,0.4444,0.0000,2.373E-1,44.7151,0.6721,0.2373,0.4444,0.0000,2.373E-1,10.5100,0.2474,0.6309,0.0000,0.0000,6.309E-1,7.6145,0.2109,0.7107,0.0000,0.0000,7.107E-1
species_6,9,0.3191,0.4229,60,0.7638,1,0.6791,0.8593,-1.0000,10009,100.0000,0.0000,0.0000,100.0000,0.0000,0.0000,8.8922,0.4401,1.0000,0.1506,0.9507,0.0000,0.0000,9.507E-1,5.0000,0.2006,0.8049,0.0000,0.0000,8.049E-1,10.0000,0.2468,0.6596,0.0000,0.0000,6.596E-1,25.9349,0.4933,0.3964,0.0000,0.0000,3.964E-1,25.9349,0.4933,0.3964,0.0000,0.0000,3.964E-1,37.6224,0.6250,0.2943,0.3333,0.0000,2.943E-1,25.9349,0.4933,0.3964,0.0000,0.0000,3.964E-1,63.0750,0.7615,0.1407,0.8889,0.0000,1.407E-1,63.0750,0.7615,0.1407,0.8889,0.0000,1.407E-1,10.4134,0.2522,0.6492,0.0000,0.0000,6.492E-1,7.5529,0.2215,0.7267,0.0000,0.0000,7.267E-1
species_7,9,0.3200,0.4244,60,0.7645,1,0.6674,0.8529,-1.0000,10009,100.0000,0.0000,0.0000,100.0000,0.0000,0.0000,8.8912,0.4396,1.0000,0.1501,0.9505,0.0000,0.0000,9.505E-1,5.0000,0.2000,0.8044,0.0000,0.0000,8.044E-1,10.0000,0.2465,0.6590,0.0000,0.0000,6.59E-1,25.8873,0.4927,0.3964,0.0000,0.0000,3.964E-1,25.8873,0.4927,0.3964,0.0000,0.0000,3.964E-1,37.5712,0.6247,0.2943,0.3333,0.0000,2.943E-1,25.8873,0.4927,0.3964,0.0000,0.0000,3.964E-1,61.7789,0.7572,0.1471,0.7778,0.0000,1.471E-1,61.7789,0.7572,0.1471,0.7778,0.0000,1.471E-1,10.4183,0.2520,0.6484,0.0000,0.0000,6.484E-1,7.5563,0.2210,0.7260,0.0000,0.0000,7.26E-1
species_8,9,0.4245,0.5287,60,0.7915,1,-0.1278,0.6091,-1.0000,10009,100.0000,0.0000,0.0000,100.0000,0.0000,0.0000,8.7867,0.3923,1.0000,0.1082,0.9327,0.0000,0.0000,9.327E-1,5.0000,0.1543,0.7494,0.0000,0.0000,7.494E-1,10.0000,0.2205,0.5866,0.0000,0.0000,5.866E-1,21.1824,0.4315,0.3964,0.0000,0.0000,3.964E-1,21.1824,0.4315,0.3964,0.0000,0.0000,3.964E-1,40.6342,0.6448,0.2376,0.2222,1.0000,1E0,21.1824,0.4315,0.3964,0.0000,0.0000,3.964E-1,21.6527,0.4376,0.3909,0.1111,0.0000,3.909E-1,21.6527,0.4376,0.3909,0.1111,0.0000,3.909E-1,10.6385,0.2302,0.5703,0.0000,0.0000,5.703E-1,7.6696,0.1844,0.6540,0.0000,0.0000,6.54E-1
species_9,9,0.3706,0.5244,80,0.7832,1,0.0203,0.6314,-1.0000,10009,95.2907,0.0000,4.7093,90.2065,0.0000,9.7935,8.8406,0.4161,1.0000,0.1148,0.9311,0.0000,0.0000,9.311E-1,5.0000,0.1769,0.7620,0.0000,0.0000,7.62E-1,10.0000,0.2363,0.6129,0.0000,0.0000,6.129E-1,19.3246,0.4121,0.4415,0.0000,0.0000,4.415E-1,19.3246,0.4121,0.4415,0.0000,0.0000,4.415E-1,38.9151,0.6513,0.2633,0.2222,1.0000,1E0,30.3777,0.5558,0.3274,0.1111,1.0000,1E0,25.8433,0.5056,0.3686,0.1111,0.0000,3.686E-1,25.8433,0.5056,0.3686,0.1111,0.0000,3.686E-1,10.3446,0.2413,0.6043,0.0000,0.0000,6.043E-1,7.1918,0.2062,0.6903,0.0000,0.0000,6.903E-1
