x,y,species_2 cloglog values
1.0,1.0,0.6386008
2.0,2.0,0.74421084
3.0,3.0,0.83276135
4.0,4.0,0.7443503
5.0,5.0,0.19949088
6.0,6.0,0.80023116
7.0,7.0,0.2159296
8.0,8.0,0.23462208
9.0,9.0,0.81395435
10.0,10.0,0.86578125
11.0,11.0,0.8268021
12.0,12.0,0.7271719
13.0,13.0,0.79165745
14.0,14.0,0.43765172
15.0,15.0,0.6704178
16.0,16.0,0.192235
17.0,17.0,0.21034259
18.0,18.0,0.1936316
19.0,19.0,0.20021422
20.0,20.0,0.24299437
21.0,21.0,0.19334933
22.0,22.0,0.7611225
23.0,23.0,0.524868
24.0,24.0,0.722125
25.0,25.0,0.8393293
26.0,26.0,0.4041899
27.0,27.0,0.5923586
28.0,28.0,0.14577086
29.0,29.0,0.16291004
30.0,30.0,0.5623281
31.0,31.0,0.19295582
32.0,32.0,0.1966388
33.0,33.0,0.7023043
34.0,34.0,0.7773715
35.0,35.0,0.65320504
36.0,36.0,0.27767405
37.0,37.0,0.130478
38.0,38.0,0.6070248
39.0,39.0,0.1827888
40.0,40.0,0.4012697
41.0,41.0,0.45220208
42.0,42.0,0.9134324
43.0,43.0,0.71758574
44.0,44.0,0.33232772
45.0,45.0,0.31856105
46.0,46.0,0.4438762
47.0,47.0,0.630236
48.0,48.0,0.744021
49.0,49.0,0.42274433
50.0,50.0,0.1776984
51.0,51.0,0.7578039
52.0,52.0,0.19787394
53.0,53.0,0.84767896
54.0,54.0,0.21502212
55.0,55.0,0.2113852
56.0,56.0,0.82589877
57.0,57.0,0.23620696
58.0,58.0,0.6566881
59.0,59.0,0.39362985
60.0,60.0,0.17466792
61.0,61.0,0.28731957
62.0,62.0,0.20746557
63.0,63.0,0.6870804
64.0,64.0,0.24142282
65.0,65.0,0.1908923
66.0,66.0,0.80828464
67.0,67.0,0.38058716
68.0,68.0,0.409653
69.0,69.0,0.5641964
70.0,70.0,0.85999215
71.0,71.0,0.58241665
72.0,72.0,0.12670451
73.0,73.0,0.28416035
74.0,74.0,0.7131486
75.0,75.0,0.73907197
76.0,76.0,0.75102675
77.0,77.0,0.5841676
78.0,78.0,0.21411252
79.0,79.0,0.39663073
80.0,80.0,0.22336584
81.0,81.0,0.21587351
82.0,82.0,0.7426714
83.0,83.0,0.29245597
84.0,84.0,0.52256995
85.0,85.0,0.29833904
86.0,86.0,0.53103
87.0,87.0,0.6500906
88.0,88.0,0.86304265
89.0,89.0,0.7288444
90.0,90.0,0.74420184
91.0,91.0,0.8936373
92.0,92.0,0.239891
93.0,93.0,0.16955972
94.0,94.0,0.39052615
95.0,95.0,0.80002946
96.0,96.0,0.399193
97.0,97.0,0.4426786
98.0,98.0,0.7868907
99.0,99.0,0.8155679
100.0,100.0,0.32484546
101.0,101.0,0.24391007
102.0,102.0,0.20147817
103.0,103.0,0.126863
104.0,104.0,0.4330934
105.0,105.0,0.75739723
106.0,106.0,0.28385618
107.0,107.0,0.3055342
108.0,108.0,0.75217956
109.0,109.0,0.13928017
110.0,110.0,0.31164178
111.0,111.0,0.7843309
112.0,112.0,0.43992448
113.0,113.0,0.7691201
114.0,114.0,0.26980406
115.0,115.0,0.16535287
116.0,116.0,0.31292814
117.0,117.0,0.9130698
118.0,118.0,0.811857
119.0,119.0,0.5919199
120.0,120.0,0.66538024
121.0,121.0,0.26487505
122.0,122.0,0.2085627
123.0,123.0,0.85649925
124.0,124.0,0.26818532
125.0,125.0,0.5304998
126.0,126.0,0.3477951
127.0,127.0,0.5810109
128.0,128.0,0.4076466
129.0,129.0,0.8918264
130.0,130.0,0.24050306
131.0,131.0,0.18812379
132.0,132.0,0.665968
133.0,133.0,0.82508546
134.0,134.0,0.55490285
135.0,135.0,0.33445096
136.0,136.0,0.8208487
137.0,137.0,0.12044029
138.0,138.0,0.2985007
139.0,139.0,0.76819426
140.0,140.0,0.16056
141.0,141.0,0.19630828
142.0,142.0,0.22452544
143.0,143.0,0.3567985
144.0,144.0,0.19927092
145.0,145.0,0.3935829
146.0,146.0,0.12682757
147.0,147.0,0.6617977
148.0,148.0,0.2587161
149.0,149.0,0.20981984
150.0,150.0,0.6077378
151.0,151.0,0.64402765
152.0,152.0,0.7167574
153.0,153.0,0.18392497
154.0,154.0,0.16969149
155.0,155.0,0.15379211
156.0,156.0,0.7550355
157.0,157.0,0.23077077
158.0,158.0,0.19324073
159.0,159.0,0.24711499
160.0,160.0,0.46484387
161.0,161.0,0.83689183
162.0,162.0,0.80752444
163.0,163.0,0.94521916
164.0,164.0,0.21093686
