x,y,species avg
1.0,1.0,0.2496983
2.0,2.0,0.20780322
3.0,3.0,0.28544435
4.0,4.0,0.5766566
5.0,5.0,0.36551282
6.0,6.0,0.6885983
7.0,7.0,0.65026945
8.0,8.0,0.20195319
9.0,9.0,0.1739226
10.0,10.0,0.15925212
11.0,11.0,0.22558089
12.0,12.0,0.20245457
13.0,13.0,0.5715469
14.0,14.0,0.907586
15.0,15.0,0.5067328
16.0,16.0,0.23436739
17.0,17.0,0.17539677
18.0,18.0,0.23297189
19.0,19.0,0.20600301
20.0,20.0,0.41560993
21.0,21.0,0.64803153
22.0,22.0,0.7725386
23.0,23.0,0.2189572
24.0,24.0,0.20496258
25.0,25.0,0.42903176
26.0,26.0,0.3017173
27.0,27.0,0.47401828
28.0,28.0,0.19597298
29.0,29.0,0.20075183
30.0,30.0,0.71714807
31.0,31.0,0.7074058
32.0,32.0,0.26678845
33.0,33.0,0.19861603
34.0,34.0,0.19223423
35.0,35.0,0.7340925
36.0,36.0,0.82435817
37.0,37.0,0.6469689
38.0,38.0,0.4728409
39.0,39.0,0.12346546
40.0,40.0,0.18828061
41.0,41.0,0.16141127
42.0,42.0,0.4998028
43.0,43.0,0.8152898
44.0,44.0,0.25213024
45.0,45.0,0.2536756
46.0,46.0,0.83074784
47.0,47.0,0.17282529
48.0,48.0,0.19528814
49.0,49.0,0.38026562
50.0,50.0,0.7877157
51.0,51.0,0.34416208
52.0,52.0,0.26281038
53.0,53.0,0.22904202
54.0,54.0,0.89564043
55.0,55.0,0.18345389
56.0,56.0,0.8594577
57.0,57.0,0.2767468
58.0,58.0,0.34169436
59.0,59.0,0.8199553
60.0,60.0,0.122529
61.0,61.0,0.72033036
62.0,62.0,0.25433624
63.0,63.0,0.7810179
64.0,64.0,0.18376715
65.0,65.0,0.358439
66.0,66.0,0.5811904
67.0,67.0,0.6470722
68.0,68.0,0.7806378
69.0,69.0,0.22532123
70.0,70.0,0.45685154
71.0,71.0,0.23348251
72.0,72.0,0.46289423
73.0,73.0,0.51595825
74.0,74.0,0.7592775
75.0,75.0,0.11818286
76.0,76.0,0.21844468
77.0,77.0,0.26213244
78.0,78.0,0.19320181
79.0,79.0,0.15732309
80.0,80.0,0.77059484
81.0,81.0,0.70789784
82.0,82.0,0.87181246
83.0,83.0,0.16306385
84.0,84.0,0.7919259
85.0,85.0,0.27773604
86.0,86.0,0.18778771
87.0,87.0,0.5894352
88.0,88.0,0.43431205
89.0,89.0,0.18141212
90.0,90.0,0.23773184
91.0,91.0,0.3611454
92.0,92.0,0.5224913
93.0,93.0,0.57575846
94.0,94.0,0.88923895
95.0,95.0,0.45504832
96.0,96.0,0.77387744
97.0,97.0,0.20241028
98.0,98.0,0.6172657
99.0,99.0,0.17084634
100.0,100.0,0.2651691
101.0,101.0,0.9195212
