x,y,species max
1.0,1.0,0.7728179
2.0,2.0,0.14912914
3.0,3.0,0.16322547
4.0,4.0,0.78513914
5.0,5.0,0.52570784
6.0,6.0,0.8835945
7.0,7.0,0.96986556
8.0,8.0,0.19369414
9.0,9.0,0.69870204
10.0,10.0,0.23795643
11.0,11.0,0.62977487
12.0,12.0,0.16118231
13.0,13.0,0.92450374
14.0,14.0,0.8135447
15.0,15.0,0.18295264
16.0,16.0,0.16183236
17.0,17.0,0.65931714
18.0,18.0,0.48109952
19.0,19.0,0.1663248
20.0,20.0,0.40482193
21.0,21.0,0.19048253
22.0,22.0,0.22795375
23.0,23.0,0.98778206
24.0,24.0,0.8019315
25.0,25.0,0.662707
26.0,26.0,0.20503867
27.0,27.0,0.6215449
28.0,28.0,0.22652921
29.0,29.0,0.19634286
30.0,30.0,0.23346874
31.0,31.0,0.89403087
32.0,32.0,0.5201248
33.0,33.0,0.25039813
34.0,34.0,0.62084585
35.0,35.0,0.71243346
36.0,36.0,0.7759012
37.0,37.0,0.76422644
38.0,38.0,0.159758
39.0,39.0,0.32412988
40.0,40.0,0.21792158
41.0,41.0,0.78771555
42.0,42.0,0.17869547
43.0,43.0,0.2618226
44.0,44.0,0.68215245
45.0,45.0,0.20616566
46.0,46.0,0.5328236
47.0,47.0,0.2538539
48.0,48.0,0.60994875
49.0,49.0,0.21807659
50.0,50.0,0.20048034
51.0,51.0,0.32712218
52.0,52.0,0.20381105
53.0,53.0,0.1600001
54.0,54.0,0.24394742
55.0,55.0,0.7373293
56.0,56.0,0.82439584
57.0,57.0,0.19741979
58.0,58.0,0.2937861
59.0,59.0,0.2077938
60.0,60.0,0.3606633
61.0,61.0,0.49789843
62.0,62.0,0.40490866
63.0,63.0,0.27662715
64.0,64.0,0.42550248
65.0,65.0,0.23185658
66.0,66.0,0.8482815
67.0,67.0,0.469927
68.0,68.0,0.34700528
69.0,69.0,0.6862122
70.0,70.0,0.2092019
71.0,71.0,0.6296596
72.0,72.0,0.183636
73.0,73.0,0.8244907
74.0,74.0,0.71357805
75.0,75.0,0.9290758
76.0,76.0,0.83085567
77.0,77.0,0.41261193
78.0,78.0,0.74943763
79.0,79.0,0.23481986
80.0,80.0,0.30812955
81.0,81.0,0.25226527
82.0,82.0,0.23230101
83.0,83.0,0.15880857
84.0,84.0,0.14420216
85.0,85.0,0.25676686
86.0,86.0,0.79305035
87.0,87.0,0.82495135
88.0,88.0,0.28469577
89.0,89.0,0.2990798
90.0,90.0,0.8830926
91.0,91.0,0.1929871
92.0,92.0,0.2224599
93.0,93.0,0.86463654
94.0,94.0,0.4943767
95.0,95.0,0.7658238
96.0,96.0,0.25395864
97.0,97.0,0.2932604
98.0,98.0,0.63649267
