x,y,species median
1.0,1.0,0.77054036
2.0,2.0,0.14557378
3.0,3.0,0.15806693
4.0,4.0,0.6973532
5.0,5.0,0.4870631
6.0,6.0,0.8778298
7.0,7.0,0.9589294
8.0,8.0,0.18711592
9.0,9.0,0.6132811
10.0,10.0,0.21662895
11.0,11.0,0.6275155
12.0,12.0,0.15368283
13.0,13.0,0.91426235
14.0,14.0,0.74568754
15.0,15.0,0.17478557
16.0,16.0,0.1575001
17.0,17.0,0.6240843
18.0,18.0,0.47745842
19.0,19.0,0.16259465
20.0,20.0,0.3988665
21.0,21.0,0.18622771
22.0,22.0,0.21088971
23.0,23.0,0.97791046
24.0,24.0,0.75231546
25.0,25.0,0.6556738
26.0,26.0,0.19753754
27.0,27.0,0.61542964
28.0,28.0,0.22008911
29.0,29.0,0.18177657
30.0,30.0,0.21291485
31.0,31.0,0.8869599
32.0,32.0,0.5133808
33.0,33.0,0.2303436
34.0,34.0,0.6141764
35.0,35.0,0.70427233
36.0,36.0,0.7737573
37.0,37.0,0.6803568
38.0,38.0,0.15609139
39.0,39.0,0.31316248
40.0,40.0,0.2024611
41.0,41.0,0.70893866
42.0,42.0,0.17083913
43.0,43.0,0.23933539
44.0,44.0,0.67593646
45.0,45.0,0.19407804
46.0,46.0,0.5209843
47.0,47.0,0.22964951
48.0,48.0,0.60080546
49.0,49.0,0.20559026
50.0,50.0,0.19647858
51.0,51.0,0.30202657
52.0,52.0,0.18626511
53.0,53.0,0.15200368
54.0,54.0,0.22235247
55.0,55.0,0.7335016
56.0,56.0,0.76935434
57.0,57.0,0.19343857
58.0,58.0,0.28741854
59.0,59.0,0.19267058
60.0,60.0,0.3172695
61.0,61.0,0.48669484
62.0,62.0,0.3941124
63.0,63.0,0.2546147
64.0,64.0,0.4199617
65.0,65.0,0.22619781
66.0,66.0,0.7938296
67.0,67.0,0.46315503
68.0,68.0,0.33306003
69.0,69.0,0.68186533
70.0,70.0,0.20514545
71.0,71.0,0.62128365
72.0,72.0,0.1797563
73.0,73.0,0.82438123
74.0,74.0,0.6364521
75.0,75.0,0.918958
76.0,76.0,0.77180237
77.0,77.0,0.39785156
78.0,78.0,0.7154475
79.0,79.0,0.23022678
80.0,80.0,0.28754213
81.0,81.0,0.2328898
82.0,82.0,0.22751164
83.0,83.0,0.15230192
84.0,84.0,0.131798
85.0,85.0,0.24509631
86.0,86.0,0.7686004
87.0,87.0,0.7598633
88.0,88.0,0.26737335
89.0,89.0,0.27760342
90.0,90.0,0.8773929
91.0,91.0,0.17754772
92.0,92.0,0.21833088
93.0,93.0,0.8614445
94.0,94.0,0.47804475
95.0,95.0,0.76324207
