x,y,species min
1.0,1.0,0.20012413
2.0,2.0,0.15855227
3.0,3.0,0.23063236
4.0,4.0,0.52994156
5.0,5.0,0.31058547
6.0,6.0,0.656747
7.0,7.0,0.5947096
8.0,8.0,0.1561639
9.0,9.0,0.13184516
10.0,10.0,0.1187442
11.0,11.0,0.17836258
12.0,12.0,0.15388016
13.0,13.0,0.49760237
14.0,14.0,0.9038712
15.0,15.0,0.43458182
16.0,16.0,0.18582076
17.0,17.0,0.13079062
18.0,18.0,0.18378472
19.0,19.0,0.156904
20.0,20.0,0.36672097
21.0,21.0,0.59826726
22.0,22.0,0.75573355
23.0,23.0,0.17188297
24.0,24.0,0.15750268
25.0,25.0,0.37175968
26.0,26.0,0.25032794
27.0,27.0,0.42168522
28.0,28.0,0.14814828
29.0,29.0,0.15545487
30.0,30.0,0.69350296
31.0,31.0,0.67699414
32.0,32.0,0.2162998
33.0,33.0,0.15108268
34.0,34.0,0.14482556
35.0,35.0,0.712651
36.0,36.0,0.8187757
37.0,37.0,0.6077177
38.0,38.0,0.42056808
39.0,39.0,0.08867974
40.0,40.0,0.14359303
41.0,41.0,0.119765714
42.0,42.0,0.45558167
43.0,43.0,0.81020164
44.0,44.0,0.20214006
45.0,45.0,0.2036338
46.0,46.0,0.7999662
47.0,47.0,0.13085319
48.0,48.0,0.14842875
49.0,49.0,0.31840277
50.0,50.0,0.7400667
51.0,51.0,0.28590447
52.0,52.0,0.2105297
53.0,53.0,0.18037957
54.0,54.0,0.8493476
55.0,55.0,0.1382535
56.0,56.0,0.8285894
57.0,57.0,0.22536042
58.0,58.0,0.2864378
59.0,59.0,0.7622815
60.0,60.0,0.086137705
61.0,61.0,0.69226
62.0,62.0,0.20138723
63.0,63.0,0.7709431
64.0,64.0,0.13808022
65.0,65.0,0.3084933
66.0,66.0,0.5403163
67.0,67.0,0.61967075
68.0,68.0,0.7673987
69.0,69.0,0.17716193
70.0,70.0,0.40697932
71.0,71.0,0.18486795
72.0,72.0,0.41491058
73.0,73.0,0.46344265
74.0,74.0,0.74131936
75.0,75.0,0.08391069
76.0,76.0,0.16772553
77.0,77.0,0.20750426
78.0,78.0,0.1476829
79.0,79.0,0.117142074
80.0,80.0,0.7530811
81.0,81.0,0.6887422
82.0,82.0,0.8674581
83.0,83.0,0.12065532
84.0,84.0,0.7793071
85.0,85.0,0.22631101
86.0,86.0,0.13999498
87.0,87.0,0.55545115
88.0,88.0,0.38039336
89.0,89.0,0.13614617
90.0,90.0,0.18809342
91.0,91.0,0.30108786
92.0,92.0,0.4690689
93.0,93.0,0.50763667
94.0,94.0,0.886168
95.0,95.0,0.4056263
96.0,96.0,0.75664616
97.0,97.0,0.15399519
98.0,98.0,0.57592666
99.0,99.0,0.12853754
100.0,100.0,0.21457745
101.0,101.0,0.8801917
102.0,102.0,0.15247555
103.0,103.0,0.3215152
104.0,104.0,0.3504888
105.0,105.0,0.272557
