x,y,species stddev
1.0,1.0,0.017768372
2.0,2.0,0.014270967
3.0,3.0,0.0029918894
4.0,4.0,0.016493097
5.0,5.0,0.023203332
6.0,6.0,0.0059520295
7.0,7.0,0.024304556
8.0,8.0,0.024762057
9.0,9.0,0.008083413
10.0,10.0,0.0042617116
11.0,11.0,0.01118924
12.0,12.0,0.015361254
13.0,13.0,0.0065667997
14.0,14.0,0.027194327
15.0,15.0,0.013100066
16.0,16.0,0.022867093
17.0,17.0,0.027100053
18.0,18.0,0.026935145
19.0,19.0,0.02629824
20.0,20.0,0.025302183
21.0,21.0,0.025476934
22.0,22.0,0.013418604
23.0,23.0,0.022858245
24.0,24.0,0.015526178
25.0,25.0,0.017145636
26.0,26.0,0.03055271
27.0,27.0,0.018255508
28.0,28.0,0.022611529
29.0,29.0,0.02070178
30.0,30.0,0.026989734
31.0,31.0,0.02502353
32.0,32.0,0.02665041
33.0,33.0,0.0143718235
34.0,34.0,0.011064841
35.0,35.0,0.0184386
36.0,36.0,0.030357487
37.0,37.0,0.021023002
38.0,38.0,0.02624873
39.0,39.0,0.025650728
40.0,40.0,0.029915648
41.0,41.0,0.02535738
42.0,42.0,0.011246259
43.0,43.0,0.015742613
44.0,44.0,0.03202252
45.0,45.0,0.027351703
46.0,46.0,0.02742132
47.0,47.0,0.027637668
48.0,48.0,0.011192204
49.0,49.0,0.028904997
50.0,50.0,0.022769812
51.0,51.0,0.0120763155
52.0,52.0,0.0245662
53.0,53.0,0.0104091335
54.0,54.0,0.02410418
55.0,55.0,0.023675002
56.0,56.0,0.019826008
57.0,57.0,0.027571687
58.0,58.0,0.019017046
59.0,59.0,0.027797049
60.0,60.0,0.023146762
61.0,61.0,0.030416679
62.0,62.0,0.023548078
63.0,63.0,0.016382158
64.0,64.0,0.024846314
65.0,65.0,0.022573369
66.0,66.0,0.018814404
67.0,67.0,0.03215095
68.0,68.0,0.030228814
69.0,69.0,0.028183326
70.0,70.0,0.003292165
71.0,71.0,0.024975156
72.0,72.0,0.018694893
73.0,73.0,0.02634337
74.0,74.0,0.009397549
75.0,75.0,0.01286555
76.0,76.0,0.016099216
77.0,77.0,0.023436576
78.0,78.0,0.023913004
79.0,79.0,0.029904993
80.0,80.0,0.02614626
81.0,81.0,0.024188414
82.0,82.0,0.013223935
83.0,83.0,0.031337272
84.0,84.0,0.02546591
85.0,85.0,0.028943256
86.0,86.0,0.026965372
87.0,87.0,0.023883024
88.0,88.0,0.0027746232
89.0,89.0,0.009780322
90.0,90.0,0.01908565
91.0,91.0,0.010841089
92.0,92.0,0.024726847
93.0,93.0,0.021782462
94.0,94.0,0.026346222
95.0,95.0,0.0137424795
96.0,96.0,0.029298345
97.0,97.0,0.025693795
98.0,98.0,0.015577915
99.0,99.0,0.024687888
100.0,100.0,0.030575532
101.0,101.0,0.02493194
102.0,102.0,0.024768192
103.0,103.0,0.022507144
104.0,104.0,0.030453501
105.0,105.0,0.0111930035
106.0,106.0,0.029357295
107.0,107.0,0.026542207
108.0,108.0,0.012722714
109.0,109.0,0.022619627
110.0,110.0,0.026818885
111.0,111.0,0.0038609798
112.0,112.0,0.026079772
113.0,113.0,0.009398711
114.0,114.0,0.025820998
115.0,115.0,0.023794092
116.0,116.0,0.027076503
117.0,117.0,0.008565808
118.0,118.0,0.00566382
119.0,119.0,0.030715793
120.0,120.0,0.015367963
121.0,121.0,0.030152634
122.0,122.0,0.026801135
123.0,123.0,0.016294207
124.0,124.0,0.029709542
125.0,125.0,0.023958877
126.0,126.0,0.026831254
127.0,127.0,0.035102036
128.0,128.0,0.026939344
129.0,129.0,0.008164983
130.0,130.0,0.029477147
131.0,131.0,0.022622792
132.0,132.0,0.025668785
133.0,133.0,0.0106877405
134.0,134.0,0.022250213
135.0,135.0,0.026730197
136.0,136.0,0.0047524893
137.0,137.0,0.02255961
138.0,138.0,0.027594555
139.0,139.0,0.022992639
140.0,140.0,0.022410428
141.0,141.0,0.023003334
142.0,142.0,0.024302863
143.0,143.0,0.027039787
144.0,144.0,0.025995288
145.0,145.0,0.03245691
146.0,146.0,0.018700784
147.0,147.0,0.0168828
148.0,148.0,0.03064798
149.0,149.0,0.024221012
150.0,150.0,0.019830044
151.0,151.0,0.03465648
152.0,152.0,0.019090429
153.0,153.0,0.023674669
154.0,154.0,0.021201452
155.0,155.0,0.022935439
156.0,156.0,0.010911103
157.0,157.0,0.02436543
158.0,158.0,0.022949027
159.0,159.0,0.027895698
160.0,160.0,0.030757165
161.0,161.0,0.007550974
162.0,162.0,0.005773292
163.0,163.0,0.010510477
164.0,164.0,0.024717761
165.0,165.0,0.027581314
166.0,166.0,0.0026246342
167.0,167.0,0.026354808
168.0,168.0,0.028911944
169.0,169.0,0.012573919
170.0,170.0,0.026489835
171.0,171.0,0.02837484
172.0,172.0,0.02356544
173.0,173.0,0.028152142
174.0,174.0,0.029149504
175.0,175.0,0.018913075
176.0,176.0,0.02621024
177.0,177.0,0.027181353
178.0,178.0,0.029747076
179.0,179.0,0.015062014
180.0,180.0,0.015105745
181.0,181.0,0.026174653
182.0,182.0,0.022703456
