Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt11 contribution,tdmean11 contribution,tmean11 contribution,vpdmin11 contribution,ppt11 permutation importance,tdmean11 permutation importance,tmean11 permutation importance,vpdmin11 permutation importance,Training gain without ppt11,Training gain without tdmean11,Training gain without tmean11,Training gain without vpdmin11,Training gain with only ppt11,Training gain with only tdmean11,Training gain with only tmean11,Training gain with only vpdmin11,Test gain without ppt11,Test gain without tdmean11,Test gain without tmean11,Test gain without vpdmin11,Test gain with only ppt11,Test gain with only tdmean11,Test gain with only tmean11,Test gain with only vpdmin11,AUC without ppt11,AUC without tdmean11,AUC without tmean11,AUC without vpdmin11,AUC with only ppt11,AUC with only tdmean11,AUC with only tmean11,AUC with only vpdmin11,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,9,0.2089,0.3499,60,0.7314,1,0.5874,0.8957,-1.0000,10009,0.0000,6.7460,0.0000,93.2540,0.0000,63.2019,0.0000,36.7981,0.2089,0.1990,0.2089,0.1127,0.0721,0.0620,0.0000,0.1990,0.5874,0.6444,0.5874,0.3324,0.4288,-0.0359,0.0000,0.6444,0.8957,0.9210,0.8957,0.8159,0.9144,0.5371,0.5000,0.9210,9.0024,0.5002,1.0000,0.1342,0.9156,0.0000,0.0000,9.156E-1,5.0000,0.2843,0.7745,0.0000,0.0000,7.745E-1,10.0000,0.3873,0.6770,0.0000,0.0000,6.77E-1,18.6899,0.4901,0.5531,0.0000,0.0000,5.531E-1,18.6899,0.4901,0.5531,0.0000,0.0000,5.531E-1,42.5602,0.6575,0.3333,0.3333,0.0000,3.333E-1,18.6899,0.4901,0.5531,0.0000,0.0000,5.531E-1,78.2469,0.7678,0.1043,0.6667,0.0000,1.043E-1,78.2469,0.7678,0.1043,0.6667,0.0000,1.043E-1,4.7386,0.2771,0.7810,0.0000,0.0000,7.81E-1,3.6086,0.2411,0.8115,0.0000,0.0000,8.115E-1
species_1,9,0.2409,0.4019,60,0.7573,1,0.2205,0.6607,-1.0000,10009,24.7907,0.1158,0.0000,75.0935,56.9172,5.4332,0.0000,37.6496,0.2299,0.2407,0.2409,0.1608,0.1536,0.0289,0.0007,0.2299,0.3545,0.1971,0.2205,-0.0593,-0.2391,0.2830,-0.0449,0.3447,0.7123,0.6520,0.6607,0.5802,0.4952,0.8864,0.1211,0.7065,8.9703,0.4823,1.0000,0.1253,0.9163,0.0000,0.0000,9.163E-1,5.0000,0.2708,0.7702,0.0000,0.0000,7.702E-1,10.0000,0.3644,0.6695,0.0000,0.0000,6.695E-1,17.8537,0.4476,0.5504,0.0000,0.0000,5.504E-1,17.8537,0.4476,0.5504,0.0000,0.0000,5.504E-1,39.4700,0.6293,0.3333,0.3333,1.0000,1E0,17.8537,0.4476,0.5504,0.0000,0.0000,5.504E-1,38.7163,0.6246,0.3393,0.3333,0.0000,3.393E-1,38.7163,0.6246,0.3393,0.3333,0.0000,3.393E-1,4.9627,0.2697,0.7712,0.0000,0.0000,7.712E-1,4.3995,0.2537,0.7858,0.0000,0.0000,7.858E-1
species_2,9,0.2591,0.4248,60,0.7645,1,0.0679,0.5990,-1.0000,10009,28.8995,0.0850,0.0000,71.0155,53.8057,4.8914,0.0000,41.3029,0.2459,0.2589,0.2591,0.1749,0.1682,0.0293,0.0011,0.2458,0.2209,0.0471,0.0679,-0.1690,-0.3403,0.2701,-0.0593,0.2145,0.6282,0.5944,0.5990,0.5090,0.4374,0.8769,0.1135,0.6268,8.9522,0.4728,1.0000,0.1183,0.9104,0.0000,0.0000,9.104E-1,5.0000,0.2651,0.7612,0.0000,0.0000,7.612E-1,10.0000,0.3551,0.6595,0.0000,0.0000,6.595E-1,16.9076,0.4316,0.5522,0.0000,0.0000,5.522E-1,16.9076,0.4316,0.5522,0.0000,0.0000,5.522E-1,38.3098,0.6205,0.3333,0.3333,1.0000,1E0,16.9076,0.4316,0.5522,0.0000,0.0000,5.522E-1,30.4224,0.5622,0.4010,0.2222,0.0000,4.01E-1,30.4224,0.5622,0.4010,0.2222,0.0000,4.01E-1,5.0148,0.2656,0.7609,0.0000,0.0000,7.609E-1,4.5952,0.2537,0.7717,0.0000,0.0000,7.717E-1
species_3,9,0.3289,0.4944,60,0.7755,1,-0.4011,0.4472,-1.0000,10009,8.4248,0.0069,0.0000,91.5683,5.8068,0.6364,0.0000,93.5569,0.3257,0.3289,0.3289,0.1795,0.1711,0.0322,0.0004,0.3257,-0.3724,-0.4070,-0.4011,-0.2073,-0.3604,0.2226,-0.0344,-0.3724,0.4452,0.4447,0.4472,0.4814,0.4253,0.8367,0.1294,0.4452,8.8823,0.4391,1.0000,0.0913,0.8673,0.0000,0.0000,8.673E-1,5.0000,0.2447,0.7094,0.0000,0.0000,7.094E-1,10.0000,0.3378,0.6053,0.0000,0.0000,6.053E-1,14.0887,0.3948,0.5406,0.0000,1.0000,1E0,14.0887,0.3948,0.5406,0.0000,1.0000,1E0,34.4727,0.6110,0.3333,0.3333,1.0000,1E0,27.8125,0.5580,0.3875,0.1111,1.0000,1E0,13.2553,0.3824,0.5528,0.0000,1.0000,1E0,13.2545,0.3824,0.5528,0.0000,0.0000,5.528E-1,5.2354,0.2501,0.7035,0.0000,0.0000,7.035E-1,4.6077,0.2373,0.7197,0.0000,0.0000,7.197E-1
species_4,9,0.2577,0.4176,80,0.7614,1,0.1570,0.5951,-1.0000,10009,0.0000,0.0000,0.0000,100.0000,0.0000,23.1523,0.0000,76.8477,0.2577,0.2547,0.2577,0.1109,0.0841,0.0482,0.0000,0.2547,0.1570,0.1450,0.1570,0.3299,0.3062,0.0728,0.0000,0.1450,0.5951,0.6002,0.5951,0.8368,0.8534,0.6852,0.5000,0.6002,8.9535,0.4745,1.0000,0.1108,0.8932,0.0000,0.0000,8.932E-1,5.0000,0.2716,0.7424,0.0000,0.0000,7.424E-1,10.0000,0.3694,0.6428,0.0000,0.0000,6.428E-1,15.4898,0.4386,0.5603,0.0000,0.0000,5.603E-1,15.4898,0.4386,0.5603,0.0000,0.0000,5.603E-1,39.2824,0.6464,0.3333,0.3333,1.0000,1E0,39.0810,0.6455,0.3347,0.2222,1.0000,1E0,30.2036,0.5951,0.4049,0.2222,0.0000,4.049E-1,30.2036,0.5951,0.4049,0.2222,0.0000,4.049E-1,4.8464,0.2658,0.7462,0.0000,0.0000,7.462E-1,3.8497,0.2358,0.7728,0.0000,0.0000,7.728E-1
species_5,9,0.2047,0.3416,80,0.7291,1,0.6386,0.9184,-1.0000,10009,0.0507,6.9759,0.0000,92.9734,0.0000,67.1086,0.0000,32.8914,0.2047,0.1947,0.2047,0.1166,0.0769,0.0618,0.0000,0.1947,0.6386,0.6991,0.6386,0.2911,0.3767,-0.0341,0.0000,0.6991,0.9184,0.9572,0.9184,0.7859,0.8956,0.5405,0.5000,0.9572,9.0065,0.5025,1.0000,0.1369,0.9174,0.0000,0.0000,9.174E-1,5.0000,0.2856,0.7773,0.0000,0.0000,7.773E-1,10.0000,0.3898,0.6799,0.0000,0.0000,6.799E-1,18.9530,0.4939,0.5530,0.0000,0.0000,5.53E-1,18.9530,0.4939,0.5530,0.0000,0.0000,5.53E-1,42.8427,0.6583,0.3333,0.3333,0.0000,3.333E-1,18.9530,0.4939,0.5530,0.0000,0.0000,5.53E-1,82.5479,0.7863,0.0816,0.8889,0.0000,8.163E-2,82.5479,0.7863,0.0816,0.8889,0.0000,8.163E-2,4.7109,0.2779,0.7845,0.0000,0.0000,7.845E-1,3.5897,0.2409,0.8148,0.0000,0.0000,8.148E-1
species_6,9,0.3403,0.5036,60,0.7775,1,-0.4481,0.4340,-1.0000,10009,0.0000,0.5210,0.0000,99.4790,0.0000,11.1325,0.0000,88.8675,0.3403,0.3388,0.3403,0.1203,0.0952,0.0474,0.0000,0.3388,-0.4481,-0.4636,-0.4481,0.2480,0.2077,0.0788,0.0000,-0.4636,0.4340,0.4230,0.4340,0.7754,0.7843,0.6919,0.5000,0.4230,8.8709,0.4345,1.0000,0.0872,0.8513,0.0000,0.0000,8.513E-1,5.0000,0.2412,0.6938,0.0000,0.0000,6.938E-1,10.0000,0.3408,0.5916,0.0000,0.0000,5.916E-1,13.4786,0.3959,0.5375,0.0000,1.0000,1E0,13.4786,0.3959,0.5375,0.0000,1.0000,1E0,34.2883,0.6157,0.3333,0.3333,1.0000,1E0,25.5446,0.5508,0.4034,0.1111,1.0000,1E0,11.5714,0.3653,0.5660,0.0000,1.0000,1E0,11.5709,0.3653,0.5660,0.0000,0.0000,5.66E-1,5.2712,0.2477,0.6870,0.0000,0.0000,6.87E-1,4.3390,0.2276,0.7115,0.0000,0.0000,7.115E-1
species_7,9,0.2288,0.3884,60,0.7512,1,0.3890,0.7348,-1.0000,10009,0.9552,10.2880,0.0000,88.7567,0.0000,70.7761,0.0000,29.2239,0.2284,0.2136,0.2288,0.1412,0.0913,0.0747,0.0000,0.2136,0.3896,0.4902,0.3890,0.0816,0.2407,-0.1301,0.0000,0.4901,0.7319,0.7969,0.7348,0.6007,0.8076,0.4328,0.5000,0.7975,8.9824,0.4894,1.0000,0.1262,0.9086,0.0000,0.0000,9.086E-1,5.0000,0.2748,0.7639,0.0000,0.0000,7.639E-1,10.0000,0.3725,0.6648,0.0000,0.0000,6.648E-1,18.6237,0.4872,0.5412,0.0000,0.0000,5.412E-1,18.6237,0.4872,0.5412,0.0000,0.0000,5.412E-1,41.1414,0.6500,0.3333,0.3333,0.0000,3.333E-1,18.6237,0.4872,0.5412,0.0000,0.0000,5.412E-1,50.6496,0.6908,0.2652,0.4444,0.0000,2.652E-1,50.6496,0.6908,0.2652,0.4444,0.0000,2.652E-1,4.9248,0.2723,0.7658,0.0000,0.0000,7.658E-1,3.8232,0.2409,0.7954,0.0000,0.0000,7.954E-1
species_8,9,0.1996,0.3313,60,0.7246,1,0.7007,0.9489,-1.0000,10009,0.0000,5.1857,0.0000,94.8143,0.0000,61.8518,0.0000,38.1482,0.1996,0.1921,0.1996,0.1019,0.0667,0.0553,0.0000,0.1921,0.7007,0.7359,0.7007,0.4413,0.5000,0.0162,0.0000,0.7359,0.9489,0.9746,0.9489,0.8926,0.9350,0.6130,0.5000,0.9746,9.0117,0.5053,1.0000,0.1387,0.9195,0.0000,0.0000,9.195E-1,5.0000,0.2884,0.7802,0.0000,0.0000,7.802E-1,10.0000,0.3917,0.6830,0.0000,0.0000,6.83E-1,19.0522,0.4954,0.5550,0.0000,0.0000,5.55E-1,19.0522,0.4954,0.5550,0.0000,0.0000,5.55E-1,43.1746,0.6617,0.3333,0.3333,0.0000,3.333E-1,19.0522,0.4954,0.5550,0.0000,0.0000,5.55E-1,88.7887,0.8080,0.0511,1.0000,0.0000,5.105E-2,88.7887,0.8080,0.0511,1.0000,0.0000,5.105E-2,4.6743,0.2793,0.7882,0.0000,0.0000,7.882E-1,3.5363,0.2394,0.8191,0.0000,0.0000,8.191E-1
species_9,9,0.2047,0.3419,80,0.7275,1,0.6316,0.9177,-1.0000,10009,0.0000,4.3570,0.0000,95.6430,0.0000,54.9065,0.0000,45.0935,0.2047,0.1981,0.2047,0.1048,0.0717,0.0536,0.0000,0.1981,0.6316,0.6551,0.6316,0.3989,0.4339,0.0289,0.0000,0.6551,0.9177,0.9283,0.9177,0.8720,0.9155,0.6327,0.5000,0.9283,9.0066,0.5025,1.0000,0.1361,0.9173,0.0000,0.0000,9.173E-1,5.0000,0.2871,0.7766,0.0000,0.0000,7.766E-1,10.0000,0.3895,0.6792,0.0000,0.0000,6.792E-1,18.6603,0.4898,0.5561,0.0000,0.0000,5.561E-1,18.6603,0.4898,0.5561,0.0000,0.0000,5.561E-1,42.8194,0.6608,0.3333,0.3333,0.0000,3.333E-1,18.6603,0.4898,0.5561,0.0000,0.0000,5.561E-1,82.6469,0.7840,0.0823,0.7778,0.0000,8.233E-2,82.6469,0.7840,0.0823,0.7778,0.0000,8.233E-2,4.7112,0.2780,0.7837,0.0000,0.0000,7.837E-1,3.5593,0.2397,0.8149,0.0000,0.0000,8.149E-1
