Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt9 contribution,tmean9 contribution,vpdmax9 contribution,ppt9 permutation importance,tmean9 permutation importance,vpdmax9 permutation importance,Training gain without ppt9,Training gain without tmean9,Training gain without vpdmax9,Training gain with only ppt9,Training gain with only tmean9,Training gain with only vpdmax9,Test gain without ppt9,Test gain without tmean9,Test gain without vpdmax9,Test gain with only ppt9,Test gain with only tmean9,Test gain with only vpdmax9,AUC without ppt9,AUC without tmean9,AUC without vpdmax9,AUC with only ppt9,AUC with only tmean9,AUC with only vpdmax9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,8,0.0319,0.1118,60,0.6871,1,0.2593,0.8624,-1.0000,10008,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000,0.0319,0.0000,0.0319,0.0000,0.0319,0.0000,0.2593,0.0036,0.2593,0.0000,0.2593,0.0036,0.8624,0.6914,0.8624,0.5000,0.8624,0.6914,9.1792,0.6091,1.0000,0.4588,0.9840,0.0000,0.0000,9.84E-1,5.0000,0.4831,0.9232,0.0000,0.0000,9.232E-1,10.0000,0.5042,0.8522,0.1250,0.0000,8.522E-1,6.2319,0.4892,0.9053,0.0000,0.0000,9.053E-1,6.2319,0.4892,0.9053,0.0000,0.0000,9.053E-1,66.3478,0.6766,0.2500,0.2500,0.0000,2.5E-1,66.3478,0.6766,0.2500,0.2500,0.0000,2.5E-1,80.0131,0.7150,0.1376,0.8750,0.0000,1.376E-1,80.0131,0.7150,0.1376,0.8750,0.0000,1.376E-1,0.0059,0.4369,1.0000,0.0000,0.0000,1E0,1.9920,0.4654,0.9685,0.0000,0.0000,9.685E-1
species_1,8,0.0441,0.1405,60,0.7011,1,0.1736,0.7499,-1.0000,10008,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000,0.0441,0.0003,0.0441,0.0000,0.0441,0.0003,0.1736,0.0091,0.1736,0.0000,0.1736,0.0091,0.7499,0.6458,0.7499,0.5000,0.7499,0.6458,9.1671,0.6006,1.0000,0.4272,0.9825,0.0000,0.0000,9.825E-1,5.0000,0.4566,0.9169,0.0000,0.0000,9.169E-1,10.0000,0.4804,0.8415,0.1250,0.0000,8.415E-1,5.7485,0.4609,0.9053,0.0000,0.0000,9.053E-1,5.7485,0.4609,0.9053,0.0000,0.0000,9.053E-1,64.7352,0.6797,0.2500,0.2500,1.0000,1E0,69.8735,0.6891,0.2073,0.2500,1.0000,1E0,64.7114,0.6796,0.2501,0.2500,0.0000,2.501E-1,64.7114,0.6796,0.2501,0.2500,0.0000,2.501E-1,0.0054,0.4018,1.0000,0.0000,0.0000,1E0,2.5237,0.4380,0.9568,0.0000,0.0000,9.568E-1
species_2,8,0.0412,0.1354,60,0.6940,1,0.1880,0.7793,-1.0000,10008,0.1367,99.8633,0.0000,0.0000,100.0000,0.0000,0.0411,0.0008,0.0412,0.0000,0.0411,0.0003,0.1942,-0.0057,0.1880,-0.0035,0.1942,0.0093,0.7928,0.4163,0.7793,0.3823,0.7928,0.6441,9.1700,0.6026,1.0000,0.4338,0.9828,0.0000,0.0000,9.828E-1,5.0000,0.4625,0.9183,0.0000,0.0000,9.183E-1,10.0000,0.4872,0.8438,0.1250,0.0000,8.438E-1,5.7585,0.4667,0.9067,0.0000,0.0000,9.067E-1,5.7585,0.4667,0.9067,0.0000,0.0000,9.067E-1,65.0050,0.6787,0.2500,0.2500,0.0000,2.5E-1,65.1825,0.6792,0.2485,0.2500,0.0000,2.485E-1,68.5034,0.6859,0.2207,0.3750,0.0000,2.207E-1,68.5034,0.6859,0.2207,0.3750,0.0000,2.207E-1,0.0055,0.4113,1.0000,0.0000,0.0000,1E0,2.3999,0.4437,0.9596,0.0000,0.0000,9.596E-1
species_3,8,0.0392,0.1296,60,0.6936,1,0.2075,0.8107,-1.0000,10008,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000,0.0392,0.0001,0.0392,0.0000,0.0392,0.0001,0.2075,0.0064,0.2075,0.0000,0.2075,0.0064,0.8107,0.6671,0.8107,0.5000,0.8107,0.6671,9.1719,0.6040,1.0000,0.4394,0.9831,0.0000,0.0000,9.831E-1,5.0000,0.4666,0.9194,0.0000,0.0000,9.194E-1,10.0000,0.4895,0.8456,0.1250,0.0000,8.456E-1,5.9301,0.4718,0.9053,0.0000,0.0000,9.053E-1,5.9301,0.4718,0.9053,0.0000,0.0000,9.053E-1,65.3457,0.6786,0.2501,0.2500,0.0000,2.501E-1,65.3457,0.6786,0.2501,0.2500,0.0000,2.501E-1,72.6463,0.6937,0.1893,0.5000,0.0000,1.893E-1,72.6463,0.6937,0.1893,0.5000,0.0000,1.893E-1,0.0056,0.4151,1.0000,0.0000,0.0000,1E0,2.3181,0.4481,0.9615,0.0000,0.0000,9.615E-1
species_4,8,0.0322,0.1125,60,0.6874,1,0.2573,0.8599,-1.0000,10008,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000,0.0322,0.0004,0.0322,0.0000,0.0322,0.0004,0.2573,0.0096,0.2573,0.0000,0.2573,0.0096,0.8599,0.6389,0.8599,0.5000,0.8599,0.6389,9.1790,0.6089,1.0000,0.4580,0.9839,0.0000,0.0000,9.839E-1,5.0000,0.4825,0.9230,0.0000,0.0000,9.23E-1,10.0000,0.5037,0.8519,0.1250,0.0000,8.519E-1,6.2200,0.4885,0.9052,0.0000,0.0000,9.052E-1,6.2200,0.4885,0.9052,0.0000,0.0000,9.052E-1,66.3068,0.6767,0.2501,0.2500,0.0000,2.501E-1,66.3068,0.6767,0.2501,0.2500,0.0000,2.501E-1,79.6532,0.7142,0.1401,0.7500,0.0000,1.401E-1,79.6532,0.7142,0.1401,0.7500,0.0000,1.401E-1,0.0059,0.4360,1.0000,0.0000,0.0000,1E0,2.0007,0.4646,0.9683,0.0000,0.0000,9.683E-1
species_5,8,0.0270,0.0980,60,0.6825,1,0.2974,0.8996,-1.0000,10008,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000,0.0270,0.0000,0.0270,0.0000,0.0270,0.0000,0.2974,0.0000,0.2974,0.0000,0.2974,0.0000,0.8996,0.5000,0.8996,0.5000,0.8996,0.5000,9.1842,0.6126,1.0000,0.4733,0.9846,0.0000,0.0000,9.846E-1,5.0000,0.4954,0.9259,0.0000,0.0000,9.259E-1,10.0000,0.5150,0.8568,0.1250,0.0000,8.568E-1,6.4628,0.5020,0.9053,0.0000,0.0000,9.053E-1,6.4628,0.5020,0.9053,0.0000,0.0000,9.053E-1,67.0856,0.6748,0.2501,0.2500,0.0000,2.501E-1,67.0856,0.6748,0.2501,0.2500,0.0000,2.501E-1,85.4175,0.7303,0.1004,1.0000,0.0000,1.004E-1,85.4175,0.7303,0.1004,1.0000,0.0000,1.004E-1,0.0062,0.4531,1.0000,0.0000,0.0000,1E0,1.7514,0.4781,0.9733,0.0000,0.0000,9.733E-1
species_6,8,0.0337,0.1163,60,0.6888,1,0.2465,0.8485,-1.0000,10008,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000,0.0337,0.0000,0.0337,0.0000,0.0337,0.0000,0.2465,0.0000,0.2465,0.0000,0.2465,0.0000,0.8485,0.5000,0.8485,0.5000,0.8485,0.5000,9.1775,0.6079,1.0000,0.4539,0.9837,0.0000,0.0000,9.837E-1,5.0000,0.4791,0.9222,0.0000,0.0000,9.222E-1,10.0000,0.5005,0.8505,0.1250,0.0000,8.505E-1,6.1549,0.4848,0.9052,0.0000,0.0000,9.052E-1,6.1549,0.4848,0.9052,0.0000,0.0000,9.052E-1,66.0965,0.6772,0.2500,0.2500,0.0000,2.5E-1,66.0965,0.6772,0.2500,0.2500,0.0000,2.5E-1,78.0301,0.7098,0.1515,0.6250,0.0000,1.515E-1,78.0301,0.7098,0.1515,0.6250,0.0000,1.515E-1,0.0058,0.4314,1.0000,0.0000,0.0000,1E0,2.0736,0.4611,0.9668,0.0000,0.0000,9.668E-1
species_7,8,0.0934,0.2255,60,0.7398,1,-0.1724,0.4406,-1.0000,10008,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000,0.0934,0.0035,0.0934,0.0000,0.0934,0.0035,-0.1724,-0.0081,-0.1724,0.0000,-0.1724,-0.0081,0.4406,0.5019,0.4406,0.5000,0.4406,0.5019,9.1178,0.5676,1.0000,0.3333,0.9767,0.0000,0.0000,9.767E-1,5.0000,0.3783,0.8941,0.1250,0.0000,8.941E-1,10.0000,0.4104,0.8036,0.1250,0.0000,8.036E-1,4.4248,0.3725,0.9052,0.0000,0.0000,9.052E-1,4.4248,0.3725,0.9052,0.0000,0.0000,9.052E-1,59.6154,0.6802,0.2500,0.2500,1.0000,1E0,59.5904,0.6802,0.2501,0.1250,1.0000,1E0,26.8188,0.5356,0.5594,0.1250,1.0000,1E0,26.8126,0.5354,0.5594,0.1250,0.0000,5.594E-1,0.0118,0.3027,0.9998,0.0000,0.0000,9.998E-1,4.1448,0.3703,0.9108,0.0000,0.0000,9.108E-1
species_8,8,0.2557,0.3807,60,0.7830,1,-1.2489,0.0947,-1.0000,10008,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000,0.2557,0.1066,0.2557,0.0000,0.2557,0.0679,-1.2489,-1.0242,-1.2489,0.0000,-1.2489,-0.5231,0.0947,0.0132,0.0947,0.5000,0.0947,0.1310,8.9554,0.4726,1.0000,0.1710,0.9553,0.0000,0.0000,9.553E-1,5.0000,0.2341,0.8212,0.0000,1.0000,1E0,10.0000,0.2915,0.6931,0.0000,1.0000,1E0,17.3111,0.4043,0.5594,0.0000,1.0000,1E0,17.3111,0.4043,0.5594,0.0000,1.0000,1E0,48.2080,0.6385,0.2500,0.2500,1.0000,1E0,48.1817,0.6385,0.2501,0.1250,1.0000,1E0,2.3309,0.1992,0.9053,0.0000,1.0000,1E0,2.3296,0.1992,0.9053,0.0000,0.0000,9.053E-1,7.8561,0.2663,0.7442,0.0000,1.0000,1E0,6.6886,0.2523,0.7743,0.0000,1.0000,1E0
species (average),8.0000,0.0665,0.1611,60.0000,0.7064,1.0000,0.0231,0.7051,-1.0000,10008.0000,0.0152,99.9848,0.0000,0.0000,100.0000,0.0000,0.0665,0.0124,0.0665,0.0000,0.0665,0.0081,0.0238,-0.1121,0.0231,-0.0004,0.0238,-0.0548,0.7066,0.5083,0.7051,0.4869,0.7066,0.5467,9.1447,0.5873,1.0000,0.4054,0.9796,0.0000,0.0000,0.9796,5.0000,0.4376,0.9071,0.0139,0.1111,0.9270,10.0000,0.4647,0.8266,0.1111,0.1111,0.8607,7.1381,0.4601,0.8670,0.0000,0.1111,0.9159,7.1381,0.4601,0.8670,0.0000,0.1111,0.9159,63.1940,0.6734,0.2500,0.2500,0.3333,0.5000,63.7789,0.6745,0.2451,0.2222,0.3333,0.4999,62.0139,0.6293,0.2949,0.5000,0.2222,0.3544,62.0130,0.6292,0.2949,0.5000,0.0000,0.2949,0.8787,0.3950,0.9716,0.0000,0.1111,1.0000,2.8770,0.4246,0.9378,0.0000,0.1111,0.9628
