x,y,species avg
1.0,1.0,0.5801606
2.0,2.0,0.43563935
3.0,3.0,0.50480926
4.0,4.0,0.5028534
5.0,5.0,0.647778
6.0,6.0,0.6642866
7.0,7.0,0.77808225
8.0,8.0,0.64940166
9.0,9.0,0.5775204
10.0,10.0,0.6277947
11.0,11.0,0.38514507
12.0,12.0,0.38535586
13.0,13.0,0.43343028
14.0,14.0,0.6361532
15.0,15.0,0.47892433
16.0,16.0,0.6326383
17.0,17.0,0.66323805
18.0,18.0,0.6880694
19.0,19.0,0.6314807
20.0,20.0,0.6288288
21.0,21.0,0.44381377
22.0,22.0,0.66919225
23.0,23.0,0.4554782
24.0,24.0,0.41196105
25.0,25.0,0.7195003
26.0,26.0,0.8014215
27.0,27.0,0.5122705
28.0,28.0,0.41500467
29.0,29.0,0.64775807
30.0,30.0,0.80002
31.0,31.0,0.43320924
32.0,32.0,0.83991784
33.0,33.0,0.43221036
34.0,34.0,0.7298494
35.0,35.0,0.6451421
36.0,36.0,0.4614937
37.0,37.0,0.580402
38.0,38.0,0.43529245
39.0,39.0,0.50730395
40.0,40.0,0.81380504
41.0,41.0,0.6716899
42.0,42.0,0.49414513
43.0,43.0,0.4747928
44.0,44.0,0.47463757
45.0,45.0,0.7165718
46.0,46.0,0.46061003
47.0,47.0,0.50687295
48.0,48.0,0.58975077
49.0,49.0,0.7060332
50.0,50.0,0.6496586
51.0,51.0,0.39221758
52.0,52.0,0.46245998
53.0,53.0,0.4927552
54.0,54.0,0.57363784
55.0,55.0,0.5118844
56.0,56.0,0.54243857
57.0,57.0,0.59067523
58.0,58.0,0.5158706
59.0,59.0,0.78672993
60.0,60.0,0.71772224
61.0,61.0,0.76290655
62.0,62.0,0.5796724
63.0,63.0,0.6872886
64.0,64.0,0.6891414
65.0,65.0,0.42011762
66.0,66.0,0.6940959
67.0,67.0,0.46427745
68.0,68.0,0.63708615
69.0,69.0,0.48734713
70.0,70.0,0.7054215
71.0,71.0,0.45516968
72.0,72.0,0.75580776
73.0,73.0,0.6502266
74.0,74.0,0.47997534
75.0,75.0,0.6602228
76.0,76.0,0.708034
77.0,77.0,0.6723853
78.0,78.0,0.7474673
79.0,79.0,0.4587028
80.0,80.0,0.49289447
81.0,81.0,0.6548539
82.0,82.0,0.8027933
83.0,83.0,0.7612254
84.0,84.0,0.68969953
85.0,85.0,0.6244482
86.0,86.0,0.759123
87.0,87.0,0.5689913
88.0,88.0,0.47428703
89.0,89.0,0.5691433
90.0,90.0,0.5507331
91.0,91.0,0.48547912
92.0,92.0,0.68252254
93.0,93.0,0.65895295
94.0,94.0,0.39627224
95.0,95.0,0.5006019
96.0,96.0,0.6481001
97.0,97.0,0.6898761
98.0,98.0,0.8053873
99.0,99.0,0.48763868
100.0,100.0,0.68375736
101.0,101.0,0.40006933
102.0,102.0,0.4416507
103.0,103.0,0.48147354
104.0,104.0,0.48353317
105.0,105.0,0.5775293
106.0,106.0,0.766444
107.0,107.0,0.5052177
108.0,108.0,0.7709489
109.0,109.0,0.5573216
110.0,110.0,0.4280242
111.0,111.0,0.58348525
112.0,112.0,0.7322212
113.0,113.0,0.4488492
114.0,114.0,0.65572673
115.0,115.0,0.58027977
116.0,116.0,0.58643734
117.0,117.0,0.50878966
118.0,118.0,0.63214225
119.0,119.0,0.5779936
120.0,120.0,0.40702143
121.0,121.0,0.44554114
122.0,122.0,0.52564657
123.0,123.0,0.81485504
124.0,124.0,0.7246271
125.0,125.0,0.6536187
126.0,126.0,0.60266787
127.0,127.0,0.7338704
128.0,128.0,0.44929835
129.0,129.0,0.6459196
130.0,130.0,0.63060474
131.0,131.0,0.6253807
132.0,132.0,0.69210184
133.0,133.0,0.64649934
134.0,134.0,0.68003607
135.0,135.0,0.4760593
136.0,136.0,0.45387453
137.0,137.0,0.6829157
138.0,138.0,0.45251796
139.0,139.0,0.82151157
140.0,140.0,0.4754523
141.0,141.0,0.5423711
142.0,142.0,0.6807899
143.0,143.0,0.6105715
144.0,144.0,0.5824941
145.0,145.0,0.4579244
146.0,146.0,0.4571226
147.0,147.0,0.546803
148.0,148.0,0.770284
149.0,149.0,0.53976923
150.0,150.0,0.5278849
151.0,151.0,0.41749698
152.0,152.0,0.50629103
153.0,153.0,0.55635476
154.0,154.0,0.81824917
155.0,155.0,0.752671
156.0,156.0,0.62910277
157.0,157.0,0.7551908
158.0,158.0,0.43979007
159.0,159.0,0.5561585
160.0,160.0,0.5937412
161.0,161.0,0.7236109
162.0,162.0,0.43487236
163.0,163.0,0.6575482
164.0,164.0,0.46857667
165.0,165.0,0.55227023
166.0,166.0,0.57844704
167.0,167.0,0.46924984
168.0,168.0,0.46742314
169.0,169.0,0.3981862
170.0,170.0,0.42341438
171.0,171.0,0.46271107
172.0,172.0,0.6879458
173.0,173.0,0.62871814
174.0,174.0,0.45919576
175.0,175.0,0.7015576
176.0,176.0,0.68557775
177.0,177.0,0.517325
178.0,178.0,0.49881166
179.0,179.0,0.519397
180.0,180.0,0.48561317
181.0,181.0,0.6156648
182.0,182.0,0.6330453
183.0,183.0,0.4915811
184.0,184.0,0.46143958
185.0,185.0,0.65562683
186.0,186.0,0.65135264
187.0,187.0,0.80097187
188.0,188.0,0.56916493
189.0,189.0,0.58027047
190.0,190.0,0.7753437
191.0,191.0,0.591454
192.0,192.0,0.6777259
193.0,193.0,0.6367449
194.0,194.0,0.3902557
195.0,195.0,0.41800115
196.0,196.0,0.7701922
197.0,197.0,0.56368005
198.0,198.0,0.5957077
199.0,199.0,0.601119
200.0,200.0,0.6547192
201.0,201.0,0.593747
202.0,202.0,0.42749718
203.0,203.0,0.7424873
204.0,204.0,0.50850725
205.0,205.0,0.45440412
206.0,206.0,0.47707576
207.0,207.0,0.40710005
208.0,208.0,0.79982966
209.0,209.0,0.65787506
210.0,210.0,0.46324253
211.0,211.0,0.62470114
212.0,212.0,0.54137665
213.0,213.0,0.5430493
214.0,214.0,0.41146457
215.0,215.0,0.54822856
216.0,216.0,0.487982
217.0,217.0,0.5049644
218.0,218.0,0.4920898
219.0,219.0,0.61331725
220.0,220.0,0.44630793
221.0,221.0,0.5470106
222.0,222.0,0.67736053
223.0,223.0,0.63458836
224.0,224.0,0.6357312
225.0,225.0,0.81977236
226.0,226.0,0.7952653
227.0,227.0,0.67604905
228.0,228.0,0.72570145
229.0,229.0,0.81421375
230.0,230.0,0.4852228
231.0,231.0,0.4511313
232.0,232.0,0.6006016
233.0,233.0,0.6033209
234.0,234.0,0.4733303
235.0,235.0,0.64518416
236.0,236.0,0.49004456
237.0,237.0,0.67736995
238.0,238.0,0.64820296
239.0,239.0,0.62486154
240.0,240.0,0.412134
241.0,241.0,0.53906167
242.0,242.0,0.67657405
243.0,243.0,0.44379482
244.0,244.0,0.6855461
245.0,245.0,0.651098
246.0,246.0,0.6523162
247.0,247.0,0.6301058
248.0,248.0,0.4833869
249.0,249.0,0.6566041
250.0,250.0,0.41290683
251.0,251.0,0.5830109
252.0,252.0,0.6132576
253.0,253.0,0.57420427
254.0,254.0,0.53670394
255.0,255.0,0.704348
256.0,256.0,0.5161419
257.0,257.0,0.6431678
258.0,258.0,0.4641418
259.0,259.0,0.63551193
260.0,260.0,0.4181667
261.0,261.0,0.66889024
262.0,262.0,0.672351
263.0,263.0,0.47421134
264.0,264.0,0.48854202
265.0,265.0,0.6973376
266.0,266.0,0.7549644
267.0,267.0,0.62659985
268.0,268.0,0.45753014
269.0,269.0,0.58482397
270.0,270.0,0.63080704
271.0,271.0,0.7789285
272.0,272.0,0.72604203
273.0,273.0,0.62798333
274.0,274.0,0.7726571
275.0,275.0,0.6344268
276.0,276.0,0.6448574
277.0,277.0,0.5567387
278.0,278.0,0.46548247
279.0,279.0,0.45493862
280.0,280.0,0.6308503
281.0,281.0,0.49555135
282.0,282.0,0.39693722
283.0,283.0,0.44911656
284.0,284.0,0.57763726
285.0,285.0,0.7847602
286.0,286.0,0.7769377
287.0,287.0,0.6638914
288.0,288.0,0.50531197
289.0,289.0,0.5673175
290.0,290.0,0.43698677
291.0,291.0,0.4829308
292.0,292.0,0.5684289
293.0,293.0,0.7921933
294.0,294.0,0.41964132
295.0,295.0,0.6268638
296.0,296.0,0.7651484
297.0,297.0,0.5985485
298.0,298.0,0.59602773
299.0,299.0,0.5585963
300.0,300.0,0.54228723
301.0,301.0,0.6323507
302.0,302.0,0.62252843
303.0,303.0,0.47492173
304.0,304.0,0.415407
305.0,305.0,0.7339509
306.0,306.0,0.5266605
307.0,307.0,0.65677774
308.0,308.0,0.4288827
309.0,309.0,0.66972613
310.0,310.0,0.45436668
311.0,311.0,0.51913375
312.0,312.0,0.47780776
313.0,313.0,0.759087
314.0,314.0,0.8404298
315.0,315.0,0.71177477
316.0,316.0,0.44591978
317.0,317.0,0.5054209
318.0,318.0,0.44447824
319.0,319.0,0.7452849
320.0,320.0,0.45399013
321.0,321.0,0.4652842
322.0,322.0,0.4143991
323.0,323.0,0.38209072
324.0,324.0,0.49614733
325.0,325.0,0.45832303
326.0,326.0,0.65770686
327.0,327.0,0.704612
328.0,328.0,0.5614263
329.0,329.0,0.46988645
330.0,330.0,0.72282773
331.0,331.0,0.7998636
332.0,332.0,0.7666323
333.0,333.0,0.6705875
334.0,334.0,0.79555523
335.0,335.0,0.45447448
336.0,336.0,0.48091307
337.0,337.0,0.45946777
338.0,338.0,0.762787
339.0,339.0,0.44648373
340.0,340.0,0.4924027
341.0,341.0,0.5128187
342.0,342.0,0.66431475
343.0,343.0,0.44692895
344.0,344.0,0.62217253
345.0,345.0,0.51228607
346.0,346.0,0.70954317
347.0,347.0,0.48800543
348.0,348.0,0.41206735
349.0,349.0,0.8143534
350.0,350.0,0.6915199
351.0,351.0,0.62816626
352.0,352.0,0.63527113
353.0,353.0,0.46411252
354.0,354.0,0.5884968
355.0,355.0,0.6567288
356.0,356.0,0.6170573
357.0,357.0,0.65660214
358.0,358.0,0.5552317
359.0,359.0,0.42459878
360.0,360.0,0.8373288
361.0,361.0,0.5942861
362.0,362.0,0.6968616
363.0,363.0,0.5204624
364.0,364.0,0.4874431
365.0,365.0,0.5404361
366.0,366.0,0.5737307
367.0,367.0,0.6273286
368.0,368.0,0.46913868
369.0,369.0,0.59310603
370.0,370.0,0.4519385
371.0,371.0,0.62902975
372.0,372.0,0.6968438
373.0,373.0,0.48630062
374.0,374.0,0.5174917
375.0,375.0,0.4683252
376.0,376.0,0.56245023
377.0,377.0,0.7330278
378.0,378.0,0.76166916
379.0,379.0,0.64082974
380.0,380.0,0.7234039
381.0,381.0,0.6067949
382.0,382.0,0.67299587
383.0,383.0,0.47766718
384.0,384.0,0.5523097
385.0,385.0,0.4565341
386.0,386.0,0.5633376
387.0,387.0,0.717829
388.0,388.0,0.48611522
389.0,389.0,0.48795244
390.0,390.0,0.51244825
391.0,391.0,0.7336266
392.0,392.0,0.43592837
393.0,393.0,0.6423874
394.0,394.0,0.4358285
395.0,395.0,0.66319
396.0,396.0,0.4364265
397.0,397.0,0.7198561
398.0,398.0,0.48939183
399.0,399.0,0.48538828
400.0,400.0,0.6504587
401.0,401.0,0.57363075
402.0,402.0,0.78195226
403.0,403.0,0.6634951
404.0,404.0,0.63440925
405.0,405.0,0.46132416
406.0,406.0,0.6633855
407.0,407.0,0.6587047
408.0,408.0,0.53121
409.0,409.0,0.5424004
410.0,410.0,0.6301642
411.0,411.0,0.4142341
412.0,412.0,0.6247671
413.0,413.0,0.69635534
414.0,414.0,0.68416005
415.0,415.0,0.42160016
416.0,416.0,0.5306474
417.0,417.0,0.77512676
418.0,418.0,0.5335479
419.0,419.0,0.71169305
420.0,420.0,0.65963703
421.0,421.0,0.5797039
422.0,422.0,0.69127434
423.0,423.0,0.78161556
424.0,424.0,0.5687933
425.0,425.0,0.5834369
426.0,426.0,0.6319719
427.0,427.0,0.667015
428.0,428.0,0.41046086
429.0,429.0,0.4814767
430.0,430.0,0.40640533
431.0,431.0,0.70704424
432.0,432.0,0.7289775
433.0,433.0,0.72776353
434.0,434.0,0.54903
435.0,435.0,0.65445876
436.0,436.0,0.39235088
437.0,437.0,0.65710574
438.0,438.0,0.5493442
439.0,439.0,0.6099471
440.0,440.0,0.47244233
441.0,441.0,0.5550168
442.0,442.0,0.5957401
443.0,443.0,0.5209404
444.0,444.0,0.68350667
445.0,445.0,0.70089227
446.0,446.0,0.5384426
447.0,447.0,0.46197176
448.0,448.0,0.38518527
449.0,449.0,0.6538689
450.0,450.0,0.54457605
451.0,451.0,0.7559234
452.0,452.0,0.5766755
453.0,453.0,0.79661727
454.0,454.0,0.64917004
455.0,455.0,0.7651042
456.0,456.0,0.67868215
457.0,457.0,0.4362577
458.0,458.0,0.73449403
459.0,459.0,0.5352953
460.0,460.0,0.4104146
461.0,461.0,0.7847047
462.0,462.0,0.7770557
463.0,463.0,0.79602313
464.0,464.0,0.40989962
465.0,465.0,0.4782506
466.0,466.0,0.5775521
467.0,467.0,0.69217634
468.0,468.0,0.570124
469.0,469.0,0.515963
470.0,470.0,0.5422164
471.0,471.0,0.49724737
472.0,472.0,0.75706273
473.0,473.0,0.7944866
474.0,474.0,0.47769192
475.0,475.0,0.4910647
476.0,476.0,0.46440247
477.0,477.0,0.43482998
478.0,478.0,0.64818877
479.0,479.0,0.64636153
480.0,480.0,0.73643064
481.0,481.0,0.53957623
482.0,482.0,0.75718707
483.0,483.0,0.4474924
484.0,484.0,0.6459552
485.0,485.0,0.8052428
486.0,486.0,0.6609919
487.0,487.0,0.5360389
488.0,488.0,0.57338774
489.0,489.0,0.6637991
490.0,490.0,0.5381838
491.0,491.0,0.47839805
492.0,492.0,0.7597074
493.0,493.0,0.62921596
494.0,494.0,0.49837247
495.0,495.0,0.75837034
496.0,496.0,0.4359563
497.0,497.0,0.6571551
498.0,498.0,0.627794
499.0,499.0,0.5903644
500.0,500.0,0.6166391
501.0,501.0,0.627186
502.0,502.0,0.68397605
503.0,503.0,0.46746483
504.0,504.0,0.49485102
505.0,505.0,0.6589355
506.0,506.0,0.5290506
507.0,507.0,0.40287778
508.0,508.0,0.5837483
509.0,509.0,0.69209486
510.0,510.0,0.6625077
511.0,511.0,0.46431237
512.0,512.0,0.5228146
513.0,513.0,0.4765143
514.0,514.0,0.67501456
515.0,515.0,0.41457775
516.0,516.0,0.5704149
517.0,517.0,0.60976875
518.0,518.0,0.71466523
519.0,519.0,0.55459106
520.0,520.0,0.50846785
521.0,521.0,0.48828563
522.0,522.0,0.6729372
523.0,523.0,0.4370231
524.0,524.0,0.54363567
525.0,525.0,0.6382338
526.0,526.0,0.5365292
527.0,527.0,0.55535483
528.0,528.0,0.6711606
529.0,529.0,0.5351852
530.0,530.0,0.44605422
531.0,531.0,0.606291
532.0,532.0,0.4343163
533.0,533.0,0.63195264
534.0,534.0,0.39507443
535.0,535.0,0.68201125
536.0,536.0,0.631645
537.0,537.0,0.397735
538.0,538.0,0.65750974
539.0,539.0,0.70144904
540.0,540.0,0.44008496
541.0,541.0,0.8063973
542.0,542.0,0.8285434
543.0,543.0,0.62744975
544.0,544.0,0.68397564
545.0,545.0,0.5252393
546.0,546.0,0.5334989
547.0,547.0,0.5143535
548.0,548.0,0.57471824
549.0,549.0,0.46086094
550.0,550.0,0.63480806
551.0,551.0,0.4008388
552.0,552.0,0.5879243
553.0,553.0,0.6646304
554.0,554.0,0.5126308
555.0,555.0,0.45439413
556.0,556.0,0.5195795
557.0,557.0,0.8175217
558.0,558.0,0.673771
559.0,559.0,0.4773534
560.0,560.0,0.43652204
561.0,561.0,0.633367
562.0,562.0,0.42807963
563.0,563.0,0.6916919
564.0,564.0,0.4850252
565.0,565.0,0.6243224
566.0,566.0,0.7505814
567.0,567.0,0.41607472
568.0,568.0,0.65315396
569.0,569.0,0.50167274
570.0,570.0,0.4246931
571.0,571.0,0.5796239
572.0,572.0,0.4632318
573.0,573.0,0.57312506
574.0,574.0,0.43496114
575.0,575.0,0.68538696
576.0,576.0,0.42082265
577.0,577.0,0.66647226
578.0,578.0,0.48559892
579.0,579.0,0.5497031
580.0,580.0,0.6686829
581.0,581.0,0.6802204
582.0,582.0,0.45700964
583.0,583.0,0.6646387
584.0,584.0,0.68632615
585.0,585.0,0.48946258
586.0,586.0,0.77303964
587.0,587.0,0.7102767
588.0,588.0,0.5903554
589.0,589.0,0.6176354
590.0,590.0,0.46846256
591.0,591.0,0.4030881
592.0,592.0,0.6649984
593.0,593.0,0.6556298
594.0,594.0,0.49889794
595.0,595.0,0.6120163
596.0,596.0,0.4370055
597.0,597.0,0.55542535
598.0,598.0,0.6765091
599.0,599.0,0.4910722
600.0,600.0,0.51258874
601.0,601.0,0.5928668
602.0,602.0,0.39345905
603.0,603.0,0.7190335
604.0,604.0,0.7861093
605.0,605.0,0.5628871
606.0,606.0,0.668983
607.0,607.0,0.7633672
608.0,608.0,0.65621996
609.0,609.0,0.7131122
610.0,610.0,0.47681242
611.0,611.0,0.8074272
612.0,612.0,0.77685726
613.0,613.0,0.56583077
614.0,614.0,0.79371655
615.0,615.0,0.6420704
616.0,616.0,0.8207329
617.0,617.0,0.48342574
618.0,618.0,0.80516195
619.0,619.0,0.67951673
620.0,620.0,0.5273701
621.0,621.0,0.5977345
622.0,622.0,0.71229386
623.0,623.0,0.7351754
624.0,624.0,0.7990131
625.0,625.0,0.6942808
626.0,626.0,0.62641287
627.0,627.0,0.67143184
628.0,628.0,0.60831386
629.0,629.0,0.46825987
630.0,630.0,0.40443113
631.0,631.0,0.68777233
632.0,632.0,0.6400189
633.0,633.0,0.4402786
634.0,634.0,0.48411927
635.0,635.0,0.7887118
636.0,636.0,0.6301077
637.0,637.0,0.5410951
638.0,638.0,0.4700203
