x,y,species median
1.0,1.0,0.600842
2.0,2.0,0.47046423
3.0,3.0,0.5343855
4.0,4.0,0.53526056
5.0,5.0,0.6570963
6.0,6.0,0.6702279
7.0,7.0,0.76698726
8.0,8.0,0.65838003
9.0,9.0,0.59811425
10.0,10.0,0.64114445
11.0,11.0,0.42061743
12.0,12.0,0.4208663
13.0,13.0,0.46761692
14.0,14.0,0.6477801
15.0,15.0,0.5111544
16.0,16.0,0.64556015
17.0,17.0,0.66925985
18.0,18.0,0.6883815
19.0,19.0,0.6437578
20.0,20.0,0.6421037
21.0,21.0,0.4778825
22.0,22.0,0.67371243
23.0,23.0,0.48851252
24.0,24.0,0.44758984
25.0,25.0,0.71668416
26.0,26.0,0.78775746
27.0,27.0,0.54126716
28.0,28.0,0.4499264
29.0,29.0,0.65756154
30.0,30.0,0.78580534
31.0,31.0,0.46778184
32.0,32.0,0.8240527
33.0,33.0,0.46687102
34.0,34.0,0.7215224
35.0,35.0,0.65570635
36.0,36.0,0.4949936
37.0,37.0,0.6005716
38.0,38.0,0.4695588
39.0,39.0,0.5364943
40.0,40.0,0.7986613
41.0,41.0,0.6753318
42.0,42.0,0.5244136
43.0,43.0,0.5072023
44.0,44.0,0.50702626
45.0,45.0,0.714284
46.0,46.0,0.49378732
47.0,47.0,0.5363031
48.0,48.0,0.6094418
49.0,49.0,0.7026113
50.0,50.0,0.6592604
51.0,51.0,0.42764622
52.0,52.0,0.49586895
53.0,53.0,0.5238404
54.0,54.0,0.5964433
55.0,55.0,0.5411516
56.0,56.0,0.5695516
57.0,57.0,0.6125425
58.0,58.0,0.54477686
59.0,59.0,0.77462286
60.0,60.0,0.7151275
61.0,61.0,0.75309634
62.0,62.0,0.6005775
63.0,63.0,0.6872211
64.0,64.0,0.68932855
65.0,65.0,0.45485017
66.0,66.0,0.69266933
67.0,67.0,0.49689344
68.0,68.0,0.6490902
69.0,69.0,0.51888734
70.0,70.0,0.7051167
71.0,71.0,0.48849156
72.0,72.0,0.74678385
73.0,73.0,0.6595012
74.0,74.0,0.5118892
75.0,75.0,0.6669928
76.0,76.0,0.7042224
77.0,77.0,0.67646164
78.0,78.0,0.7388013
79.0,79.0,0.49165535
80.0,80.0,0.52374935
81.0,81.0,0.66278744
82.0,82.0,0.7888542
83.0,83.0,0.75175416
84.0,84.0,0.6896719
85.0,85.0,0.63819957
86.0,86.0,0.7498015
87.0,87.0,0.5921999
88.0,88.0,0.5063403
89.0,89.0,0.5909637
90.0,90.0,0.57502925
91.0,91.0,0.5169597
92.0,92.0,0.6838766
93.0,93.0,0.66625416
94.0,94.0,0.4323587
95.0,95.0,0.5327934
96.0,96.0,0.6574495
97.0,97.0,0.68922216
98.0,98.0,0.79132813
99.0,99.0,0.5190761
100.0,100.0,0.6849034
101.0,101.0,0.4359984
102.0,102.0,0.47584185
103.0,103.0,0.5133976
104.0,104.0,0.5153805
105.0,105.0,0.59867454
106.0,106.0,0.75669545
107.0,107.0,0.5345219
108.0,108.0,0.76006955
109.0,109.0,0.58124137
110.0,110.0,0.46252224
111.0,111.0,0.6068417
112.0,112.0,0.7270468
113.0,113.0,0.482321
114.0,114.0,0.6636583
115.0,115.0,0.60046285
116.0,116.0,0.60629505
117.0,117.0,0.538286
118.0,118.0,0.64461446
119.0,119.0,0.5991052
120.0,120.0,0.44210538
121.0,121.0,0.4799742
122.0,122.0,0.55316985
123.0,123.0,0.79957587
124.0,124.0,0.7212136
125.0,125.0,0.66205937
126.0,126.0,0.6219898
127.0,127.0,0.7277503
128.0,128.0,0.48278728
129.0,129.0,0.6560959
130.0,130.0,0.6435013
131.0,131.0,0.6390363
132.0,132.0,0.6910782
133.0,133.0,0.65650135
134.0,134.0,0.6818581
135.0,135.0,0.50830346
136.0,136.0,0.48702174
137.0,137.0,0.68448377
138.0,138.0,0.48577282
139.0,139.0,0.80634606
140.0,140.0,0.50789213
141.0,141.0,0.56786656
142.0,142.0,0.68264824
143.0,143.0,0.6282632
144.0,144.0,0.6029438
145.0,145.0,0.4908165
146.0,146.0,0.49064687
147.0,147.0,0.5748372
148.0,148.0,0.7570677
149.0,149.0,0.56539845
150.0,150.0,0.5553841
151.0,151.0,0.45303476
152.0,152.0,0.53557605
153.0,153.0,0.58273727
154.0,154.0,0.80326885
155.0,155.0,0.7448241
156.0,156.0,0.64283305
157.0,157.0,0.7463188
158.0,158.0,0.4744803
