Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt11 contribution,tdmean11 contribution,tmean11 contribution,vpdmin11 contribution,ppt11 permutation importance,tdmean11 permutation importance,tmean11 permutation importance,vpdmin11 permutation importance,Training gain without ppt11,Training gain without tdmean11,Training gain without tmean11,Training gain without vpdmin11,Training gain with only ppt11,Training gain with only tdmean11,Training gain with only tmean11,Training gain with only vpdmin11,Test gain without ppt11,Test gain without tdmean11,Test gain without tmean11,Test gain without vpdmin11,Test gain with only ppt11,Test gain with only tdmean11,Test gain with only tmean11,Test gain with only vpdmin11,AUC without ppt11,AUC without tdmean11,AUC without tmean11,AUC without vpdmin11,AUC with only ppt11,AUC with only tdmean11,AUC with only tmean11,AUC with only vpdmin11,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,8,0.0942,0.2960,80,0.7517,1,0.2887,0.7510,-1.0000,10008,0.0000,51.1893,28.7646,20.0461,0.0000,73.8841,0.0000,26.1159,0.0942,0.0437,0.0942,0.0562,0.0000,0.0492,0.0435,0.0054,0.2887,0.3084,0.2887,0.3896,0.0000,0.3310,0.3261,-0.0629,0.7510,0.8813,0.7510,0.8756,0.5000,0.8720,0.8856,0.3758,9.1169,0.5671,1.0000,0.2973,0.9717,0.0000,0.0000,9.717E-1,5.0000,0.3769,0.8858,0.0000,0.0000,8.858E-1,10.0000,0.4194,0.7969,0.1250,0.0000,7.969E-1,6.1941,0.3902,0.8634,0.0000,0.0000,8.634E-1,6.1941,0.3902,0.8634,0.0000,0.0000,8.634E-1,56.1797,0.6923,0.2811,0.2500,0.0000,2.811E-1,44.5614,0.6508,0.3752,0.1250,0.0000,3.752E-1,60.3998,0.7032,0.2490,0.3750,0.0000,2.49E-1,60.3998,0.7032,0.2490,0.3750,0.0000,2.49E-1,1.1776,0.3047,0.9672,0.0000,0.0000,9.672E-1,3.7754,0.3614,0.9101,0.0000,0.0000,9.101E-1
species_1,8,0.0718,0.2239,100,0.7404,1,0.3398,0.8375,-1.0000,10008,0.0000,56.6173,39.0096,4.3730,0.0000,86.8438,0.0000,13.1562,0.0718,0.0461,0.0718,0.0644,0.0000,0.0594,0.0461,0.0000,0.3398,0.3062,0.3398,0.2996,0.0000,0.2259,0.3062,0.0000,0.8375,0.8695,0.8375,0.8238,0.5000,0.7966,0.8695,0.5000,9.1393,0.5818,1.0000,0.3491,0.9775,0.0000,0.0000,9.775E-1,5.0000,0.4083,0.8999,0.0000,0.0000,8.999E-1,10.0000,0.4548,0.8176,0.0000,0.0000,8.176E-1,10.6692,0.4602,0.8075,0.0000,0.0000,8.075E-1,10.6692,0.4602,0.8075,0.0000,0.0000,8.075E-1,54.6690,0.6602,0.3051,0.2500,0.0000,3.051E-1,48.7529,0.6356,0.3577,0.1250,0.0000,3.577E-1,73.0569,0.7295,0.1625,0.5000,0.0000,1.625E-1,73.0569,0.7295,0.1625,0.5000,0.0000,1.625E-1,0.0041,0.3191,1.0000,0.0000,0.0000,1E0,3.3228,0.3868,0.9307,0.0000,0.0000,9.307E-1
species_2,8,0.0801,0.1927,100,0.7227,1,0.1438,0.7415,-1.0000,10008,1.5082,45.4939,52.9979,0.0000,0.0000,100.0000,0.0000,0.0000,0.0774,0.0596,0.0800,0.0801,0.0020,0.0687,0.0596,0.0000,0.2072,0.2066,0.1282,0.1438,-0.0134,0.1520,0.2066,0.0000,0.7632,0.7476,0.7381,0.7415,0.3913,0.7408,0.7476,0.5000,9.1310,0.5763,1.0000,0.3895,0.9803,0.0000,0.0000,9.803E-1,5.0000,0.4295,0.9107,0.0000,0.0000,9.107E-1,10.0000,0.4639,0.8335,0.0000,0.0000,8.335E-1,11.2860,0.4679,0.8146,0.0000,0.0000,8.146E-1,11.2860,0.4679,0.8146,0.0000,0.0000,8.146E-1,59.2765,0.6596,0.2522,0.2500,1.0000,1E0,59.2765,0.6596,0.2522,0.2500,1.0000,1E0,58.5350,0.6555,0.2585,0.2500,0.0000,2.585E-1,58.5350,0.6555,0.2585,0.2500,0.0000,2.585E-1,0.0040,0.3074,1.0000,0.0000,0.0000,1E0,4.2625,0.4229,0.9230,0.0000,0.0000,9.23E-1
species_3,8,0.0671,0.2181,100,0.7343,1,0.4055,0.9101,-1.0000,10008,0.0000,53.5366,41.2295,5.2339,0.0000,86.4363,0.0000,13.5637,0.0671,0.0428,0.0671,0.0578,0.0000,0.0522,0.0428,0.0000,0.4055,0.3324,0.4055,0.3648,0.0000,0.2940,0.3324,0.0000,0.9101,0.8900,0.9101,0.8650,0.5000,0.8487,0.8900,0.5000,9.1440,0.5850,1.0000,0.3535,0.9777,0.0000,0.0000,9.777E-1,5.0000,0.4160,0.9016,0.0000,0.0000,9.016E-1,10.0000,0.4592,0.8207,0.0000,0.0000,8.207E-1,10.0935,0.4600,0.8193,0.0000,0.0000,8.193E-1,10.0935,0.4600,0.8193,0.0000,0.0000,8.193E-1,53.5514,0.6608,0.3197,0.3750,0.0000,3.197E-1,50.5619,0.6479,0.3460,0.1250,0.0000,3.46E-1,84.0735,0.7541,0.0899,0.7500,0.0000,8.993E-2,84.0735,0.7541,0.0899,0.7500,0.0000,8.993E-2,0.0042,0.3275,1.0000,0.0000,0.0000,1E0,3.1493,0.3920,0.9351,0.0000,0.0000,9.351E-1
species_4,8,0.3392,0.4707,60,0.7980,1,-1.6822,0.0900,-1.0000,10008,0.0000,0.0000,99.5860,0.4140,0.0000,0.0000,100.0000,0.0000,0.3392,0.3392,0.2844,0.3377,0.0213,0.1490,0.3377,0.0129,-1.6822,-1.6822,-1.2624,-1.6088,-0.2012,-0.3642,-1.6088,-0.1466,0.0900,0.0900,0.1337,0.0891,0.1996,0.3257,0.0891,0.2099,8.8719,0.4318,1.0000,0.1145,0.9302,0.0000,0.0000,9.302E-1,5.0000,0.1820,0.7569,0.0000,1.0000,1E0,10.0000,0.2751,0.6170,0.0000,1.0000,1E0,19.1958,0.4521,0.4726,0.0000,1.0000,1E0,19.1958,0.4521,0.4726,0.0000,1.0000,1E0,44.8262,0.6296,0.2500,0.2500,1.0000,1E0,43.9256,0.6258,0.2564,0.1250,1.0000,1E0,1.3614,0.1241,0.9100,0.0000,1.0000,1E0,1.3599,0.1241,0.9100,0.0000,0.0000,9.1E-1,8.4226,0.2478,0.6543,0.0000,1.0000,1E0,6.3404,0.2045,0.7122,0.0000,1.0000,1E0
species_5,8,0.0815,0.2646,100,0.7498,1,0.3188,0.8057,-1.0000,10008,0.0000,49.8309,39.3534,10.8157,0.0000,81.7809,0.0000,18.2191,0.0815,0.0465,0.0815,0.0609,0.0000,0.0540,0.0465,0.0010,0.3188,0.3024,0.3188,0.3387,0.0000,0.2747,0.3024,-0.0102,0.8057,0.8665,0.8057,0.8475,0.5000,0.8342,0.8665,0.5140,9.1297,0.5754,1.0000,0.3208,0.9746,0.0000,0.0000,9.746E-1,5.0000,0.3972,0.8934,0.0000,0.0000,8.934E-1,10.0000,0.4400,0.8086,0.1250,0.0000,8.086E-1,7.8589,0.4233,0.8435,0.0000,0.0000,8.435E-1,7.8589,0.4233,0.8435,0.0000,0.0000,8.435E-1,51.3827,0.6684,0.3264,0.3750,0.0000,3.264E-1,49.2491,0.6569,0.3445,0.1250,0.0000,3.445E-1,68.4515,0.7186,0.1943,0.5000,0.0000,1.943E-1,68.4515,0.7186,0.1943,0.5000,0.0000,1.943E-1,0.6135,0.3082,0.9841,0.0000,0.0000,9.841E-1,3.5028,0.3744,0.9217,0.0000,0.0000,9.217E-1
species_6,8,0.1365,0.2869,100,0.7530,1,-0.0497,0.5861,-1.0000,10008,0.0000,64.1199,35.2846,0.5955,0.0000,100.0000,0.0000,0.0000,0.1365,0.0920,0.1365,0.1340,0.0000,0.1283,0.0920,0.0000,-0.0497,-0.0207,-0.0497,-0.1908,0.0000,-0.2414,-0.0207,0.0000,0.5861,0.5245,0.5861,0.5105,0.5000,0.3941,0.5245,0.5000,9.0746,0.5405,1.0000,0.2676,0.9704,0.0000,0.0000,9.704E-1,5.0000,0.3329,0.8722,0.0000,0.0000,8.722E-1,10.0000,0.3991,0.7767,0.0000,0.0000,7.767E-1,10.8839,0.4082,0.7618,0.0000,0.0000,7.618E-1,10.8839,0.4082,0.7618,0.0000,0.0000,7.618E-1,55.2194,0.6691,0.2500,0.2500,1.0000,1E0,52.0104,0.6420,0.2763,0.1250,1.0000,1E0,37.4147,0.5640,0.4139,0.1250,0.0000,4.139E-1,37.4147,0.5640,0.4139,0.1250,0.0000,4.139E-1,2.6898,0.2945,0.9257,0.0000,0.0000,9.257E-1,4.9988,0.3327,0.8723,0.0000,0.0000,8.723E-1
species_7,8,0.0793,0.1903,100,0.7259,1,0.1333,0.7411,-1.0000,10008,3.1594,53.0906,43.7501,0.0000,4.8026,95.1974,0.0000,0.0000,0.0741,0.0541,0.0793,0.0793,0.0021,0.0679,0.0541,0.0000,0.2255,0.2465,0.1333,0.1333,-0.0142,0.1583,0.2465,0.0000,0.7767,0.8087,0.7411,0.7411,0.3891,0.7456,0.8087,0.5000,9.1318,0.5769,1.0000,0.3863,0.9798,0.0000,0.0000,9.798E-1,5.0000,0.4351,0.9110,0.0000,0.0000,9.11E-1,10.0000,0.4656,0.8344,0.0000,0.0000,8.344E-1,12.9806,0.4755,0.7912,0.0000,0.0000,7.912E-1,12.9806,0.4755,0.7912,0.0000,0.0000,7.912E-1,58.2791,0.6498,0.2620,0.2500,0.0000,2.62E-1,58.2791,0.6498,0.2620,0.2500,0.0000,2.62E-1,58.6292,0.6520,0.2589,0.3750,0.0000,2.589E-1,58.6292,0.6520,0.2589,0.3750,0.0000,2.589E-1,0.0039,0.3055,1.0000,0.0000,0.0000,1E0,4.2291,0.4277,0.9237,0.0000,0.0000,9.237E-1
species_8,8,0.0987,0.2980,100,0.7659,1,0.1575,0.6653,-1.0000,10008,0.0000,53.6561,37.1885,9.1554,0.0000,80.8822,0.0000,19.1178,0.0987,0.0584,0.0987,0.0787,0.0000,0.0717,0.0584,0.0002,0.1575,0.2156,0.1575,0.1929,0.0000,0.1302,0.2156,-0.0012,0.6653,0.7616,0.6653,0.7548,0.5000,0.7188,0.7616,0.5822,9.1124,0.5642,1.0000,0.2982,0.9725,0.0000,0.0000,9.725E-1,5.0000,0.3767,0.8860,0.0000,0.0000,8.86E-1,10.0000,0.4238,0.7976,0.1250,0.0000,7.976E-1,7.9092,0.4059,0.8329,0.0000,0.0000,8.329E-1,7.9092,0.4059,0.8329,0.0000,0.0000,8.329E-1,59.1974,0.6986,0.2500,0.2500,1.0000,1E0,67.2042,0.7234,0.1916,0.2500,1.0000,1E0,48.6297,0.6537,0.3347,0.2500,0.0000,3.347E-1,48.6297,0.6537,0.3347,0.2500,0.0000,3.347E-1,1.1305,0.3039,0.9693,0.0000,0.0000,9.693E-1,3.9844,0.3609,0.9060,0.0000,0.0000,9.06E-1
species (average),8.0000,0.1165,0.2712,93.3333,0.7491,1.0000,0.0062,0.6809,-1.0000,10008.0000,0.5186,47.5038,46.3516,5.6260,0.5336,78.3361,11.1111,10.0192,0.1156,0.0869,0.1104,0.1055,0.0028,0.0778,0.0867,0.0022,0.0235,0.0239,0.0511,0.0070,-0.0254,0.1067,0.0340,-0.0245,0.6873,0.7155,0.6854,0.6943,0.4422,0.6974,0.7159,0.4647,9.0946,0.5554,1.0000,0.3085,0.9705,0.0000,0.0000,0.9705,5.0000,0.3727,0.8797,0.0000,0.1111,0.9067,10.0000,0.4223,0.7892,0.0417,0.1111,0.8318,10.7857,0.4381,0.7785,0.0000,0.1111,0.8371,10.7857,0.4381,0.7785,0.0000,0.1111,0.8371,54.7313,0.6654,0.2774,0.2778,0.4444,0.6105,52.6468,0.6546,0.2958,0.1667,0.4444,0.6317,54.5057,0.6172,0.3191,0.3472,0.1111,0.3291,54.5056,0.6172,0.3191,0.3472,0.0000,0.3191,1.5611,0.3021,0.9445,0.0000,0.1111,0.9829,4.1739,0.3626,0.8928,0.0000,0.1111,0.9247
