x,y,species cloglog values
1.0,1.0,0.7747491
2.0,2.0,0.76226264
3.0,3.0,0.47454274
4.0,4.0,0.69630766
5.0,5.0,0.3737332
6.0,6.0,0.2655081
7.0,7.0,0.41095427
8.0,8.0,0.5267218
9.0,9.0,0.7231657
10.0,10.0,0.3979791
11.0,11.0,0.47607654
12.0,12.0,0.72220075
13.0,13.0,0.8547295
14.0,14.0,0.5603107
15.0,15.0,0.57490844
16.0,16.0,0.45298025
17.0,17.0,0.69442284
18.0,18.0,0.82793
19.0,19.0,0.588333
20.0,20.0,0.69640696
21.0,21.0,0.52388716
22.0,22.0,0.7813311
23.0,23.0,0.51014906
24.0,24.0,0.47801358
25.0,25.0,0.59813344
26.0,26.0,0.6376585
27.0,27.0,0.657199
28.0,28.0,0.6738205
29.0,29.0,0.52990675
30.0,30.0,0.54986507
31.0,31.0,0.72752964
32.0,32.0,0.3003111
33.0,33.0,0.4600335
34.0,34.0,0.86361057
35.0,35.0,0.3833159
36.0,36.0,0.4128092
37.0,37.0,0.75409853
38.0,38.0,0.73532504
39.0,39.0,0.62801003
40.0,40.0,0.4528501
41.0,41.0,0.87059206
42.0,42.0,0.5674711
43.0,43.0,0.5816715
44.0,44.0,0.37432745
45.0,45.0,0.34926867
46.0,46.0,0.4975102
47.0,47.0,0.40550345
48.0,48.0,0.6502988
49.0,49.0,0.64250535
50.0,50.0,0.58813614
51.0,51.0,0.583448
52.0,52.0,0.30600476
53.0,53.0,0.72806805
54.0,54.0,0.46928263
55.0,55.0,0.42151973
56.0,56.0,0.64299357
57.0,57.0,0.27456623
58.0,58.0,0.52651745
59.0,59.0,0.5413092
60.0,60.0,0.55441916
61.0,61.0,0.42333403
62.0,62.0,0.4744372
63.0,63.0,0.5652583
64.0,64.0,0.44618225
65.0,65.0,0.2878666
66.0,66.0,0.5252485
67.0,67.0,0.42198166
68.0,68.0,0.32910645
69.0,69.0,0.57801914
70.0,70.0,0.43142822
71.0,71.0,0.7350615
72.0,72.0,0.3296325
73.0,73.0,0.44095284
74.0,74.0,0.6496776
75.0,75.0,0.63064164
76.0,76.0,0.30918056
77.0,77.0,0.69955856
78.0,78.0,0.60615087
79.0,79.0,0.606191
80.0,80.0,0.46262836
81.0,81.0,0.42858687
82.0,82.0,0.87254304
83.0,83.0,0.683897
84.0,84.0,0.2970229
85.0,85.0,0.42316595
86.0,86.0,0.49813092
87.0,87.0,0.7487563
88.0,88.0,0.7237283
89.0,89.0,0.32176358
90.0,90.0,0.3192719
91.0,91.0,0.76836693
92.0,92.0,0.9170498
93.0,93.0,0.5912866
94.0,94.0,0.66379046
95.0,95.0,0.4826186
96.0,96.0,0.6638362
97.0,97.0,0.288214
98.0,98.0,0.6759453
99.0,99.0,0.72955585
100.0,100.0,0.85522187
101.0,101.0,0.9230408
102.0,102.0,0.36043087
103.0,103.0,0.3042528
104.0,104.0,0.49287647
105.0,105.0,0.2523278
106.0,106.0,0.2647327
107.0,107.0,0.67402047
108.0,108.0,0.33708242
109.0,109.0,0.2536864
110.0,110.0,0.71785325
111.0,111.0,0.6637355
112.0,112.0,0.45495346
113.0,113.0,0.7898381
114.0,114.0,0.6074115
115.0,115.0,0.41834304
116.0,116.0,0.60187703
117.0,117.0,0.5964082
118.0,118.0,0.6742472
119.0,119.0,0.70344037
120.0,120.0,0.6383731
121.0,121.0,0.31963277
122.0,122.0,0.53481793
123.0,123.0,0.48573735
124.0,124.0,0.71378756
125.0,125.0,0.62272274
126.0,126.0,0.5108765
127.0,127.0,0.26277015
128.0,128.0,0.3931034
129.0,129.0,0.65600854
130.0,130.0,0.36304104
131.0,131.0,0.65124077
132.0,132.0,0.46415135
133.0,133.0,0.6662502
134.0,134.0,0.3538495
135.0,135.0,0.42567214
136.0,136.0,0.39185068
137.0,137.0,0.45955294
138.0,138.0,0.6673994
139.0,139.0,0.48766738
140.0,140.0,0.74789435
141.0,141.0,0.25620624
142.0,142.0,0.61462754
143.0,143.0,0.45491263
144.0,144.0,0.5962447
145.0,145.0,0.40728736
146.0,146.0,0.5094547
147.0,147.0,0.6186482
148.0,148.0,0.6941675
149.0,149.0,0.43924227
150.0,150.0,0.74964076
151.0,151.0,0.5984985
152.0,152.0,0.6714435
153.0,153.0,0.43013385
154.0,154.0,0.41277573
155.0,155.0,0.43141705
156.0,156.0,0.3595678
157.0,157.0,0.7762861
158.0,158.0,0.80131733
159.0,159.0,0.4162881
160.0,160.0,0.610037
161.0,161.0,0.32630843
