x,y,species max
1.0,1.0,0.7544169
2.0,2.0,0.9593948
3.0,3.0,0.49699217
4.0,4.0,0.64403826
5.0,5.0,0.54983056
6.0,6.0,0.53897065
7.0,7.0,0.6790441
8.0,8.0,0.50057185
9.0,9.0,0.61577517
10.0,10.0,0.6184649
11.0,11.0,0.9229304
12.0,12.0,0.52822673
13.0,13.0,0.47277725
14.0,14.0,0.51197106
15.0,15.0,0.5610795
16.0,16.0,0.7613606
17.0,17.0,0.9228969
18.0,18.0,0.43828487
19.0,19.0,0.6493743
20.0,20.0,0.5785004
21.0,21.0,0.6279096
22.0,22.0,0.50832736
23.0,23.0,0.71690977
24.0,24.0,0.51336336
25.0,25.0,0.7349392
26.0,26.0,0.48167434
27.0,27.0,0.55297047
28.0,28.0,0.7385521
29.0,29.0,0.4167559
30.0,30.0,0.4740394
31.0,31.0,0.81986326
32.0,32.0,0.7465658
33.0,33.0,0.51641035
34.0,34.0,0.704886
35.0,35.0,0.66205645
36.0,36.0,0.4697868
37.0,37.0,0.478386
38.0,38.0,0.74173135
39.0,39.0,0.5943852
40.0,40.0,0.76989996
41.0,41.0,0.86933726
42.0,42.0,0.7889208
43.0,43.0,0.5310075
44.0,44.0,0.93149567
45.0,45.0,0.53146946
46.0,46.0,0.47527313
47.0,47.0,0.4939011
48.0,48.0,0.41779688
49.0,49.0,0.44159713
50.0,50.0,0.50744635
51.0,51.0,0.45576012
52.0,52.0,0.5751559
53.0,53.0,0.6301296
54.0,54.0,0.52972025
55.0,55.0,0.47922608
56.0,56.0,0.5408744
57.0,57.0,0.4210363
58.0,58.0,0.733978
59.0,59.0,0.46969277
60.0,60.0,0.7348075
61.0,61.0,0.63600135
62.0,62.0,0.6896617
63.0,63.0,0.6808536
64.0,64.0,0.7489258
65.0,65.0,0.7540109
66.0,66.0,0.755985
67.0,67.0,0.6258836
68.0,68.0,0.577679
69.0,69.0,0.6520507
70.0,70.0,0.48621
71.0,71.0,0.6043776
72.0,72.0,0.49776858
73.0,73.0,0.5579831
74.0,74.0,0.95324326
75.0,75.0,0.55161095
76.0,76.0,0.9156583
77.0,77.0,0.5304659
78.0,78.0,0.5015356
79.0,79.0,0.75433135
80.0,80.0,0.74446875
81.0,81.0,0.39411163
82.0,82.0,0.51160055
83.0,83.0,0.5104444
84.0,84.0,0.4377112
85.0,85.0,0.70205075
86.0,86.0,0.7044881
87.0,87.0,0.7241706
88.0,88.0,0.5149915
89.0,89.0,0.5544153
90.0,90.0,0.46501452
91.0,91.0,0.57417196
92.0,92.0,0.48614204
93.0,93.0,0.4878465
94.0,94.0,0.49383163
95.0,95.0,0.731319
96.0,96.0,0.66439134
97.0,97.0,0.58977485
98.0,98.0,0.46531248
99.0,99.0,0.4179302
100.0,100.0,0.7050054
101.0,101.0,0.48479143
102.0,102.0,0.634575
103.0,103.0,0.680843
104.0,104.0,0.53715616
105.0,105.0,0.59805816
106.0,106.0,0.6966709
107.0,107.0,0.73071563
108.0,108.0,0.849769
109.0,109.0,0.8029482
110.0,110.0,0.7573236
111.0,111.0,0.86534727
112.0,112.0,0.57639945
113.0,113.0,0.55394036
114.0,114.0,0.441424
115.0,115.0,0.683169
