x,y,species min
1.0,1.0,0.64387494
2.0,2.0,0.8558125
3.0,3.0,0.15142584
4.0,4.0,0.39168733
5.0,5.0,0.19723462
6.0,6.0,0.17480488
7.0,7.0,0.4637782
8.0,8.0,0.14571966
9.0,9.0,0.5280723
10.0,10.0,0.38572085
11.0,11.0,0.77177846
12.0,12.0,0.16608442
13.0,13.0,0.11305598
14.0,14.0,0.15336445
15.0,15.0,0.34717983
16.0,16.0,0.7205099
17.0,17.0,0.7940162
18.0,18.0,0.26859728
19.0,19.0,0.5711147
20.0,20.0,0.37785938
21.0,21.0,0.52311975
22.0,22.0,0.14373365
23.0,23.0,0.51845074
24.0,24.0,0.13880533
25.0,25.0,0.65029854
26.0,26.0,0.17719497
27.0,27.0,0.19851653
28.0,28.0,0.60198075
29.0,29.0,0.13644214
30.0,30.0,0.16961053
31.0,31.0,0.69435376
32.0,32.0,0.65622085
33.0,33.0,0.3762969
34.0,34.0,0.6060199
35.0,35.0,0.46876353
36.0,36.0,0.2871749
37.0,37.0,0.3420518
38.0,38.0,0.59556633
39.0,39.0,0.23849471
40.0,40.0,0.6426352
41.0,41.0,0.8169703
42.0,42.0,0.6557629
43.0,43.0,0.3022703
44.0,44.0,0.8644065
45.0,45.0,0.18312025
46.0,46.0,0.16523957
47.0,47.0,0.12253495
48.0,48.0,0.27843213
49.0,49.0,0.15521452
50.0,50.0,0.10977232
51.0,51.0,0.08529822
52.0,52.0,0.4184978
53.0,53.0,0.5591405
54.0,54.0,0.17574154
55.0,55.0,0.2492349
56.0,56.0,0.39739347
57.0,57.0,0.08372136
58.0,58.0,0.5947878
59.0,59.0,0.118138105
60.0,60.0,0.62684494
61.0,61.0,0.38028124
62.0,62.0,0.556544
63.0,63.0,0.4894311
64.0,64.0,0.72993547
65.0,65.0,0.68260974
66.0,66.0,0.67876685
67.0,67.0,0.26206142
68.0,68.0,0.32826886
69.0,69.0,0.37161276
70.0,70.0,0.10200185
71.0,71.0,0.5177567
72.0,72.0,0.3492474
73.0,73.0,0.18764658
74.0,74.0,0.8612012
75.0,75.0,0.322529
76.0,76.0,0.7648517
77.0,77.0,0.16074845
78.0,78.0,0.10808262
79.0,79.0,0.6198203
80.0,80.0,0.58597964
81.0,81.0,0.23823269
82.0,82.0,0.13369437
83.0,83.0,0.15817127
84.0,84.0,0.19987987
85.0,85.0,0.5258794
86.0,86.0,0.5964182
87.0,87.0,0.6569672
88.0,88.0,0.18476631
89.0,89.0,0.21253423
90.0,90.0,0.14164862
91.0,91.0,0.32951963
92.0,92.0,0.21464668
