x,y,species stddev
1.0,1.0,0.0286747
2.0,2.0,0.030675188
3.0,3.0,0.100099295
4.0,4.0,0.06972966
5.0,5.0,0.09924396
6.0,6.0,0.10470552
7.0,7.0,0.06482236
8.0,8.0,0.10259834
9.0,9.0,0.027682064
10.0,10.0,0.06854032
11.0,11.0,0.038229845
12.0,12.0,0.105367936
13.0,13.0,0.10666161
14.0,14.0,0.101856194
15.0,15.0,0.060374998
16.0,16.0,0.013670542
17.0,17.0,0.03936268
18.0,18.0,0.046478074
19.0,19.0,0.024730535
20.0,20.0,0.060050506
21.0,21.0,0.028333902
22.0,22.0,0.10922777
23.0,23.0,0.065478295
24.0,24.0,0.11053843
25.0,25.0,0.024561703
26.0,26.0,0.08592043
27.0,27.0,0.10236161
28.0,28.0,0.047902856
29.0,29.0,0.07956721
30.0,30.0,0.08521129
31.0,31.0,0.03324586
32.0,32.0,0.02497712
33.0,33.0,0.048777938
34.0,34.0,0.03044013
35.0,35.0,0.05798192
36.0,36.0,0.049156893
37.0,37.0,0.040134635
38.0,38.0,0.04626644
39.0,39.0,0.10503136
40.0,40.0,0.046594962
41.0,41.0,0.015756428
42.0,42.0,0.03632489
43.0,43.0,0.06376798
44.0,44.0,0.023229854
45.0,45.0,0.09766411
46.0,46.0,0.08638665
47.0,47.0,0.10989294
48.0,48.0,0.04552196
49.0,49.0,0.08081171
50.0,50.0,0.11465927
51.0,51.0,0.10404779
52.0,52.0,0.04772927
53.0,53.0,0.023870382
54.0,54.0,0.102855004
55.0,55.0,0.06704495
56.0,56.0,0.048423648
57.0,57.0,0.09397728
58.0,58.0,0.04842828
59.0,59.0,0.09731039
60.0,60.0,0.035973586
61.0,61.0,0.07673777
62.0,62.0,0.03974441
63.0,63.0,0.057607044
64.0,64.0,0.0067913723
65.0,65.0,0.023761442
66.0,66.0,0.02699288
67.0,67.0,0.109846264
68.0,68.0,0.074958675
69.0,69.0,0.07807619
70.0,70.0,0.11171638
71.0,71.0,0.026786244
72.0,72.0,0.04214067
73.0,73.0,0.10972984
74.0,74.0,0.028413502
75.0,75.0,0.06879671
76.0,76.0,0.04504257
77.0,77.0,0.106772445
78.0,78.0,0.11360708
79.0,79.0,0.034935754
80.0,80.0,0.053515017
81.0,81.0,0.04347369
82.0,82.0,0.11239103
83.0,83.0,0.10443064
84.0,84.0,0.06943263
85.0,85.0,0.054795075
86.0,86.0,0.031951744
87.0,87.0,0.0180847
88.0,88.0,0.09195739
89.0,89.0,0.09877562
90.0,90.0,0.089822285
91.0,91.0,0.073201746
92.0,92.0,0.0768988
93.0,93.0,0.110262915
94.0,94.0,0.10422094
95.0,95.0,0.024896393
96.0,96.0,0.056558363
97.0,97.0,0.0719886
98.0,98.0,0.10464608
99.0,99.0,0.04470183
100.0,100.0,0.03527887
101.0,101.0,0.07196646
102.0,102.0,0.06934584
103.0,103.0,0.06126571
104.0,104.0,0.10068025
105.0,105.0,0.06924151
106.0,106.0,0.023633935
107.0,107.0,0.053954825
108.0,108.0,0.032329276
109.0,109.0,0.08983601
110.0,110.0,0.029667998
111.0,111.0,0.025510194
112.0,112.0,0.07366307
113.0,113.0,0.10421077
114.0,114.0,0.04360617
115.0,115.0,0.057893697
116.0,116.0,0.07926772
117.0,117.0,0.025560334
118.0,118.0,0.034838136
119.0,119.0,0.02479151
120.0,120.0,0.033584017
121.0,121.0,0.05173049
122.0,122.0,0.028716592
123.0,123.0,0.03181461
124.0,124.0,0.046994876
125.0,125.0,0.061865058
126.0,126.0,0.10158956
127.0,127.0,0.035245936
128.0,128.0,0.056952838
129.0,129.0,0.020464594
130.0,130.0,0.02804456
131.0,131.0,0.1027038
132.0,132.0,0.10677
133.0,133.0,0.106785156
134.0,134.0,0.023154184
135.0,135.0,0.10029423
136.0,136.0,0.10217867
137.0,137.0,0.054141458
138.0,138.0,0.06312523
139.0,139.0,0.04156154
140.0,140.0,0.044939134
141.0,141.0,0.08539592
142.0,142.0,0.061952364
