x,y,species cloglog values
1.0,1.0,0.43797767
2.0,2.0,0.25770393
3.0,3.0,0.2738546
4.0,4.0,0.34822658
5.0,5.0,0.5503564
6.0,6.0,0.60933405
7.0,7.0,0.29234025
8.0,8.0,0.31234258
9.0,9.0,0.24940732
10.0,10.0,0.84849644
11.0,11.0,0.4428966
12.0,12.0,0.80880135
13.0,13.0,0.4266626
14.0,14.0,0.21285298
15.0,15.0,0.87265855
16.0,16.0,0.8533927
17.0,17.0,0.49032083
18.0,18.0,0.35727936
19.0,19.0,0.25150266
20.0,20.0,0.8678963
21.0,21.0,0.79942834
22.0,22.0,0.8804852
23.0,23.0,0.71463245
24.0,24.0,0.6323274
25.0,25.0,0.60423625
26.0,26.0,0.68292135
27.0,27.0,0.22203039
28.0,28.0,0.95972526
29.0,29.0,0.23458108
30.0,30.0,0.29642043
31.0,31.0,0.63113505
32.0,32.0,0.7702437
33.0,33.0,0.289092
34.0,34.0,0.8708136
35.0,35.0,0.24588019
36.0,36.0,0.2597106
37.0,37.0,0.259794
38.0,38.0,0.42648554
39.0,39.0,0.14871173
40.0,40.0,0.54233235
41.0,41.0,0.5956682
42.0,42.0,0.31626442
43.0,43.0,0.77511555
44.0,44.0,0.34252396
45.0,45.0,0.39880672
46.0,46.0,0.5456709
47.0,47.0,0.24139862
48.0,48.0,0.47102696
49.0,49.0,0.5419476
50.0,50.0,0.29226175
51.0,51.0,0.16924758
52.0,52.0,0.52162564
53.0,53.0,0.4525612
54.0,54.0,0.5579301
55.0,55.0,0.58221513
56.0,56.0,0.26336956
57.0,57.0,0.6768997
58.0,58.0,0.4661893
59.0,59.0,0.16508861
60.0,60.0,0.49174753
61.0,61.0,0.39529687
62.0,62.0,0.34452897
63.0,63.0,0.18981695
64.0,64.0,0.6127071
65.0,65.0,0.5638425
66.0,66.0,0.84771603
67.0,67.0,0.3762328
68.0,68.0,0.65612376
69.0,69.0,0.31706074
70.0,70.0,0.4579878
71.0,71.0,0.9020053
72.0,72.0,0.37831062
73.0,73.0,0.52674973
74.0,74.0,0.40817484
75.0,75.0,0.3512647
76.0,76.0,0.48507857
77.0,77.0,0.30174989
78.0,78.0,0.5054411
79.0,79.0,0.85767186
80.0,80.0,0.3609793
81.0,81.0,0.26262155
82.0,82.0,0.25590718
83.0,83.0,0.78039634
84.0,84.0,0.33491915
85.0,85.0,0.49356222
86.0,86.0,0.77049464
