Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.76554E-5,0.001765537,0.12601243,1,0,0
1.8139E-5,0.003579434,0.129230894,0.99990002,0,0
1.8173E-5,0.005396732,0.129456753,0.99980004,0,0
1.83007E-5,0.010876465,0.130304816,0.9995001,0,0
1.87154E-5,0.02569839,0.133051517,0.99870026,0,0
1.92855E-5,0.050496341,0.136813839,0.99740052,0,0
1.97643E-5,0.101348506,0.139961031,0.99480104,0,0
2.03244E-5,0.201807233,0.143627898,0.98980204,0,0
2.09111E-5,0.300876875,0.147452525,0.985002999,0,0
2.13807E-5,0.400397926,0.150501504,0.980303939,0,0
2.1779E-5,0.501773791,0.153078415,0.975604879,0,0
2.22775E-5,0.600686088,0.156293224,0.971105779,0,0
2.27064E-5,0.701964608,0.159049598,0.966606679,0,0
2.29414E-5,0.752200032,0.160556007,0.964407119,0,0
2.30995E-5,0.800530406,0.161567328,0.962307538,0,0
2.34459E-5,0.900541125,0.163780022,0.958008398,0,0
2.38461E-5,1.002195423,0.166329626,0.953709258,0,0
2.41636E-5,1.10054029,0.168346473,0.949610078,0,0
2.44935E-5,1.200299787,0.170436612,0.945510898,0,0
2.48089E-5,1.301384363,0.172430025,0.941411718,0,0
2.51322E-5,1.401155542,0.174468729,0.937412517,0,0
2.54619E-5,1.502217469,0.176542742,0.933413317,0,0
2.62017E-5,1.750522522,0.181176684,0.923815237,0,0
2.70073E-5,2.000753878,0.186193688,0.914417117,0,0
2.77435E-5,2.252706975,0.190751471,0.905218956,0,0
2.85787E-5,2.500628788,0.195891306,0.896420716,0,0
2.92713E-5,2.75234803,0.200128922,0.887722456,0,0
2.99321E-5,3.001062403,0.204151051,0.879324135,0,0
3.05394E-5,3.251951334,0.207829312,0.871025795,0,0
3.12565E-5,3.502300066,0.212151604,0.862927415,0,0
3.18192E-5,3.751491647,0.215526348,0.855028994,0,0
3.24804E-5,4.002425055,0.219473197,0.847230554,0,0
3.29357E-5,4.250928106,0.222179434,0.839632074,0,0
3.35067E-5,4.500343047,0.22556028,0.832133573,0,0
3.39834E-5,4.750103094,0.228371669,0.824735053,0,0
3.44056E-5,5.003176869,0.230853027,0.817336533,0,0
3.47973E-5,5.252208109,0.233148028,0.810137972,0,0
3.52868E-5,5.501073469,0.236006493,0.803039392,0,0
3.57513E-5,5.75314073,0.238708743,0.795940812,0,0
3.61708E-5,6.001245454,0.241141426,0.789042192,0,0
3.6664E-5,6.25274557,0.243990713,0.782143571,0,0
3.70547E-5,6.503446747,0.246241045,0.775344931,0,0
3.74484E-5,6.752933679,0.24850147,0.768646271,0,0
3.80045E-5,7.001880349,0.251682656,0.76204759,0,0
3.84905E-5,7.250562305,0.254451943,0.75554889,0,0
3.90367E-5,7.502420035,0.257552029,0.74905019,0,0
3.95142E-5,7.75377393,0.260251844,0.74265147,0,0
3.99545E-5,8.000125771,0.262732483,0.736452709,0,0
4.04275E-5,8.253290952,0.265388111,0.730153969,0,0
4.09102E-5,8.501306609,0.268088058,0.724055189,0,0
4.14044E-5,8.752259317,0.27084247,0.717956409,0,0
4.17922E-5,9.001905651,0.27299638,0.711957608,0,0
4.22209E-5,9.25377176,0.27537032,0.705958808,0,0
4.27935E-5,9.500507543,0.278528569,0.700159968,0,0
4.3275E-5,9.750012704,0.28117411,0.694361128,0,0
4.41978E-5,10.003537296,0.286216769,0.688562288,0,0
4.49156E-5,10.253155832,0.290114425,0.682963407,0,0
4.57177E-5,10.502344339,0.294444999,0.677464507,0,0
4.66079E-5,10.751610956,0.299220201,0.672065587,0,0
4.71315E-5,11.000159309,0.302014296,0.666766647,0,0
4.77132E-5,11.251664501,0.305104805,0.661467706,0,0
4.83304E-5,11.5013626,0.308369082,0.656268746,0,0
4.8956E-5,11.754418978,0.311661905,0.651069786,0,0
4.96361E-5,12.000975679,0.315223845,0.646070786,0,0
5.05848E-5,12.251343512,0.32016211,0.641071786,0,0
5.11798E-5,12.500762253,0.323241,0.636172765,0,0
5.19459E-5,12.753267436,0.327184623,0.631273745,0,0
5.2903E-5,13.004837619,0.332079125,0.626474705,0,0
5.38182E-5,13.250366802,0.336726352,0.621875625,0,0
5.46121E-5,13.500164549,0.34073147,0.617276545,0,0
5.54482E-5,13.75351917,0.344923185,0.612677465,0,0
5.5973E-5,14.004212877,0.347540686,0.608178364,0,0
5.67262E-5,14.252154267,0.351278685,0.603779244,0,0
5.76564E-5,14.50354093,0.355866023,0.599380124,0,0
5.84353E-5,14.753121854,0.359682103,0.595080984,0,0
5.91148E-5,15.000052703,0.362992967,0.590881824,0,0
5.98185E-5,15.255492587,0.366403254,0.586582683,0,0
6.08435E-5,15.503093591,0.3713386,0.582483503,0,0
6.14122E-5,15.753638485,0.374060194,0.578384323,0,0
6.22756E-5,16.000986912,0.378169161,0.574385123,0,0
6.31234E-5,16.251747073,0.382178,0.570385923,0,0
6.38534E-5,16.505673664,0.385609232,0.566386723,0,0
6.48283E-5,16.750363616,0.390161668,0.562587483,0,0
6.56147E-5,17.00455212,0.393809595,0.558688262,0,0
6.62401E-5,17.255150591,0.396694601,0.554889022,0,0
6.69224E-5,17.501447765,0.399826712,0.551189762,0,0
6.77239E-5,17.75029009,0.403485196,0.547490502,0,0
6.84771E-5,18.002295361,0.406903018,0.543791242,0,0
6.90989E-5,18.250005961,0.409709958,0.540191962,0,0
6.97669E-5,18.500006773,0.412710227,0.536592681,0,0
7.05556E-5,18.752493016,0.416233327,0.532993401,0,0
7.10738E-5,19.000386877,0.4185366,0.529494101,0,0
7.17062E-5,19.250376463,0.421335077,0.525994801,0,0
7.24218E-5,19.502598377,0.424485484,0.522495501,0,0
7.31057E-5,19.750116078,0.427480452,0.519096181,0,0
7.38072E-5,20.0071842,0.43053615,0.515596881,0,0
7.43908E-5,20.251627289,0.433065566,0.51229754,0,0
7.48635E-5,20.505361387,0.435106447,0.50889822,0,0
7.56927E-5,20.753927143,0.438668368,0.50559888,0,0
7.65403E-5,21.005036817,0.442286657,0.50229954,0,0
7.71901E-5,21.250842174,0.445044175,0.49910018,0,0
7.78177E-5,21.506722841,0.447695217,0.49580084,0,0
7.85358E-5,21.75686481,0.450712647,0.49260148,0,0
7.90449E-5,22.001143083,0.452841669,0.4895021,0,0
7.96104E-5,22.254812941,0.45519687,0.486302739,0,0
8.0124E-5,22.502612093,0.45732733,0.483203359,0,0
8.07752E-5,22.752138327,0.460016778,0.480103979,0,0
8.12781E-5,23.003413489,0.462084591,0.477004599,0,0
8.19323E-5,23.256348874,0.464762146,0.473905219,0,0
8.23744E-5,23.502874531,0.466564536,0.470905819,0,0
8.28087E-5,23.750719098,0.468328993,0.467906419,0,0
8.33464E-5,24.000012663,0.470505572,0.464907019,0,0
8.37746E-5,24.250614912,0.472232237,0.461907618,0,0
8.45573E-5,24.503195438,0.475374349,0.458908218,0,0
8.53973E-5,24.758182561,0.478725218,0.455908818,0,0
8.58688E-5,25.006536634,0.480596999,0.453009398,0,0
8.65553E-5,25.256452674,0.483310015,0.450109978,0,0
8.70047E-5,25.508164194,0.485078584,0.447210558,0,0
8.77502E-5,25.752822222,0.487998702,0.444411118,0,0
8.83955E-5,26.008153234,0.490512869,0.441511698,0,0
8.89401E-5,26.256502069,0.492625432,0.438712258,0,0
8.94279E-5,26.506338973,0.494509967,0.435912817,0,0
8.99113E-5,26.75750951,0.496370436,0.433113377,0,0
9.03798E-5,27.000786978,0.498167427,0.430413917,0,0
9.10354E-5,27.254871402,0.500671103,0.427614477,0,0
9.14842E-5,27.50130819,0.502377538,0.424915017,0,0
9.2167E-5,27.758401163,0.504963054,0.422115577,0,0
9.28228E-5,28.00803901,0.507433417,0.419416117,0,0
9.33491E-5,28.250118536,0.509407045,0.416816637,0,0
9.39749E-5,28.503142732,0.511743634,0.414117177,0,0
9.45183E-5,28.757650933,0.513763771,0.411417716,0,0
9.50903E-5,29.00422452,0.5158809,0.408818236,0,0
9.55945E-5,29.252195796,0.517739483,0.406218756,0,0
9.6106E-5,29.50140237,0.519617361,0.403619276,0,0
9.66042E-5,29.751982338,0.521439696,0.401019796,0,0
9.70795E-5,30.003664851,0.523172025,0.398420316,0,0
9.7662E-5,30.256926681,0.525286137,0.395820836,0,0
9.80484E-5,30.5015603,0.526683346,0.393321336,0,0
9.87301E-5,30.757301109,0.529138533,0.390721856,0,0
9.92103E-5,31.004692991,0.530860358,0.388222356,0,0
9.98691E-5,31.253605416,0.533212069,0.385722855,0,0
1.00371E-4,31.503858623,0.534994885,0.383223355,0,0
1.00938E-4,31.755654645,0.537002518,0.380723855,0,0
1.01513E-4,32.008911949,0.539030861,0.378224355,0,0
1.01973E-4,32.253162976,0.54064538,0.375824835,0,0
1.0247E-4,32.508727633,0.542382449,0.373325335,0,0
1.02859E-4,32.75505189,0.543738613,0.370925815,0,0
1.03441E-4,33.00263511,0.545759898,0.368526295,0,0
1.03914E-4,33.251550749,0.547397349,0.366126775,0,0
1.04329E-4,33.501456183,0.548827789,0.363727255,0,0
1.0479E-4,33.752452071,0.550410715,0.361327734,0,0
1.05167E-4,34.004537409,0.551702065,0.358928214,0,0
1.05617E-4,34.257527806,0.553238163,0.356528694,0,0
1.05924E-4,34.500778034,0.554283375,0.354229154,0,0
1.06451E-4,34.755641182,0.556071567,0.351829634,0,0
1.06835E-4,35.000994944,0.557371939,0.349530094,0,0
