Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt9 contribution,tmean9 contribution,vpdmax9 contribution,ppt9 permutation importance,tmean9 permutation importance,vpdmax9 permutation importance,Training gain without ppt9,Training gain without tmean9,Training gain without vpdmax9,Training gain with only ppt9,Training gain with only tmean9,Training gain with only vpdmax9,Test gain without ppt9,Test gain without tmean9,Test gain without vpdmax9,Test gain with only ppt9,Test gain with only tmean9,Test gain with only vpdmax9,AUC without ppt9,AUC without tmean9,AUC without vpdmax9,AUC with only ppt9,AUC with only tmean9,AUC with only vpdmax9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,30,0.4828,0.6433,320,0.8014,4,0.4320,0.7322,0.1019,10030,84.6593,15.3391,0.0016,78.2078,21.7922,0.0000,0.3080,0.4267,0.4828,0.3890,0.1060,0.0664,0.2905,0.4353,0.4297,0.5182,0.1570,0.1921,0.7264,0.7176,0.7316,0.7303,0.5440,0.6799,8.7305,0.3750,1.0000,0.0554,0.7782,0.0000,0.0000,3.667E-1,5.0000,0.2452,0.5842,0.0000,0.0000,1.165E-1,10.0000,0.3987,0.5080,0.0667,0.2500,3.246E-1,5.3356,0.2608,0.5772,0.0000,0.0000,1.11E-1,21.6932,0.5066,0.3889,0.1000,0.2500,1.667E-1,32.7104,0.5672,0.3000,0.3000,0.5000,3.483E-1,21.6932,0.5066,0.3889,0.1000,0.2500,1.667E-1,26.3037,0.5290,0.3500,0.2000,0.2500,1.265E-1,6.5457,0.3189,0.5553,0.0667,0.0000,9.511E-2,4.5168,0.2187,0.5955,0.0000,0.0000,1.258E-1,3.7707,0.1722,0.6169,0.0000,0.0000,1.449E-1
species_1,30,0.5076,0.7108,240,0.8164,4,0.2717,0.6726,0.0996,10030,79.7880,19.9747,0.2374,66.3991,30.2247,3.3763,0.3315,0.4314,0.5046,0.3902,0.1358,0.0644,0.0759,0.3749,0.2548,0.5133,-0.1038,0.1804,0.6393,0.6838,0.6768,0.7023,0.4066,0.6699,8.7059,0.3651,1.0000,0.0534,0.7625,0.0000,0.0000,3.381E-1,5.0000,0.2568,0.5802,0.0000,0.0000,1.133E-1,10.0000,0.3914,0.5079,0.0667,0.2500,3.244E-1,6.1116,0.3129,0.5600,0.0000,0.0000,9.836E-2,17.6725,0.4513,0.4242,0.1000,0.2500,2.082E-1,33.4450,0.5367,0.2843,0.3000,0.7500,7.377E-1,16.9404,0.4480,0.4317,0.0667,0.2500,2.176E-1,22.0419,0.4731,0.3819,0.2000,0.5000,4.932E-1,6.6786,0.3383,0.5514,0.0333,0.0000,9.247E-2,4.2986,0.2140,0.5960,0.0000,0.0000,1.262E-1,4.0678,0.2008,0.6020,0.0000,0.0000,1.313E-1
species_2,30,0.5157,0.8005,340,0.8294,4,0.1672,0.6458,0.0823,10030,84.5630,14.8138,0.6232,62.5187,30.5127,6.9686,0.3047,0.4310,0.5076,0.4031,0.1133,0.0811,0.3475,0.3308,0.2062,0.3379,0.1460,0.0855,0.7774,0.6381,0.6441,0.5675,0.6318,0.6594,8.6965,0.3607,1.0000,0.0518,0.7891,0.0000,0.0000,3.878E-1,5.0000,0.2053,0.5882,0.0000,0.0000,1.197E-1,10.0000,0.3659,0.4997,0.0333,0.2500,3.121E-1,9.1201,0.3471,0.5117,0.0000,0.2500,3.302E-1,19.5683,0.4866,0.4005,0.1000,0.5000,5.257E-1,36.5252,0.5684,0.2667,0.2667,0.7500,7.108E-1,30.6404,0.5440,0.3100,0.1667,0.7500,7.733E-1,19.5238,0.4862,0.4009,0.1000,0.5000,5.263E-1,7.2211,0.2896,0.5411,0.0000,0.0000,8.571E-2,5.1491,0.2122,0.5844,0.0000,0.0000,1.167E-1,4.6947,0.1940,0.5964,0.0000,0.0000,1.265E-1
species_3,30,0.4604,0.6513,260,0.8010,4,0.6677,0.8147,0.0686,10030,86.7304,13.2082,0.0614,75.4423,24.1410,0.4167,0.2960,0.4064,0.4596,0.3850,0.0999,0.0709,0.4066,0.6024,0.6530,0.5494,0.2406,0.1582,0.7975,0.7933,0.8114,0.7464,0.6559,0.6386,8.7533,0.3848,1.0000,0.0553,0.7802,0.0000,0.0000,3.705E-1,5.0000,0.2533,0.5877,0.0000,0.0000,1.193E-1,10.0000,0.4327,0.5150,0.1000,0.0000,7.032E-2,5.6858,0.2872,0.5740,0.0000,0.0000,1.085E-1,16.4584,0.5008,0.4517,0.1000,0.0000,4.165E-2,34.8291,0.5783,0.3028,0.3000,0.2500,8.583E-2,25.6290,0.5418,0.3737,0.1667,0.2500,1.502E-1,42.3974,0.6135,0.2500,0.3667,0.2500,5.081E-2,24.3328,0.5380,0.3841,0.1667,0.0000,2.178E-2,4.5221,0.2231,0.5988,0.0000,0.0000,1.286E-1,3.4424,0.1648,0.6312,0.0000,0.0000,1.587E-1
species_4,31,0.5154,0.8129,420,0.8398,3,0.0170,0.5603,0.0327,10031,79.2871,20.0924,0.6205,55.3312,36.4943,8.1745,0.3327,0.4159,0.5091,0.3916,0.1617,0.0714,-0.1347,0.5789,0.1368,0.5502,-0.4170,0.1860,0.5933,0.7712,0.5924,0.6625,0.2046,0.6744,8.6984,0.3617,1.0000,0.0508,0.7795,0.0000,0.0000,4.736E-1,5.0000,0.2309,0.5850,0.0000,0.0000,2.002E-1,10.0000,0.3868,0.5061,0.0645,0.0000,1.297E-1,6.7449,0.3057,0.5516,0.0000,0.0000,1.678E-1,21.7280,0.4895,0.3900,0.0968,0.6667,7.73E-1,40.0347,0.5695,0.2463,0.2581,1.0000,1E0,36.4450,0.5583,0.2722,0.1935,1.0000,1E0,13.0622,0.4390,0.4721,0.0645,0.3333,4.582E-1,11.7119,0.4211,0.4865,0.0645,0.0000,1.151E-1,4.6997,0.2124,0.5922,0.0000,0.0000,2.076E-1,4.4955,0.2023,0.5974,0.0000,0.0000,2.133E-1
species_5,31,0.5098,0.7658,300,0.8280,3,0.2225,0.7276,0.1259,10031,89.7816,10.0918,0.1266,66.5290,28.7852,4.6858,0.3192,0.4602,0.5076,0.4462,0.1050,0.0982,0.1859,0.0681,0.2121,-0.0448,0.2679,-0.1361,0.7195,0.7600,0.7310,0.6672,0.7257,0.3982,8.7037,0.3675,1.0000,0.0529,0.7125,0.0000,0.0000,3.617E-1,5.0000,0.2994,0.5506,0.0000,0.3333,5.756E-1,10.0000,0.4594,0.4892,0.0000,0.3333,4.838E-1,10.1854,0.4617,0.4873,0.0000,0.3333,4.809E-1,16.9138,0.5461,0.4312,0.0968,0.3333,3.974E-1,41.7651,0.6040,0.2581,0.2581,0.3333,1.655E-1,36.9985,0.5959,0.2894,0.1935,0.3333,2.028E-1,30.4760,0.5830,0.3334,0.1935,0.3333,2.593E-1,54.5691,0.6341,0.1782,0.4839,0.3333,8.399E-2,3.8126,0.2238,0.5738,0.0000,0.0000,1.889E-1,2.8753,0.1612,0.6006,0.0000,0.0000,2.167E-1
species_6,31,0.4487,0.6555,280,0.8021,3,0.7586,0.8843,0.0282,10031,92.2462,7.1655,0.5883,64.2077,27.2071,8.5852,0.3118,0.4091,0.4423,0.3980,0.0534,0.1119,0.1789,0.5400,0.7928,0.4326,0.6492,-0.3203,0.7030,0.7553,0.9044,0.6061,0.9676,0.3044,8.7648,0.3897,1.0000,0.0552,0.7892,0.0000,0.0000,4.915E-1,5.0000,0.2349,0.5897,0.0000,0.0000,2.05E-1,10.0000,0.4254,0.5106,0.0323,0.0000,1.331E-1,6.3696,0.3030,0.5616,0.0000,0.0000,1.771E-1,20.6279,0.5462,0.4134,0.0968,0.0000,7.066E-2,43.0172,0.6443,0.2581,0.2581,0.0000,1.719E-2,36.5275,0.6251,0.2993,0.1935,0.0000,2.68E-2,56.0258,0.6907,0.1826,0.4516,0.3333,8.788E-2,56.0150,0.6907,0.1826,0.4516,0.0000,6.092E-3,4.8080,0.2249,0.5945,0.0000,0.0000,2.101E-1,3.3809,0.1555,0.6384,0.0000,0.0000,2.602E-1
species_7,31,0.4572,0.6361,280,0.7989,3,0.7649,0.8445,0.0903,10031,88.4321,11.5223,0.0455,74.1176,24.8152,1.0673,0.2907,0.4102,0.4565,0.3902,0.0772,0.0758,0.4677,0.6403,0.7437,0.5636,0.4610,0.1387,0.8101,0.8271,0.8397,0.7786,0.7073,0.5966,8.7561,0.3864,1.0000,0.0550,0.7728,0.0000,0.0000,4.615E-1,5.0000,0.2600,0.5845,0.0000,0.0000,1.997E-1,10.0000,0.4349,0.5129,0.0645,0.0000,1.349E-1,5.3472,0.2781,0.5775,0.0000,0.0000,1.926E-1,16.0920,0.5049,0.4539,0.0968,0.0000,9.351E-2,35.8740,0.5939,0.2977,0.2903,0.3333,2.131E-1,22.8715,0.5413,0.3960,0.1290,0.0000,6.209E-2,30.9281,0.5741,0.3334,0.2581,0.3333,2.593E-1,25.5096,0.5527,0.3748,0.1935,0.0000,5.267E-2,4.3393,0.2235,0.5995,0.0000,0.0000,2.155E-1,3.2503,0.1597,0.6329,0.0000,0.0000,2.536E-1
species_8,31,0.4569,0.6566,260,0.7953,3,0.7321,0.8296,0.0836,10031,88.8292,11.1708,0.0000,76.8605,23.1395,0.0000,0.2682,0.4178,0.4568,0.3898,0.1092,0.0673,0.7183,0.4765,0.7342,0.5621,0.2469,0.2134,0.8778,0.7139,0.8298,0.7693,0.7051,0.7679,8.7563,0.3864,1.0000,0.0531,0.7744,0.0000,0.0000,4.644E-1,5.0000,0.2613,0.5860,0.0000,0.0000,2.012E-1,10.0000,0.4309,0.5143,0.0323,0.0000,1.36E-1,5.6934,0.2967,0.5725,0.0000,0.0000,1.877E-1,18.2612,0.5306,0.4372,0.0968,0.0000,8.359E-2,35.3660,0.5808,0.3023,0.2903,0.3333,2.189E-1,11.6132,0.4625,0.4971,0.0323,0.0000,1.228E-1,31.1963,0.5643,0.3334,0.2903,0.3333,2.593E-1,27.3089,0.5519,0.3635,0.2903,0.0000,4.802E-2,4.3973,0.2235,0.5997,0.0000,0.0000,2.157E-1,3.2895,0.1644,0.6330,0.0000,0.0000,2.537E-1
species_9,31,0.4608,0.7064,260,0.8104,3,0.6781,0.8833,0.0185,10031,88.0868,11.9132,0.0000,75.7064,24.2936,0.0000,0.2811,0.4157,0.4608,0.3924,0.1227,0.0762,0.5347,0.5680,0.6784,0.5234,0.0864,0.1281,0.8328,0.7574,0.8833,0.6952,0.7894,0.5815,8.7526,0.3843,1.0000,0.0520,0.7957,0.0000,0.0000,5.039E-1,5.0000,0.2282,0.5899,0.0000,0.0000,2.052E-1,10.0000,0.4205,0.5098,0.0323,0.0000,1.325E-1,5.8813,0.2731,0.5706,0.0000,0.0000,1.858E-1,13.8736,0.5075,0.4710,0.0968,0.0000,1.045E-1,43.3134,0.6246,0.2566,0.2581,0.0000,1.69E-2,43.2979,0.6246,0.2567,0.2258,0.0000,1.692E-2,61.8408,0.6658,0.1422,0.5484,0.0000,2.873E-3,61.8408,0.6658,0.1422,0.5484,0.0000,2.873E-3,4.9183,0.2228,0.5920,0.0000,0.0000,2.074E-1,3.6118,0.1618,0.6307,0.0000,0.0000,2.509E-1
