x,y,species avg
1.0,1.0,0.56659484
2.0,2.0,0.7186577
3.0,3.0,0.54340196
4.0,4.0,0.5131029
5.0,5.0,0.86423755
6.0,6.0,0.09538425
7.0,7.0,0.018995194
8.0,8.0,0.114143856
9.0,9.0,0.58077085
10.0,10.0,0.45686516
11.0,11.0,0.08716003
12.0,12.0,0.019528812
13.0,13.0,0.048316594
14.0,14.0,0.60707396
15.0,15.0,0.08488643
16.0,16.0,0.55736285
17.0,17.0,0.5541127
18.0,18.0,0.64322996
19.0,19.0,0.048870828
20.0,20.0,0.020052185
21.0,21.0,0.013666805
22.0,22.0,0.4881936
23.0,23.0,0.6203322
24.0,24.0,0.041520115
25.0,25.0,0.6456501
26.0,26.0,0.6129471
27.0,27.0,0.04396549
28.0,28.0,0.35039514
29.0,29.0,0.029452348
30.0,30.0,0.38306475
31.0,31.0,0.1744793
32.0,32.0,0.8610603
33.0,33.0,0.5736648
34.0,34.0,0.8687116
35.0,35.0,0.08178026
36.0,36.0,0.01563318
37.0,37.0,0.4602758
38.0,38.0,0.063717626
39.0,39.0,0.018293286
40.0,40.0,0.36468944
41.0,41.0,0.5438266
42.0,42.0,0.759208
43.0,43.0,0.017922742
44.0,44.0,0.7903332
45.0,45.0,0.6050634
46.0,46.0,0.35986146
47.0,47.0,0.57460886
48.0,48.0,0.016653135
49.0,49.0,0.04115203
50.0,50.0,0.052732922
51.0,51.0,0.113626
52.0,52.0,0.48339453
53.0,53.0,0.5596305
54.0,54.0,0.0606755
55.0,55.0,0.061560955
56.0,56.0,0.020740638
57.0,57.0,0.20769592
58.0,58.0,0.019767154
59.0,59.0,0.25844634
60.0,60.0,0.06257624
61.0,61.0,0.8361943
62.0,62.0,0.26320508
63.0,63.0,0.60700274
64.0,64.0,0.12904514
65.0,65.0,0.069936156
66.0,66.0,0.77298814
67.0,67.0,0.5674223
68.0,68.0,0.1432431
69.0,69.0,0.7287574
70.0,70.0,0.014260509
71.0,71.0,0.029471412
72.0,72.0,0.030261178
73.0,73.0,0.051478676
74.0,74.0,0.56855
75.0,75.0,0.55827874
76.0,76.0,0.54640245
77.0,77.0,0.5341149
78.0,78.0,0.74011546
79.0,79.0,0.5159558
80.0,80.0,0.62833995
81.0,81.0,0.15861116
82.0,82.0,0.06847641
83.0,83.0,0.7146028
84.0,84.0,0.07083493
85.0,85.0,0.7201352
86.0,86.0,0.021926206
87.0,87.0,0.5903051
88.0,88.0,0.7620842
89.0,89.0,0.036846638
90.0,90.0,0.017488068
91.0,91.0,0.6579696
92.0,92.0,0.042782556
93.0,93.0,0.03358842
94.0,94.0,0.49927345
95.0,95.0,0.5598234
96.0,96.0,0.5174653
97.0,97.0,0.5711559
98.0,98.0,0.022515316
99.0,99.0,0.7328036
100.0,100.0,0.03460596
101.0,101.0,0.80219924
102.0,102.0,0.20373888
103.0,103.0,0.57859623
104.0,104.0,0.33913565
105.0,105.0,0.043710202
106.0,106.0,0.8173704
107.0,107.0,0.08669362
108.0,108.0,0.49437454
109.0,109.0,0.039274972
110.0,110.0,0.79155374
111.0,111.0,0.84956545
112.0,112.0,0.057513565
113.0,113.0,0.06044691
114.0,114.0,0.72175795
115.0,115.0,0.55366415
116.0,116.0,0.6076778
117.0,117.0,0.13579531
118.0,118.0,0.031658065
119.0,119.0,0.10222894
120.0,120.0,0.19113368
121.0,121.0,0.83581007
122.0,122.0,0.31653523
123.0,123.0,0.06415412
124.0,124.0,0.8380649
125.0,125.0,0.1254551
126.0,126.0,0.85204625
127.0,127.0,0.13590702
128.0,128.0,0.017163755
129.0,129.0,0.46439216
130.0,130.0,0.6138191
131.0,131.0,0.7954194
132.0,132.0,0.49426827
133.0,133.0,0.5939937
134.0,134.0,0.84493506
135.0,135.0,0.40720564
136.0,136.0,0.81915826
137.0,137.0,0.6264479
138.0,138.0,0.58494943
139.0,139.0,0.0882493
140.0,140.0,0.6572511
141.0,141.0,0.5456948
142.0,142.0,0.2316084
143.0,143.0,0.56611085
144.0,144.0,0.026088156
145.0,145.0,0.008487383
146.0,146.0,0.7900853
147.0,147.0,0.3571946
148.0,148.0,0.048186623
149.0,149.0,0.60282713
150.0,150.0,0.864494
151.0,151.0,0.54933816
152.0,152.0,0.056923665
153.0,153.0,0.07920623
154.0,154.0,0.18490767
155.0,155.0,0.79110825
156.0,156.0,0.060628634
157.0,157.0,0.8950054
158.0,158.0,0.1301267
159.0,159.0,0.32786372
160.0,160.0,0.5207656
161.0,161.0,0.83241487
162.0,162.0,0.04859836
163.0,163.0,0.027117496
164.0,164.0,0.017032888
165.0,165.0,0.47222453
166.0,166.0,0.0854136
167.0,167.0,0.15222849
168.0,168.0,0.53313965
169.0,169.0,0.8641494
170.0,170.0,0.03786776
171.0,171.0,0.04003646
172.0,172.0,0.7665784
173.0,173.0,0.40741003
174.0,174.0,0.49735704
175.0,175.0,0.74788845
176.0,176.0,0.5510911
177.0,177.0,0.024597727
178.0,178.0,0.50006
179.0,179.0,0.5306696
180.0,180.0,0.03904616
181.0,181.0,0.036736216
182.0,182.0,0.050049216
183.0,183.0,0.16534767
184.0,184.0,0.7038565
185.0,185.0,0.034636687
186.0,186.0,0.042563174
187.0,187.0,0.023734357
188.0,188.0,0.10343787
189.0,189.0,0.5463278
190.0,190.0,0.7553788
191.0,191.0,0.51435685
192.0,192.0,0.8013231
193.0,193.0,0.033234507
194.0,194.0,0.4946975
195.0,195.0,0.5117563
196.0,196.0,0.019860705
197.0,197.0,0.5844527
198.0,198.0,0.114142485
199.0,199.0,0.34475926
200.0,200.0,0.014784987
201.0,201.0,0.84333825
202.0,202.0,0.6941806
203.0,203.0,0.15234719
204.0,204.0,0.5888077
205.0,205.0,0.16914934
206.0,206.0,0.04120023
207.0,207.0,0.5547454
208.0,208.0,0.11209909
209.0,209.0,0.013666695
210.0,210.0,0.8186095
211.0,211.0,0.5538127
212.0,212.0,0.5936444
213.0,213.0,0.6764909
214.0,214.0,0.55714625
215.0,215.0,0.14887159
216.0,216.0,0.081885114
217.0,217.0,0.61007434
218.0,218.0,0.020990994
219.0,219.0,0.52867645
220.0,220.0,0.23974086
221.0,221.0,0.59226984
222.0,222.0,0.027179588
223.0,223.0,0.6823429
224.0,224.0,0.5632086
225.0,225.0,0.33472422
226.0,226.0,0.017054176
227.0,227.0,0.38586187
228.0,228.0,0.619764
229.0,229.0,0.5649335
230.0,230.0,0.015246622
231.0,231.0,0.1901788
232.0,232.0,0.023918211
233.0,233.0,0.60151666
234.0,234.0,0.067304894
235.0,235.0,0.008308167
236.0,236.0,0.019500159
237.0,237.0,0.14498164
238.0,238.0,0.09970847
239.0,239.0,0.5002686
240.0,240.0,0.14156854
241.0,241.0,0.53604335
242.0,242.0,0.055832256
243.0,243.0,0.03771492
244.0,244.0,0.6033864
245.0,245.0,0.1366393
246.0,246.0,0.007963571
247.0,247.0,0.87991786
248.0,248.0,0.015635911
249.0,249.0,0.73329777
250.0,250.0,0.85150975
251.0,251.0,0.5210311
252.0,252.0,0.22266252
253.0,253.0,0.33229607
254.0,254.0,0.07670558
255.0,255.0,0.8679398
256.0,256.0,0.8558703
257.0,257.0,0.51688
258.0,258.0,0.09546117
259.0,259.0,0.07528843
260.0,260.0,0.72870064
261.0,261.0,0.13744722
262.0,262.0,0.74372566
263.0,263.0,0.7036252
264.0,264.0,0.022071406
265.0,265.0,0.31212014
266.0,266.0,0.793376
267.0,267.0,0.04802957
268.0,268.0,0.75832605
269.0,269.0,0.107117
270.0,270.0,0.012888546
271.0,271.0,0.6955269
272.0,272.0,0.07196674
273.0,273.0,0.5483958
274.0,274.0,0.5509379
275.0,275.0,0.062216043
276.0,276.0,0.054569386
277.0,277.0,0.55863285
278.0,278.0,0.46933326
279.0,279.0,0.73125905
280.0,280.0,0.45449916
281.0,281.0,0.5906407
282.0,282.0,0.58385456
283.0,283.0,0.77538663
284.0,284.0,0.51135564
285.0,285.0,0.017373426
286.0,286.0,0.02864193
287.0,287.0,0.8086189
288.0,288.0,0.7819492
289.0,289.0,0.12162949
290.0,290.0,0.5616357
291.0,291.0,0.05898704
292.0,292.0,0.010462378
293.0,293.0,0.62143755
294.0,294.0,0.09707769
295.0,295.0,0.5602818
296.0,296.0,0.0060005262
297.0,297.0,0.3508361
298.0,298.0,0.095062315
299.0,299.0,0.014596657
300.0,300.0,0.5371922
301.0,301.0,0.011193678
302.0,302.0,0.60532266
303.0,303.0,0.005951708
304.0,304.0,0.004644337
305.0,305.0,0.012701306
306.0,306.0,0.1485807
307.0,307.0,0.27033025
308.0,308.0,0.47426257
309.0,309.0,0.30537888
310.0,310.0,0.036445726
311.0,311.0,0.8570309
312.0,312.0,0.11923865
313.0,313.0,0.029369976
314.0,314.0,0.0142322
315.0,315.0,0.7975799
316.0,316.0,0.030694358
317.0,317.0,0.5845242
318.0,318.0,0.5282593
319.0,319.0,0.122884326
320.0,320.0,0.65424025
321.0,321.0,0.58645576
322.0,322.0,0.01393931
323.0,323.0,0.05037036
324.0,324.0,0.016646126
325.0,325.0,0.034733742
326.0,326.0,0.070128344
327.0,327.0,0.6007289
328.0,328.0,0.07571523
329.0,329.0,0.62990195
330.0,330.0,0.057791974
331.0,331.0,0.018210666
332.0,332.0,0.5023164
333.0,333.0,0.75258446
334.0,334.0,0.8945272
335.0,335.0,0.015936386
336.0,336.0,0.85250545
337.0,337.0,0.5865636
338.0,338.0,0.8235921
339.0,339.0,0.4465239
340.0,340.0,0.5700594
341.0,341.0,0.49183944
342.0,342.0,0.014915943
343.0,343.0,0.34774682
344.0,344.0,0.054537162
345.0,345.0,0.6942614
346.0,346.0,0.086308084
347.0,347.0,0.7108352
348.0,348.0,0.01979127
349.0,349.0,0.59385693
350.0,350.0,0.7425292
351.0,351.0,0.8361582
352.0,352.0,0.010378874
353.0,353.0,0.45574582
354.0,354.0,0.77601194
355.0,355.0,0.5167947
356.0,356.0,0.018953083
357.0,357.0,0.007436
358.0,358.0,0.65900284
359.0,359.0,0.022114847
360.0,360.0,0.8195758
361.0,361.0,0.022422122
362.0,362.0,0.09962387
363.0,363.0,0.026214175
364.0,364.0,0.05936883
365.0,365.0,0.30698547
366.0,366.0,0.058917463
367.0,367.0,0.37947387
368.0,368.0,0.2373582
369.0,369.0,0.043210175
370.0,370.0,0.08622764
371.0,371.0,0.013119867
372.0,372.0,0.5325476
373.0,373.0,0.06224266
374.0,374.0,0.12772414
375.0,375.0,0.021587603
376.0,376.0,0.014296174
377.0,377.0,0.046437576
378.0,378.0,0.12757035
379.0,379.0,0.09155525
380.0,380.0,0.5983696
381.0,381.0,0.8878526
382.0,382.0,0.13654953
383.0,383.0,0.6306297
384.0,384.0,0.6022609
385.0,385.0,0.20391548
386.0,386.0,0.033082608
387.0,387.0,0.0357579
388.0,388.0,0.6862441
389.0,389.0,0.06210339
390.0,390.0,0.7872838
391.0,391.0,0.6168784
392.0,392.0,0.02668121
393.0,393.0,0.024014523
394.0,394.0,0.6610568
395.0,395.0,0.02701454
396.0,396.0,0.39297956
397.0,397.0,0.47142768
398.0,398.0,0.18224038
399.0,399.0,0.14744882
400.0,400.0,0.532525
401.0,401.0,0.7117066
402.0,402.0,0.6934566
403.0,403.0,0.02668319
404.0,404.0,0.8073041
405.0,405.0,0.042753045
406.0,406.0,0.35410067
407.0,407.0,0.036745608
408.0,408.0,0.15786661
409.0,409.0,0.016957358
410.0,410.0,0.55951595
411.0,411.0,0.49948204
412.0,412.0,0.012853992
413.0,413.0,0.07000002
414.0,414.0,0.06966537
415.0,415.0,0.042967245
416.0,416.0,0.03647759
417.0,417.0,0.030601535
418.0,418.0,0.61806506
419.0,419.0,0.07545644
420.0,420.0,0.8051231
421.0,421.0,0.7763155
422.0,422.0,0.012188192
423.0,423.0,0.82871526
424.0,424.0,0.5442073
425.0,425.0,0.5335061
426.0,426.0,0.54904175
427.0,427.0,0.058806885
428.0,428.0,0.86169547
429.0,429.0,0.429772
430.0,430.0,0.10302853
431.0,431.0,0.11055538
432.0,432.0,0.73633385
433.0,433.0,0.016151106
434.0,434.0,0.597085
435.0,435.0,0.024253948
436.0,436.0,0.0236128
437.0,437.0,0.5914138
438.0,438.0,0.5216808
439.0,439.0,0.16867018
440.0,440.0,0.66713667
441.0,441.0,0.034252714
442.0,442.0,0.6170533
443.0,443.0,0.8583579
444.0,444.0,0.64081943
445.0,445.0,0.5211364
446.0,446.0,0.720508
447.0,447.0,0.65274143
448.0,448.0,0.602482
449.0,449.0,0.8188037
450.0,450.0,0.8044312
451.0,451.0,0.00495414
452.0,452.0,0.03283899
