x,y,species median
1.0,1.0,0.5611082
2.0,2.0,0.7150811
3.0,3.0,0.5312472
4.0,4.0,0.5282613
5.0,5.0,0.8805953
6.0,6.0,0.10056853
7.0,7.0,0.02042333
8.0,8.0,0.118128195
9.0,9.0,0.5900516
10.0,10.0,0.48127112
11.0,11.0,0.09262329
12.0,12.0,0.020338679
13.0,13.0,0.05120657
14.0,14.0,0.6323772
15.0,15.0,0.09053786
16.0,16.0,0.55335826
17.0,17.0,0.57989687
18.0,18.0,0.67455345
19.0,19.0,0.05149356
20.0,20.0,0.02108898
21.0,21.0,0.014296994
22.0,22.0,0.50016004
23.0,23.0,0.6388222
24.0,24.0,0.04146812
25.0,25.0,0.6836799
26.0,26.0,0.63930273
27.0,27.0,0.047702905
28.0,28.0,0.36106327
29.0,29.0,0.029714495
30.0,30.0,0.4157992
31.0,31.0,0.18112813
32.0,32.0,0.87930286
33.0,33.0,0.5706204
34.0,34.0,0.88201797
35.0,35.0,0.083185606
36.0,36.0,0.015835624
37.0,37.0,0.46977165
38.0,38.0,0.06442485
39.0,39.0,0.019624861
40.0,40.0,0.374334
41.0,41.0,0.5367111
42.0,42.0,0.7664273
43.0,43.0,0.018172793
44.0,44.0,0.8094753
45.0,45.0,0.6065138
46.0,46.0,0.3749514
47.0,47.0,0.57368433
48.0,48.0,0.016231703
49.0,49.0,0.04446467
50.0,50.0,0.056619257
51.0,51.0,0.11997488
52.0,52.0,0.5081142
53.0,53.0,0.5533788
54.0,54.0,0.061044056
55.0,55.0,0.064937964
56.0,56.0,0.022248445
57.0,57.0,0.2128343
58.0,58.0,0.019523503
59.0,59.0,0.25927803
60.0,60.0,0.067068845
61.0,61.0,0.8522073
62.0,62.0,0.28572813
63.0,63.0,0.64990544
64.0,64.0,0.13660333
65.0,65.0,0.074657835
66.0,66.0,0.77594584
67.0,67.0,0.5695389
68.0,68.0,0.14285529
69.0,69.0,0.74698424
70.0,70.0,0.01437311
71.0,71.0,0.032443732
72.0,72.0,0.031098848
73.0,73.0,0.054367438
74.0,74.0,0.58288604
75.0,75.0,0.5971912
76.0,76.0,0.5514193
77.0,77.0,0.54203784
78.0,78.0,0.74735624
79.0,79.0,0.5394989
80.0,80.0,0.6386267
81.0,81.0,0.16924159
82.0,82.0,0.07337183
83.0,83.0,0.72675496
84.0,84.0,0.0733948
85.0,85.0,0.72309595
86.0,86.0,0.023017459
87.0,87.0,0.58576524
88.0,88.0,0.782874
89.0,89.0,0.037591994
90.0,90.0,0.017268322
91.0,91.0,0.68831223
92.0,92.0,0.043450788
93.0,93.0,0.03706796
94.0,94.0,0.5059954
95.0,95.0,0.5742128
96.0,96.0,0.5345343
97.0,97.0,0.6101478
98.0,98.0,0.022061542
99.0,99.0,0.73992807
100.0,100.0,0.037604325
101.0,101.0,0.8021001
102.0,102.0,0.20597298
103.0,103.0,0.5815501
104.0,104.0,0.3500518
105.0,105.0,0.044103332
106.0,106.0,0.8312661
107.0,107.0,0.08885271
108.0,108.0,0.49681276
109.0,109.0,0.04023374
110.0,110.0,0.7960391
111.0,111.0,0.84497285
112.0,112.0,0.059322562
113.0,113.0,0.062920325
114.0,114.0,0.7232635
115.0,115.0,0.56792986
116.0,116.0,0.6114301
117.0,117.0,0.13555904
118.0,118.0,0.03213568
119.0,119.0,0.104667075
120.0,120.0,0.19828966
121.0,121.0,0.8368145
122.0,122.0,0.35843325
123.0,123.0,0.067485616
124.0,124.0,0.8379521
125.0,125.0,0.12899777
126.0,126.0,0.8727599
127.0,127.0,0.14024927
128.0,128.0,0.017363325
129.0,129.0,0.47667038
130.0,130.0,0.6320235
131.0,131.0,0.80004406
132.0,132.0,0.5101254
133.0,133.0,0.60222167
134.0,134.0,0.8525207
135.0,135.0,0.43463123
136.0,136.0,0.8304833
137.0,137.0,0.6428312
138.0,138.0,0.6065973
139.0,139.0,0.096425734
140.0,140.0,0.661266
141.0,141.0,0.54867554
