X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,1.3062815966268472E-4,25.7689958303035,0.5698358763006837
3.0,3.0,train,1.557429353231737E-4,43.75933057590831,0.6342400758404108
4.0,4.0,train,1.495649176384185E-4,38.9785318773871,0.6193522434942794
5.0,5.0,train,1.6731127818864883E-4,50.159704302708356,0.6605693888208712
6.0,6.0,train,1.8983864667277575E-4,62.34470925111294,0.7065259533217396
7.0,7.0,train,1.847591675559337E-4,60.175006549907856,0.6967395019046194
8.0,8.0,train,3.781888007285421E-4,95.66771659997166,0.9130410881341303
12.0,12.0,train,1.0396272480909964E-4,14.23157812566916,0.4889995226738668
13.0,13.0,train,1.0770344278406184E-4,15.431616699608059,0.5011960153240551
14.0,14.0,train,1.5888548034313034E-4,45.624234365746915,0.6415881247334632
17.0,17.0,train,7.39973360604701E-5,8.954857503019884,0.3798972904061946
18.0,18.0,train,1.7566403326032181E-4,54.955648140204595,0.6783937495690306
19.0,19.0,train,2.469422580652293E-4,79.91544415559936,0.7970382234588826
20.0,20.0,train,1.909834142524152E-4,62.82803827173275,0.708687559129787
21.0,21.0,train,2.4007154330066277E-4,78.49185539783117,0.7878298996012922
22.0,22.0,train,1.0042804900788585E-4,13.34607390249799,0.47720091117150765
23.0,23.0,train,1.711673304446212E-4,52.51181743546295,0.6689175635071324
24.0,24.0,train,1.4791666225920377E-4,37.73592351515394,0.6152788624775465
25.0,25.0,train,1.1967338602747664E-4,20.571826730066785,0.5383015096372935
26.0,26.0,train,2.1029213804320135E-4,70.09007014442453,0.7428391295167164
27.0,27.0,train,1.9004585883897977E-4,62.41258523803055,0.7069184068403151
28.0,28.0,train,4.346984379258642E-4,98.31889638323835,0.9396295324315
29.0,29.0,train,3.996437840784828E-4,97.0262701288585,0.9242922303012294
30.0,30.0,train,3.3504311376931E-4,92.72750727623699,0.8850993468536971
31.0,31.0,train,4.1696671476647247E-4,97.85012346700772,0.9323051305405048
32.0,32.0,train,4.312477279229931E-4,98.2777094863169,0.9382691067519984
33.0,33.0,train,3.507820214565298E-4,93.88445306689744,0.896204046032164
34.0,34.0,train,2.237256746115859E-4,73.84451068508913,0.7642082717776513
9.0,9.0,test,1.4543551584424462E-4,35.56652802060745,0.609064790515607
2.0,2.0,test,1.741175536332894E-4,54.145188778364044,0.6751657536665592
15.0,15.0,test,2.1238860046795318E-4,70.58038563946053,0.7462973222247542
11.0,11.0,test,1.350878975681675E-4,27.95458216439915,0.5820482015023671
10.0,10.0,test,2.182046213043532E-4,72.31279970263283,0.7556495357270411
16.0,16.0,test,1.6338461844647164E-4,48.118940395417596,0.6518520047598648
