x,y,species stddev
1.0,1.0,0.05026148
2.0,2.0,0.041967135
3.0,3.0,0.05567683
4.0,4.0,0.03775046
5.0,5.0,0.043704085
6.0,6.0,0.014678345
7.0,7.0,0.00413164
8.0,8.0,0.015521914
9.0,9.0,0.033911623
10.0,10.0,0.09644308
11.0,11.0,0.0132060405
12.0,12.0,0.0040872903
13.0,13.0,0.008944341
14.0,14.0,0.07732146
15.0,15.0,0.013290282
16.0,16.0,0.043307904
17.0,17.0,0.08934668
18.0,18.0,0.06969036
19.0,19.0,0.009029219
20.0,20.0,0.004141107
21.0,21.0,0.003201931
22.0,22.0,0.046552893
23.0,23.0,0.04973436
24.0,24.0,0.010127088
25.0,25.0,0.055647556
26.0,26.0,0.055957
27.0,27.0,0.008258431
28.0,28.0,0.036569104
29.0,29.0,0.006654358
30.0,30.0,0.048546344
31.0,31.0,0.019508937
32.0,32.0,0.04167362
33.0,33.0,0.048529677
34.0,34.0,0.039532308
35.0,35.0,0.012882124
36.0,36.0,0.0057157045
37.0,37.0,0.031640712
38.0,38.0,0.012837641
39.0,39.0,0.004008472
40.0,40.0,0.03796242
41.0,41.0,0.056247346
42.0,42.0,0.03739345
43.0,43.0,0.0044704997
44.0,44.0,0.037505824
45.0,45.0,0.04725351
46.0,46.0,0.043097053
47.0,47.0,0.052750178
48.0,48.0,0.0044898675
49.0,49.0,0.008014254
50.0,50.0,0.009653174
51.0,51.0,0.016012056
52.0,52.0,0.05438803
53.0,53.0,0.056466203
54.0,54.0,0.010925422
55.0,55.0,0.010922302
56.0,56.0,0.004374873
57.0,57.0,0.039811376
58.0,58.0,0.0046802997
59.0,59.0,0.02601297
60.0,60.0,0.01055846
61.0,61.0,0.03793522
62.0,62.0,0.036595512
63.0,63.0,0.06800948
64.0,64.0,0.018252393
65.0,65.0,0.017437523
66.0,66.0,0.040535897
67.0,67.0,0.05848143
68.0,68.0,0.02318969
69.0,69.0,0.04169447
70.0,70.0,0.0033140683
71.0,71.0,0.0062848846
72.0,72.0,0.005913755
73.0,73.0,0.009369135
74.0,74.0,0.057473965
75.0,75.0,0.083982356
76.0,76.0,0.059552632
77.0,77.0,0.06098517
78.0,78.0,0.029222019
79.0,79.0,0.043692607
80.0,80.0,0.048861496
81.0,81.0,0.025477953
82.0,82.0,0.012226914
83.0,83.0,0.03804121
84.0,84.0,0.009680546
85.0,85.0,0.04688497
86.0,86.0,0.0045026136
87.0,87.0,0.047888424
88.0,88.0,0.052275125
89.0,89.0,0.008709172
90.0,90.0,0.00482317
91.0,91.0,0.06404056
92.0,92.0,0.008756458
93.0,93.0,0.005663938
94.0,94.0,0.05026914
95.0,95.0,0.039774608
96.0,96.0,0.03602622
97.0,97.0,0.08522659
98.0,98.0,0.0059540505
99.0,99.0,0.031337917
100.0,100.0,0.005950987
101.0,101.0,0.018362366
102.0,102.0,0.027282132
103.0,103.0,0.034837898
104.0,104.0,0.034861278
105.0,105.0,0.010315598
106.0,106.0,0.03520862
107.0,107.0,0.013072034
108.0,108.0,0.042206462
109.0,109.0,0.008672651
110.0,110.0,0.019887779
111.0,111.0,0.020500744
112.0,112.0,0.012663393
113.0,113.0,0.012180732
114.0,114.0,0.036191925
115.0,115.0,0.04238151
116.0,116.0,0.041012544
