Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt11 contribution,tdmean11 contribution,tmean11 contribution,vpdmin11 contribution,ppt11 permutation importance,tdmean11 permutation importance,tmean11 permutation importance,vpdmin11 permutation importance,Training gain without ppt11,Training gain without tdmean11,Training gain without tmean11,Training gain without vpdmin11,Training gain with only ppt11,Training gain with only tdmean11,Training gain with only tmean11,Training gain with only vpdmin11,Test gain without ppt11,Test gain without tdmean11,Test gain without tmean11,Test gain without vpdmin11,Test gain with only ppt11,Test gain with only tdmean11,Test gain with only tmean11,Test gain with only vpdmin11,AUC without ppt11,AUC without tdmean11,AUC without tmean11,AUC without vpdmin11,AUC with only ppt11,AUC with only tdmean11,AUC with only tmean11,AUC with only vpdmin11,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,30,0.4725,0.7680,300,0.8493,4,-0.0151,0.6121,0.0881,10030,34.0684,57.0836,5.1268,3.7212,20.9398,60.1282,15.3126,3.6194,0.4488,0.4040,0.4486,0.4703,0.2259,0.3556,0.1673,0.1147,-0.0880,0.3184,0.1043,0.0589,0.2110,0.2190,0.0672,-0.4522,0.5944,0.7259,0.6222,0.6348,0.5541,0.6812,0.6235,0.3701,8.7406,0.3776,1.0000,0.0723,0.7888,0.0000,0.0000,3.872E-1,5.0000,0.2265,0.6241,0.0000,0.2500,5.173E-1,10.0000,0.3245,0.5283,0.0000,0.2500,3.561E-1,10.5999,0.3339,0.5189,0.0000,0.2500,3.414E-1,32.8607,0.5787,0.2887,0.1000,0.5000,3.285E-1,43.2186,0.6700,0.2228,0.2333,0.7500,6.352E-1,32.8607,0.5787,0.2887,0.1000,0.5000,3.285E-1,13.0745,0.3691,0.4834,0.0667,0.5000,6.623E-1,4.9901,0.2262,0.6244,0.0000,0.0000,1.52E-1,4.8054,0.2206,0.6290,0.0000,0.0000,1.565E-1,5.0412,0.2277,0.6232,0.0000,0.2500,5.157E-1
species_1,30,0.3694,0.5908,400,0.7970,4,0.7248,0.8623,0.0333,10030,43.4158,50.8555,2.8175,2.9112,41.5175,38.9128,7.8508,11.7189,0.3363,0.3323,0.3632,0.3572,0.2061,0.2819,0.0838,0.0472,0.7075,0.7405,0.7124,0.7997,0.3102,0.7159,0.5458,0.1299,0.8557,0.8997,0.8502,0.8851,0.6106,0.8958,0.7925,0.6366,8.8441,0.4220,1.0000,0.0850,0.8305,0.0000,0.0000,4.757E-1,5.0000,0.2491,0.6670,0.0000,0.0000,1.979E-1,10.0000,0.3648,0.5731,0.0000,0.0000,1.079E-1,12.9655,0.4106,0.5314,0.0000,0.0000,7.975E-2,18.9244,0.4810,0.4616,0.1000,0.0000,4.541E-2,44.1364,0.6614,0.2575,0.2667,0.0000,4.398E-3,44.1364,0.6614,0.2575,0.2333,0.0000,4.398E-3,52.0003,0.7086,0.2104,0.4000,0.2500,3.136E-2,51.9826,0.7084,0.2104,0.4000,0.0000,1.959E-3,4.8310,0.2416,0.6712,0.0000,0.0000,2.029E-1,4.0869,0.2124,0.6912,0.0000,0.0000,2.283E-1
species_2,30,0.4149,0.7357,420,0.8282,4,0.5953,0.8005,0.0642,10030,33.0086,58.5133,7.3612,1.1169,51.2813,22.4151,19.2559,7.0476,0.3755,0.3679,0.3952,0.4094,0.2028,0.3329,0.1474,0.0479,0.4982,0.6698,0.6170,0.5833,0.3769,0.3534,0.2147,0.1328,0.7746,0.8568,0.7958,0.7992,0.7601,0.7200,0.7423,0.6615,8.7984,0.4006,1.0000,0.0804,0.8309,0.0000,0.0000,4.767E-1,5.0000,0.2161,0.6601,0.0000,0.0000,1.899E-1,10.0000,0.3334,0.5586,0.0000,0.0000,9.738E-2,10.3496,0.3393,0.5529,0.0000,0.0000,9.348E-2,16.7556,0.4279,0.4662,0.1000,0.0000,4.724E-2,39.4233,0.6221,0.2647,0.2667,0.5000,2.868E-1,39.4086,0.6220,0.2647,0.2333,0.5000,2.868E-1,37.1118,0.6054,0.2808,0.2333,0.2500,6.988E-2,26.4618,0.5187,0.3664,0.2000,0.0000,1.802E-2,5.4925,0.2321,0.6474,0.0000,0.0000,1.756E-1,4.9950,0.2159,0.6603,0.0000,0.0000,1.901E-1
species_3,30,0.4235,0.6937,420,0.8117,4,0.4100,0.7507,0.0996,10030,40.9549,51.5618,6.3107,1.1726,60.5722,10.0187,15.8334,13.5757,0.3701,0.3809,0.4082,0.4077,0.2169,0.3334,0.1329,0.0385,0.5220,0.5400,0.4683,0.5233,0.2566,0.3177,0.3236,0.1807,0.7885,0.8142,0.7547,0.7746,0.5821,0.7117,0.6959,0.8009,8.7898,0.3967,1.0000,0.0750,0.8338,0.0000,0.0000,4.833E-1,5.0000,0.2177,0.6620,0.0000,0.0000,1.921E-1,10.0000,0.3354,0.5606,0.0333,0.2500,4.085E-1,6.2268,0.2526,0.6320,0.0000,0.0000,1.595E-1,17.2492,0.4309,0.4634,0.1000,0.2500,2.597E-1,35.4333,0.5696,0.2930,0.3000,0.2500,7.852E-2,27.9368,0.5188,0.3554,0.1667,0.2500,1.317E-1,41.2494,0.6059,0.2500,0.3333,0.2500,5.081E-2,46.1019,0.6354,0.2171,0.4333,0.2500,3.429E-2,5.4483,0.2304,0.6504,0.0000,0.0000,1.79E-1,5.2790,0.2249,0.6547,0.0000,0.0000,1.838E-1
species_4,31,0.3967,0.6441,160,0.8144,3,0.8682,0.9017,0.0347,10031,37.8536,58.5838,2.7538,0.8088,41.4584,37.7925,17.2548,3.4943,0.3596,0.3568,0.3858,0.3889,0.2078,0.3146,0.1159,0.0456,0.7317,0.8455,0.7754,0.8723,0.3888,0.5700,0.5086,0.1796,0.8820,0.9077,0.8646,0.9064,0.7223,0.7834,0.7715,0.7071,8.8167,0.4092,1.0000,0.0843,0.8235,0.0000,0.0000,5.586E-1,5.0000,0.2393,0.6592,0.0000,0.0000,2.864E-1,10.0000,0.3442,0.5629,0.0645,0.0000,1.783E-1,8.1232,0.3103,0.5948,0.0000,0.0000,2.104E-1,15.2862,0.4161,0.4895,0.0968,0.0000,1.173E-1,41.4888,0.6433,0.2581,0.2581,0.0000,1.719E-2,29.4975,0.5551,0.3458,0.1613,0.0000,4.136E-2,54.7871,0.7345,0.1816,0.4839,0.3333,8.699E-2,54.7717,0.7343,0.1816,0.4839,0.0000,5.993E-3,4.9109,0.2358,0.6614,0.0000,0.0000,2.894E-1,4.4887,0.2211,0.6724,0.0000,0.0000,3.04E-1
species_5,31,0.4642,0.7673,360,0.8410,3,0.1883,0.6855,0.1349,10031,30.5996,62.4511,3.7236,3.2257,39.6352,42.7306,9.5206,8.1135,0.4202,0.4109,0.4545,0.4466,0.2106,0.3622,0.1561,0.0501,0.1115,0.2932,0.1193,0.3096,0.3754,0.1016,0.0892,0.1334,0.6510,0.7087,0.6561,0.7068,0.8083,0.6511,0.4986,0.6232,8.7499,0.3801,1.0000,0.0759,0.8133,0.0000,0.0000,5.379E-1,5.0000,0.2107,0.6403,0.0000,0.0000,2.625E-1,10.0000,0.3122,0.5362,0.0323,0.3333,5.543E-1,6.6050,0.2484,0.6017,0.0000,0.3333,6.505E-1,22.0902,0.4656,0.3802,0.0968,0.3333,3.238E-1,37.2720,0.6131,0.2581,0.2581,0.6667,5.916E-1,31.9645,0.5697,0.2955,0.1613,0.3333,2.103E-1,27.1668,0.5241,0.3334,0.1613,0.3333,2.593E-1,35.4192,0.5970,0.2706,0.2258,0.3333,1.8E-1,5.4744,0.2223,0.6282,0.0000,0.0000,2.479E-1,5.4386,0.2216,0.6290,0.0000,0.0000,2.489E-1
species_6,31,0.4426,0.7145,300,0.8298,3,0.4189,0.7429,0.1214,10031,31.9648,63.4006,3.4737,1.1609,39.8061,42.3532,12.1927,5.6480,0.4028,0.3947,0.4312,0.4313,0.2077,0.3569,0.1515,0.0439,0.2665,0.4544,0.3754,0.4589,0.3953,0.1625,0.1538,0.1911,0.6984,0.7506,0.7301,0.7500,0.8296,0.6595,0.5869,0.7493,8.7708,0.3889,1.0000,0.0772,0.8179,0.0000,0.0000,5.471E-1,5.0000,0.2225,0.6472,0.0000,0.0000,2.711E-1,10.0000,0.3212,0.5454,0.0645,0.0000,1.622E-1,6.3466,0.2521,0.6154,0.0000,0.0000,2.331E-1,22.0591,0.4712,0.3912,0.0968,0.3333,3.394E-1,39.0056,0.6196,0.2541,0.2581,0.3333,1.609E-1,39.0056,0.6196,0.2541,0.2258,0.3333,1.609E-1,28.3723,0.5344,0.3334,0.1935,0.3333,2.593E-1,11.3040,0.3421,0.5248,0.0645,0.0000,1.445E-1,5.1906,0.2265,0.6424,0.0000,0.0000,2.651E-1,5.1946,0.2266,0.6423,0.0000,0.0000,2.65E-1
species_7,31,0.4247,0.6727,380,0.8166,3,0.5246,0.8061,0.0377,10031,34.1823,55.7283,9.6225,0.4669,44.7038,35.5606,17.7716,1.9641,0.3953,0.3894,0.4071,0.4223,0.2086,0.3373,0.1830,0.0648,0.3428,0.4763,0.5407,0.4792,0.3350,0.2957,-0.1757,-0.0054,0.7492,0.8217,0.7925,0.7919,0.7642,0.6952,0.5777,0.5936,8.7888,0.3955,1.0000,0.0780,0.8390,0.0000,0.0000,5.906E-1,5.0000,0.2242,0.6694,0.0000,0.0000,3E-1,10.0000,0.3255,0.5692,0.0000,0.0000,1.844E-1,10.2431,0.3291,0.5651,0.0000,0.0000,1.805E-1,16.2143,0.4026,0.4796,0.0968,0.0000,1.103E-1,39.3515,0.5847,0.2581,0.2581,0.3333,1.655E-1,37.8604,0.5741,0.2693,0.2258,0.3333,1.785E-1,35.7565,0.5596,0.2858,0.2258,0.3333,1.984E-1,35.7506,0.5595,0.2858,0.2258,0.0000,2.335E-2,5.1718,0.2301,0.6651,0.0000,0.0000,2.943E-1,5.6349,0.2445,0.6540,0.0000,0.0000,2.797E-1
species_8,31,0.4634,0.7567,320,0.8396,3,0.1518,0.6664,0.1180,10031,41.4025,53.8991,2.5536,2.1448,47.3758,36.6462,8.8349,7.1431,0.3973,0.4204,0.4596,0.4477,0.2463,0.3466,0.1200,0.0570,0.3251,0.1557,0.0579,0.2541,0.0099,0.2477,0.4288,0.0644,0.7178,0.6599,0.6420,0.6883,0.6076,0.7460,0.6756,0.5595,8.7496,0.3813,1.0000,0.0736,0.7902,0.0000,0.0000,4.933E-1,5.0000,0.2267,0.6262,0.0000,0.0000,2.455E-1,10.0000,0.3257,0.5291,0.0645,0.3333,5.435E-1,6.4349,0.2610,0.5941,0.0000,0.0000,2.096E-1,25.4458,0.5165,0.3504,0.0968,0.6667,7.259E-1,38.0823,0.6326,0.2581,0.2581,0.6667,5.916E-1,25.4458,0.5165,0.3504,0.0968,0.6667,7.259E-1,25.2097,0.5142,0.3524,0.0968,0.3333,2.85E-1,7.4446,0.2789,0.5739,0.0323,0.0000,1.89E-1,4.8347,0.2224,0.6303,0.0000,0.0000,2.505E-1,4.8947,0.2236,0.6289,0.0000,0.0000,2.487E-1
species_9,31,0.4630,0.7748,260,0.8433,3,0.1248,0.6605,0.1287,10031,48.8426,44.7764,4.9269,1.4541,59.5019,18.4274,18.6107,3.4600,0.3991,0.4367,0.4481,0.4601,0.2607,0.3243,0.1577,0.0949,0.2196,-0.0006,0.1143,0.0431,-0.1677,0.4090,0.0679,-0.3673,0.6941,0.6407,0.6449,0.6326,0.4805,0.7428,0.6440,0.3098,8.7508,0.3811,1.0000,0.0722,0.7970,0.0000,0.0000,5.063E-1,5.0000,0.2345,0.6371,0.0000,0.0000,2.586E-1,10.0000,0.3233,0.5415,0.0000,0.3333,5.621E-1,11.7005,0.3497,0.5153,0.0000,0.3333,5.229E-1,18.5232,0.4271,0.4280,0.0968,0.3333,3.927E-1,40.4572,0.6228,0.2398,0.2258,0.6667,5.606E-1,37.2943,0.5965,0.2608,0.1613,0.6667,5.961E-1,27.9924,0.5100,0.3334,0.1290,0.3333,2.593E-1,33.0048,0.5594,0.2920,0.1613,0.3333,2.06E-1,4.5344,0.2226,0.6485,0.0000,0.0000,2.727E-1,5.3294,0.2410,0.6295,0.0000,0.3333,6.9E-1
