x,y,species cloglog values
1.0,1.0,0.21210249
2.0,2.0,0.24636875
3.0,3.0,0.86928815
4.0,4.0,0.50315666
5.0,5.0,0.43777084
6.0,6.0,0.069107935
7.0,7.0,0.68330926
8.0,8.0,0.043421544
9.0,9.0,0.008113125
10.0,10.0,0.378118
11.0,11.0,0.009149325
12.0,12.0,0.006241768
13.0,13.0,0.4415936
14.0,14.0,0.4281939
15.0,15.0,0.83337104
16.0,16.0,0.6344383
17.0,17.0,0.06865549
18.0,18.0,0.00654502
19.0,19.0,0.79012376
20.0,20.0,0.43873003
21.0,21.0,0.40295762
22.0,22.0,0.62370783
23.0,23.0,0.4766244
24.0,24.0,0.06355061
25.0,25.0,0.04300412
26.0,26.0,0.4174418
27.0,27.0,0.43935505
28.0,28.0,0.32839724
29.0,29.0,0.3054888
30.0,30.0,0.6151239
31.0,31.0,0.26073402
32.0,32.0,0.009824379
33.0,33.0,0.8565785
34.0,34.0,0.36179176
35.0,35.0,0.062292628
36.0,36.0,0.075612016
37.0,37.0,0.25281096
38.0,38.0,0.17420064
39.0,39.0,0.776516
40.0,40.0,0.8128986
41.0,41.0,0.4789592
42.0,42.0,0.45463493
43.0,43.0,0.15969647
44.0,44.0,0.42681873
45.0,45.0,0.3963343
46.0,46.0,0.2721317
47.0,47.0,0.014873892
48.0,48.0,0.35796195
49.0,49.0,0.38984033
50.0,50.0,0.22590502
51.0,51.0,0.2938011
52.0,52.0,0.015124247
53.0,53.0,0.74722743
54.0,54.0,0.03270943
55.0,55.0,0.19423887
56.0,56.0,0.15544027
57.0,57.0,0.017358111
58.0,58.0,0.70368296
59.0,59.0,0.4034279
60.0,60.0,0.086520866
61.0,61.0,0.5232195
62.0,62.0,0.32484707
63.0,63.0,0.4147312
64.0,64.0,0.067383744
65.0,65.0,0.018840937
66.0,66.0,0.020766364
67.0,67.0,0.4248876
68.0,68.0,0.7466626
69.0,69.0,0.683547
70.0,70.0,0.15139894
71.0,71.0,0.7305134
72.0,72.0,0.5639342
73.0,73.0,0.81153053
74.0,74.0,0.16683544
75.0,75.0,0.30289358
76.0,76.0,0.049682256
77.0,77.0,0.014529004
78.0,78.0,0.7234899
79.0,79.0,0.16388394
80.0,80.0,0.019838631
81.0,81.0,0.056164414
82.0,82.0,0.23216727
83.0,83.0,0.61871123
84.0,84.0,0.9032013
85.0,85.0,0.80033326
86.0,86.0,0.0906482
87.0,87.0,0.66188854
88.0,88.0,0.06556489
89.0,89.0,0.9100821
90.0,90.0,0.3111522
91.0,91.0,0.40143195
92.0,92.0,0.40125555
93.0,93.0,0.58505
94.0,94.0,0.47221678
95.0,95.0,0.4340766
96.0,96.0,0.3074253
97.0,97.0,0.025648452
98.0,98.0,0.08431612
99.0,99.0,0.023176547
100.0,100.0,0.41799387
101.0,101.0,0.25966468
102.0,102.0,0.051797673
103.0,103.0,0.26059628
104.0,104.0,0.45453802
105.0,105.0,0.39253625
106.0,106.0,0.39739043
107.0,107.0,0.8916864
108.0,108.0,0.23829862
109.0,109.0,0.074221425
110.0,110.0,0.0064105107
111.0,111.0,0.42822486
112.0,112.0,0.035615847
