x,y,species max
1.0,1.0,0.90595126
2.0,2.0,0.20965347
3.0,3.0,0.21793786
4.0,4.0,0.10891688
5.0,5.0,0.5419417
6.0,6.0,0.6679152
7.0,7.0,0.18365757
8.0,8.0,0.43909708
9.0,9.0,0.4773819
10.0,10.0,0.048412368
11.0,11.0,0.6059355
12.0,12.0,0.51957184
13.0,13.0,0.20322652
14.0,14.0,0.55259126
15.0,15.0,0.20855512
16.0,16.0,0.22573625
17.0,17.0,0.53889006
18.0,18.0,0.6905662
19.0,19.0,0.6286809
20.0,20.0,0.036987003
21.0,21.0,0.46297285
22.0,22.0,0.17800227
23.0,23.0,0.506612
24.0,24.0,0.480025
25.0,25.0,0.028938297
26.0,26.0,0.762765
27.0,27.0,0.120475136
28.0,28.0,0.17144938
29.0,29.0,0.19346116
30.0,30.0,0.4435959
31.0,31.0,0.5984609
32.0,32.0,0.5757024
33.0,33.0,0.6388378
34.0,34.0,0.60585827
35.0,35.0,0.32180384
36.0,36.0,0.45023248
37.0,37.0,0.41980255
38.0,38.0,0.91302913
39.0,39.0,0.02755198
40.0,40.0,0.74272233
41.0,41.0,0.9129931
42.0,42.0,0.6643686
43.0,43.0,0.4218794
44.0,44.0,0.50467396
45.0,45.0,0.093594566
46.0,46.0,0.83145916
47.0,47.0,0.05330467
48.0,48.0,0.16833338
49.0,49.0,0.9192699
50.0,50.0,0.8967801
51.0,51.0,0.37350023
52.0,52.0,0.27527994
53.0,53.0,0.77347606
54.0,54.0,0.038733225
55.0,55.0,0.43531683
56.0,56.0,0.378964
57.0,57.0,0.6938365
58.0,58.0,0.18836881
59.0,59.0,0.31912795
60.0,60.0,0.9108807
61.0,61.0,0.6384047
62.0,62.0,0.6665101
63.0,63.0,0.77004284
64.0,64.0,0.7534165
65.0,65.0,0.15719053
66.0,66.0,0.21600099
67.0,67.0,0.27358577
68.0,68.0,0.4404188
69.0,69.0,0.031419948
70.0,70.0,0.15328635
71.0,71.0,0.19122101
72.0,72.0,0.89368176
73.0,73.0,0.65368927
74.0,74.0,0.26947585
75.0,75.0,0.52701986
76.0,76.0,0.59349805
77.0,77.0,0.916023
78.0,78.0,0.16801856
79.0,79.0,0.08731375
80.0,80.0,0.30871293
81.0,81.0,0.6090425
82.0,82.0,0.08097233
83.0,83.0,0.89698476
84.0,84.0,0.4146954
85.0,85.0,0.46158844
86.0,86.0,0.54697526
87.0,87.0,0.59653497
88.0,88.0,0.57860565
89.0,89.0,0.03395219
90.0,90.0,0.026730381
91.0,91.0,0.37501267
92.0,92.0,0.14863516
93.0,93.0,0.45860076
94.0,94.0,0.5583012
95.0,95.0,0.53665686
96.0,96.0,0.061062213
97.0,97.0,0.4615778
98.0,98.0,0.9427453
99.0,99.0,0.12866725
100.0,100.0,0.12816419
101.0,101.0,0.2629725
102.0,102.0,0.09297701
