x,y,species min
1.0,1.0,0.7018025
2.0,2.0,0.06396876
3.0,3.0,0.090610705
4.0,4.0,0.050731093
5.0,5.0,0.41593766
6.0,6.0,0.5147696
7.0,7.0,0.082508706
8.0,8.0,0.34444934
9.0,9.0,0.28622413
10.0,10.0,0.016419085
11.0,11.0,0.2852694
12.0,12.0,0.39042753
13.0,13.0,0.11321363
14.0,14.0,0.42278004
15.0,15.0,0.10925353
16.0,16.0,0.107947014
17.0,17.0,0.3696385
18.0,18.0,0.3890208
19.0,19.0,0.45825458
20.0,20.0,0.006751396
21.0,21.0,0.26294374
22.0,22.0,0.055285882
23.0,23.0,0.31886494
24.0,24.0,0.36397788
25.0,25.0,0.013513572
26.0,26.0,0.508988
27.0,27.0,0.045282587
28.0,28.0,0.090145476
29.0,29.0,0.09077747
30.0,30.0,0.23778698
31.0,31.0,0.25988236
32.0,32.0,0.24560744
33.0,33.0,0.44708577
34.0,34.0,0.4131454
35.0,35.0,0.21923703
36.0,36.0,0.30906886
37.0,37.0,0.25621632
38.0,38.0,0.76251185
39.0,39.0,0.008262769
40.0,40.0,0.5322353
41.0,41.0,0.8024484
42.0,42.0,0.4997363
43.0,43.0,0.24311064
44.0,44.0,0.36393178
45.0,45.0,0.047051657
46.0,46.0,0.6892791
47.0,47.0,0.020112714
48.0,48.0,0.07604851
49.0,49.0,0.70232886
50.0,50.0,0.73457384
51.0,51.0,0.18805164
52.0,52.0,0.13842493
53.0,53.0,0.6228685
54.0,54.0,0.016992437
55.0,55.0,0.27928334
56.0,56.0,0.19256026
57.0,57.0,0.5766887
58.0,58.0,0.10087063
59.0,59.0,0.26779974
60.0,60.0,0.73884225
61.0,61.0,0.45474753
62.0,62.0,0.46729788
63.0,63.0,0.62813073
64.0,64.0,0.6017258
65.0,65.0,0.07360484
66.0,66.0,0.10403386
67.0,67.0,0.1962154
68.0,68.0,0.3312149
69.0,69.0,0.015034678
70.0,70.0,0.09529694
71.0,71.0,0.09657499
72.0,72.0,0.76807123
73.0,73.0,0.4911062
74.0,74.0,0.13630854
75.0,75.0,0.3550442
76.0,76.0,0.3370044
77.0,77.0,0.7737345
78.0,78.0,0.08645661
79.0,79.0,0.03901496
80.0,80.0,0.2127773
81.0,81.0,0.35647854
82.0,82.0,0.034230124
83.0,83.0,0.81059045
84.0,84.0,0.22109012
85.0,85.0,0.2663246
86.0,86.0,0.42630443
87.0,87.0,0.5154789
88.0,88.0,0.44685444
89.0,89.0,0.010146788
90.0,90.0,0.0128398
91.0,91.0,0.286554
92.0,92.0,0.08220406
93.0,93.0,0.27761158
94.0,94.0,0.34624037
95.0,95.0,0.11378581
96.0,96.0,0.025660235
97.0,97.0,0.3070731
98.0,98.0,0.8873278
