x,y,species max
1.0,1.0,0.011117107
2.0,2.0,0.045011103
3.0,3.0,0.17299418
4.0,4.0,0.44933817
5.0,5.0,0.0026585024
6.0,6.0,0.22191449
7.0,7.0,0.0054126605
8.0,8.0,7.982652E-4
9.0,9.0,0.0012858867
10.0,10.0,0.0047690975
11.0,11.0,0.06303587
12.0,12.0,0.8136497
13.0,13.0,0.5067209
14.0,14.0,0.8996443
15.0,15.0,0.0876273
16.0,16.0,0.44566998
17.0,17.0,0.04148206
18.0,18.0,0.014284037
19.0,19.0,0.002239059
20.0,20.0,7.1412977E-4
21.0,21.0,0.5922112
22.0,22.0,0.0019631528
23.0,23.0,0.12488958
24.0,24.0,0.06765557
25.0,25.0,0.54209316
26.0,26.0,0.12772268
27.0,27.0,0.6514838
28.0,28.0,0.054056138
29.0,29.0,0.104197204
30.0,30.0,0.17485096
31.0,31.0,0.17564525
32.0,32.0,0.74898106
33.0,33.0,0.01577115
34.0,34.0,0.10637476
35.0,35.0,0.0148818735
36.0,36.0,0.21145229
37.0,37.0,0.078694336
38.0,38.0,0.525668
39.0,39.0,0.0058482834
40.0,40.0,0.74537367
41.0,41.0,0.02254129
42.0,42.0,0.0027868277
43.0,43.0,0.0040070587
44.0,44.0,0.53223646
45.0,45.0,0.83957756
46.0,46.0,0.4409162
47.0,47.0,0.040831346
48.0,48.0,0.8441935
49.0,49.0,0.20839141
50.0,50.0,0.59686124
51.0,51.0,0.004029921
52.0,52.0,0.0022434033
53.0,53.0,0.0022288954
54.0,54.0,0.019963376
55.0,55.0,0.012127096
56.0,56.0,0.5376383
57.0,57.0,0.004242252
58.0,58.0,0.35040683
59.0,59.0,0.17321883
60.0,60.0,0.59692013
61.0,61.0,0.0023143422
62.0,62.0,4.5669262E-4
63.0,63.0,6.8240217E-4
64.0,64.0,0.006765338
65.0,65.0,0.0059346994
66.0,66.0,0.061845925
67.0,67.0,0.028721515
68.0,68.0,0.0017245219
69.0,69.0,0.0039455574
70.0,70.0,0.95969874
71.0,71.0,0.18329923
72.0,72.0,0.0043298756
73.0,73.0,0.12922074
74.0,74.0,0.069683656
75.0,75.0,0.96326864
76.0,76.0,0.040388525
77.0,77.0,0.33050695
78.0,78.0,0.0038307107
79.0,79.0,0.011747363
80.0,80.0,0.004042732
81.0,81.0,2.5411378E-4
82.0,82.0,0.22848615
83.0,83.0,0.10977671
84.0,84.0,0.083115906
85.0,85.0,0.6980599
86.0,86.0,0.023132594
87.0,87.0,0.019991757
88.0,88.0,0.6173884
89.0,89.0,0.075869784
90.0,90.0,0.3892572
91.0,91.0,0.0988688
92.0,92.0,0.0048195543
93.0,93.0,0.005171995
94.0,94.0,0.6726722
95.0,95.0,0.055264965
96.0,96.0,0.0024768002
97.0,97.0,0.0012917094
98.0,98.0,0.74654126
99.0,99.0,0.12074433
100.0,100.0,0.4229183
101.0,101.0,0.0055165007
102.0,102.0,0.20423025
103.0,103.0,0.43642756
104.0,104.0,0.077474445
105.0,105.0,0.14084509
106.0,106.0,0.047235556
107.0,107.0,0.04792904
108.0,108.0,0.06072681
109.0,109.0,0.050752487
110.0,110.0,0.10258256
111.0,111.0,6.2745844E-4
112.0,112.0,0.2948771
113.0,113.0,0.0016136887
114.0,114.0,0.7135579
115.0,115.0,0.03443625
116.0,116.0,0.5980337
117.0,117.0,0.9263736
118.0,118.0,0.055539448
119.0,119.0,0.010537023
120.0,120.0,0.006232977
121.0,121.0,0.754366
122.0,122.0,0.007494301
123.0,123.0,0.057160378
124.0,124.0,0.008010012
125.0,125.0,0.18523103
126.0,126.0,0.6882996
127.0,127.0,0.07923951
128.0,128.0,0.0036225559
129.0,129.0,0.0051483284
130.0,130.0,0.5968848
131.0,131.0,0.812938
132.0,132.0,0.051387
133.0,133.0,0.028733274
134.0,134.0,0.054949284
135.0,135.0,7.258128E-4
136.0,136.0,0.050784804
137.0,137.0,0.0021196622
138.0,138.0,0.7405515
139.0,139.0,0.0995024
140.0,140.0,0.09326096
141.0,141.0,0.005366048
142.0,142.0,0.069219016
143.0,143.0,0.003087017
144.0,144.0,0.15321213
145.0,145.0,0.005608504
146.0,146.0,0.14513898
147.0,147.0,0.06597306
148.0,148.0,0.20100787
149.0,149.0,0.28388658
150.0,150.0,0.78497666
151.0,151.0,0.09963075
152.0,152.0,0.03889135
153.0,153.0,0.27548522
154.0,154.0,0.053091504
155.0,155.0,0.5697527
156.0,156.0,0.04896597
157.0,157.0,0.13183215
158.0,158.0,6.1984814E-4
159.0,159.0,0.02348343
160.0,160.0,0.7438837
161.0,161.0,0.06262224
162.0,162.0,0.050507728
163.0,163.0,0.0037508104
164.0,164.0,0.036083076
165.0,165.0,0.08477643
166.0,166.0,0.5922284
167.0,167.0,0.19554885
168.0,168.0,0.010098393
