x,y,species median
1.0,1.0,0.01064406
2.0,2.0,0.042285286
3.0,3.0,0.15960272
4.0,4.0,0.42955634
5.0,5.0,0.002301818
6.0,6.0,0.21104059
7.0,7.0,0.004941235
8.0,8.0,6.7818153E-4
9.0,9.0,0.0010887077
10.0,10.0,0.004328502
11.0,11.0,0.05948748
12.0,12.0,0.81185347
13.0,13.0,0.50067025
14.0,14.0,0.898088
15.0,15.0,0.08154875
16.0,16.0,0.44055024
17.0,17.0,0.038195748
18.0,18.0,0.013459782
19.0,19.0,0.0019276157
20.0,20.0,6.489346E-4
21.0,21.0,0.4866228
22.0,22.0,0.0017149881
23.0,23.0,0.119448885
24.0,24.0,0.06572145
25.0,25.0,0.3848443
26.0,26.0,0.09878695
27.0,27.0,0.647996
28.0,28.0,0.04921957
29.0,29.0,0.09665014
30.0,30.0,0.076781414
31.0,31.0,0.16889018
32.0,32.0,0.74539083
33.0,33.0,0.014105805
34.0,34.0,0.10200653
35.0,35.0,0.01433443
36.0,36.0,0.20320456
37.0,37.0,0.07815755
38.0,38.0,0.48211685
39.0,39.0,0.0052366527
40.0,40.0,0.7387343
41.0,41.0,0.021629084
42.0,42.0,0.002654623
43.0,43.0,0.0035342493
44.0,44.0,0.526417
45.0,45.0,0.80000937
46.0,46.0,0.4305676
47.0,47.0,0.036982387
48.0,48.0,0.841985
49.0,49.0,0.19941194
50.0,50.0,0.59169024
51.0,51.0,0.003579596
52.0,52.0,0.0020566008
53.0,53.0,0.0020906013
54.0,54.0,0.019298714
55.0,55.0,0.011212331
56.0,56.0,0.47817284
57.0,57.0,0.0038041326
58.0,58.0,0.32079816
59.0,59.0,0.16371714
60.0,60.0,0.33028913
61.0,61.0,0.0019905202
62.0,62.0,3.8944633E-4
63.0,63.0,5.7321135E-4
64.0,64.0,0.0059976988
65.0,65.0,0.0052918056
66.0,66.0,0.059352424
67.0,67.0,0.027519207
68.0,68.0,0.0014726287
69.0,69.0,0.0033959805
70.0,70.0,0.909041
71.0,71.0,0.17210917
72.0,72.0,0.0040598786
73.0,73.0,0.12117651
74.0,74.0,0.065155335
75.0,75.0,0.9620316
76.0,76.0,0.036515225
77.0,77.0,0.31935838
78.0,78.0,0.0033835755
79.0,79.0,0.010956606
80.0,80.0,0.0036764825
81.0,81.0,2.0563185E-4
82.0,82.0,0.2199574
83.0,83.0,0.100562945
84.0,84.0,0.08076103
85.0,85.0,0.6951984
86.0,86.0,0.021659527
87.0,87.0,0.018921936
88.0,88.0,0.47774497
89.0,89.0,0.07371239
90.0,90.0,0.38044974
91.0,91.0,0.09497656
92.0,92.0,0.004312335
93.0,93.0,0.00494813
94.0,94.0,0.6643888
95.0,95.0,0.049954396
96.0,96.0,0.0021127057
97.0,97.0,0.0011664225
98.0,98.0,0.7439861
99.0,99.0,0.094610594
100.0,100.0,0.4154843
101.0,101.0,0.0049757822
102.0,102.0,0.09679487
103.0,103.0,0.43079072
104.0,104.0,0.07362137
105.0,105.0,0.13649583
106.0,106.0,0.04240151
107.0,107.0,0.043101825
108.0,108.0,0.055506337
109.0,109.0,0.04577516
110.0,110.0,0.09450505
111.0,111.0,5.208624E-4
112.0,112.0,0.2846134
113.0,113.0,0.0013804784
114.0,114.0,0.70626575
115.0,115.0,0.033191342
116.0,116.0,0.5907922
117.0,117.0,0.92584366
118.0,118.0,0.05062823
119.0,119.0,0.0091756135
120.0,120.0,0.0055684466
121.0,121.0,0.73213553
122.0,122.0,0.0067233755
123.0,123.0,0.055518508
124.0,124.0,0.007233321
125.0,125.0,0.17660974
126.0,126.0,0.51978207
127.0,127.0,0.075963646
128.0,128.0,0.0032121313
129.0,129.0,0.004747279
130.0,130.0,0.59008825
131.0,131.0,0.80749613
132.0,132.0,0.049830195
133.0,133.0,0.025777632
134.0,134.0,0.053310692
135.0,135.0,6.032717E-4
136.0,136.0,0.045860887
137.0,137.0,0.0018310919
138.0,138.0,0.67626256
139.0,139.0,0.096352495
140.0,140.0,0.0908536
141.0,141.0,0.00483524
142.0,142.0,0.065394655
143.0,143.0,0.002691239
144.0,144.0,0.14216375
145.0,145.0,0.005042562
146.0,146.0,0.13993768
147.0,147.0,0.060262002
148.0,148.0,0.19481647
149.0,149.0,0.25584823
150.0,150.0,0.7832254
151.0,151.0,0.07087182
152.0,152.0,0.034788214
153.0,153.0,0.26628938
154.0,154.0,0.051703606
155.0,155.0,0.55813277
156.0,156.0,0.047584984
157.0,157.0,0.1211006
158.0,158.0,5.244714E-4
159.0,159.0,0.021420632
160.0,160.0,0.68855023
161.0,161.0,0.060828105
162.0,162.0,0.04917309
163.0,163.0,0.0032220564
164.0,164.0,0.032666296
165.0,165.0,0.081898786
166.0,166.0,0.5871821
167.0,167.0,0.19270189
168.0,168.0,0.009296521
169.0,169.0,0.023434773
170.0,170.0,0.011062162
171.0,171.0,0.012347368
172.0,172.0,0.87515527
173.0,173.0,0.0015326401
174.0,174.0,0.043367833
175.0,175.0,0.12802538
176.0,176.0,0.5638353
177.0,177.0,0.007717014
178.0,178.0,0.005292833
179.0,179.0,0.010453218
180.0,180.0,0.0524215
181.0,181.0,0.15983431
182.0,182.0,6.610947E-4
183.0,183.0,3.7361166E-4
184.0,184.0,0.46159488
