x,y,species min
1.0,1.0,0.0025150948
2.0,2.0,0.0071718437
3.0,3.0,0.1364205
4.0,4.0,0.40186727
5.0,5.0,3.6774567E-5
6.0,6.0,0.02090805
7.0,7.0,4.8295714E-4
8.0,8.0,6.203755E-6
9.0,9.0,1.1981037E-5
10.0,10.0,1.8631452E-4
11.0,11.0,0.007195578
12.0,12.0,0.27713466
13.0,13.0,0.16826592
14.0,14.0,0.80894244
15.0,15.0,0.0012111829
16.0,16.0,0.17926425
17.0,17.0,7.543891E-4
18.0,18.0,7.479589E-4
19.0,19.0,3.0477668E-5
20.0,20.0,3.2175246E-6
21.0,21.0,0.46026573
22.0,22.0,2.6568223E-5
23.0,23.0,0.0030275676
24.0,24.0,0.052498467
25.0,25.0,0.35782272
26.0,26.0,0.07589575
27.0,27.0,0.4063702
28.0,28.0,0.0019318586
29.0,29.0,0.006064187
30.0,30.0,0.05777429
31.0,31.0,0.005016088
32.0,32.0,0.24306624
33.0,33.0,5.7811686E-4
34.0,34.0,0.03301687
35.0,35.0,0.0016429311
36.0,36.0,0.008246313
37.0,37.0,0.060396735
38.0,38.0,0.006839816
39.0,39.0,7.700151E-5
40.0,40.0,0.18379143
41.0,41.0,0.0028023764
42.0,42.0,1.0314608E-5
43.0,43.0,5.791994E-5
44.0,44.0,0.34155828
45.0,45.0,0.78345686
46.0,46.0,0.06997468
47.0,47.0,7.814177E-4
48.0,48.0,0.4041748
49.0,49.0,0.006565853
50.0,50.0,0.20755883
51.0,51.0,6.4915315E-5
52.0,52.0,9.807677E-5
53.0,53.0,1.4665625E-5
54.0,54.0,0.0016214078
55.0,55.0,0.001172815
56.0,56.0,0.45171538
57.0,57.0,6.9438596E-5
58.0,58.0,0.004941079
59.0,59.0,0.01294855
60.0,60.0,0.3027022
61.0,61.0,3.0386489E-5
62.0,62.0,2.7542294E-6
63.0,63.0,5.4338643E-6
64.0,64.0,1.4953692E-4
65.0,65.0,1.6099139E-4
66.0,66.0,0.011546588
67.0,67.0,0.010949188
68.0,68.0,1.6252552E-5
69.0,69.0,2.7067685E-5
70.0,70.0,0.90394795
71.0,71.0,0.008216977
72.0,72.0,1.7286965E-4
73.0,73.0,0.0041989367
74.0,74.0,0.04495216
75.0,75.0,0.83641183
76.0,76.0,7.948199E-4
77.0,77.0,0.046179906
78.0,78.0,7.10398E-5
79.0,79.0,5.6374405E-4
80.0,80.0,4.134571E-5
81.0,81.0,2.0872674E-6
82.0,82.0,0.038401593
83.0,83.0,0.0025437593
84.0,84.0,0.049901657
85.0,85.0,0.62320995
86.0,86.0,0.0020147886
