x,y,species cloglog values
1.0,1.0,3.533134E-8
2.0,2.0,0.0059571546
3.0,3.0,0.016292097
4.0,4.0,3.6974598E-7
5.0,5.0,0.89728737
6.0,6.0,0.3471206
7.0,7.0,0.35457513
8.0,8.0,0.022995403
9.0,9.0,0.013599772
10.0,10.0,0.022986671
11.0,11.0,0.10087097
12.0,12.0,0.27747905
13.0,13.0,1.8063764E-6
14.0,14.0,0.0012043405
15.0,15.0,0.011284355
16.0,16.0,0.40206015
17.0,17.0,5.6764522E-5
18.0,18.0,0.13083783
19.0,19.0,0.0028616556
20.0,20.0,0.11373255
21.0,21.0,0.0019600978
22.0,22.0,0.013791807
23.0,23.0,0.62745434
24.0,24.0,0.15632568
25.0,25.0,4.6901223E-5
26.0,26.0,1.1038969E-6
27.0,27.0,0.53784376
28.0,28.0,5.225883E-7
29.0,29.0,6.527085E-4
30.0,30.0,0.010157547
31.0,31.0,1.1777033E-6
32.0,32.0,0.0041059083
33.0,33.0,0.012082115
34.0,34.0,0.012158865
35.0,35.0,0.006769743
36.0,36.0,0.35047522
37.0,37.0,0.65845275
38.0,38.0,0.005816564
39.0,39.0,2.1702163E-4
40.0,40.0,0.875858
41.0,41.0,7.3066265E-5
42.0,42.0,0.04511037
43.0,43.0,0.0028722037
44.0,44.0,4.027661E-5
45.0,45.0,0.79478616
46.0,46.0,0.13746175
47.0,47.0,0.29153875
48.0,48.0,4.2876336E-4
49.0,49.0,1.5071936E-6
50.0,50.0,0.06064558
51.0,51.0,0.054467887
52.0,52.0,0.0049420535
53.0,53.0,0.5438461
54.0,54.0,0.17749572
55.0,55.0,0.0023317367
56.0,56.0,0.012295732
57.0,57.0,0.0014914372
58.0,58.0,1.0114579E-5
59.0,59.0,0.15153898
60.0,60.0,0.80513096
61.0,61.0,1.6010614E-5
62.0,62.0,0.0043670204
63.0,63.0,0.7352326
64.0,64.0,0.0019497294
65.0,65.0,0.060457584
66.0,66.0,6.0297207E-5
67.0,67.0,2.0866096E-4
68.0,68.0,0.0036364614
69.0,69.0,0.76574934
70.0,70.0,4.724974E-6
71.0,71.0,0.0014433351
72.0,72.0,1.027308E-4
73.0,73.0,0.278554
74.0,74.0,6.7169835E-6
75.0,75.0,0.23326929
76.0,76.0,8.3375763E-4
77.0,77.0,1.5405961E-4
78.0,78.0,0.004359043
79.0,79.0,0.8229197
80.0,80.0,0.14886618
81.0,81.0,0.01790409
82.0,82.0,0.5070856
83.0,83.0,0.029252382
84.0,84.0,0.30889595
85.0,85.0,3.112011E-6
86.0,86.0,0.28205806
87.0,87.0,0.1401881
88.0,88.0,0.19241351
89.0,89.0,0.1354296
90.0,90.0,0.2165698
91.0,91.0,0.013404322
92.0,92.0,0.010663975
93.0,93.0,5.683447E-6
94.0,94.0,0.0081462255
95.0,95.0,9.100471E-7
96.0,96.0,1.610615E-4
97.0,97.0,0.008108704
98.0,98.0,6.549311E-5
99.0,99.0,0.016591268
100.0,100.0,0.05942378
101.0,101.0,0.018071968
102.0,102.0,0.01808188
103.0,103.0,4.1532566E-8
104.0,104.0,0.0060264114
105.0,105.0,0.20934965
106.0,106.0,0.18912777
107.0,107.0,0.013837567
108.0,108.0,0.16879268
109.0,109.0,0.008390265
110.0,110.0,0.004254771
111.0,111.0,0.0098554725
112.0,112.0,5.5815017E-5
113.0,113.0,0.7213175
114.0,114.0,0.0038828368
115.0,115.0,0.5592328
116.0,116.0,0.69141763
117.0,117.0,0.014930587
118.0,118.0,0.29267398
119.0,119.0,0.01923956
120.0,120.0,4.5266197E-4
121.0,121.0,0.018205183
122.0,122.0,0.003517163
123.0,123.0,8.086988E-5
124.0,124.0,0.0010058127
125.0,125.0,0.4468629
126.0,126.0,0.43854758
127.0,127.0,0.52735335
128.0,128.0,0.0021998356
129.0,129.0,0.023356503
130.0,130.0,0.30245456
131.0,131.0,0.013387082
132.0,132.0,0.0012741722
133.0,133.0,0.38266718
134.0,134.0,0.057284832
135.0,135.0,3.2920987E-4
136.0,136.0,0.02537505
137.0,137.0,0.20026073
138.0,138.0,5.9327096E-5
139.0,139.0,4.6793226E-5
140.0,140.0,0.4203514
141.0,141.0,0.032309037
142.0,142.0,0.0030024424
143.0,143.0,0.74463516
144.0,144.0,2.2532771E-7
145.0,145.0,0.04733608
