x,y,species avg
1.0,1.0,0.012077294
2.0,2.0,1.518149E-4
3.0,3.0,0.028199833
4.0,4.0,1.0862548E-4
5.0,5.0,2.582165E-5
6.0,6.0,0.027701579
7.0,7.0,1.1457876E-6
8.0,8.0,0.23402701
9.0,9.0,0.22247836
10.0,10.0,4.3908722E-4
11.0,11.0,0.003952117
12.0,12.0,4.3108408E-5
13.0,13.0,0.63508135
14.0,14.0,1.4816075E-5
15.0,15.0,1.9578729E-5
16.0,16.0,0.022744952
17.0,17.0,0.0058037876
18.0,18.0,0.58016366
19.0,19.0,8.144403E-4
20.0,20.0,0.44718283
21.0,21.0,0.009281553
22.0,22.0,2.3479874E-5
23.0,23.0,7.6724007E-4
24.0,24.0,0.96224546
25.0,25.0,2.7209264E-6
26.0,26.0,0.41763276
27.0,27.0,0.567335
28.0,28.0,8.5194515E-6
29.0,29.0,0.18872792
30.0,30.0,0.028804503
31.0,31.0,2.2513207E-4
32.0,32.0,0.4721539
33.0,33.0,5.5283257E-5
34.0,34.0,0.37045422
35.0,35.0,0.016993921
36.0,36.0,0.001982651
37.0,37.0,4.6665857E-5
38.0,38.0,0.06470132
39.0,39.0,8.572988E-4
40.0,40.0,0.9687433
41.0,41.0,0.004252799
42.0,42.0,0.73955154
43.0,43.0,0.07076426
44.0,44.0,0.4926535
45.0,45.0,0.012464909
46.0,46.0,0.029712483
47.0,47.0,0.0819011
48.0,48.0,8.17922E-6
49.0,49.0,8.6853237E-7
50.0,50.0,0.88007957
51.0,51.0,0.031736292
52.0,52.0,0.78356165
53.0,53.0,2.9910068E-6
54.0,54.0,0.0032241328
55.0,55.0,0.0107351355
56.0,56.0,0.33056167
57.0,57.0,0.08833787
58.0,58.0,2.8565304E-5
59.0,59.0,0.020445423
60.0,60.0,0.011766026
61.0,61.0,0.016311353
62.0,62.0,0.09165127
63.0,63.0,0.0016230583
64.0,64.0,0.40844107
65.0,65.0,0.0020392402
66.0,66.0,0.21703318
67.0,67.0,0.8160744
68.0,68.0,0.48250052
69.0,69.0,0.041977342
70.0,70.0,0.016690476
71.0,71.0,0.4800975
72.0,72.0,0.016619315
73.0,73.0,0.3468337
74.0,74.0,0.06721544
75.0,75.0,3.1415938E-4
76.0,76.0,1.1560674E-5
77.0,77.0,0.8072454
78.0,78.0,0.1688296
79.0,79.0,0.8593496
80.0,80.0,0.0023072853
81.0,81.0,0.81883687
82.0,82.0,0.068564504
83.0,83.0,0.021062264
84.0,84.0,1.1909054E-4
85.0,85.0,0.29793644
86.0,86.0,0.06302749
87.0,87.0,0.743865
88.0,88.0,0.63291186
89.0,89.0,1.3882903E-4
90.0,90.0,0.04790977
91.0,91.0,0.004096138
92.0,92.0,0.027034054
93.0,93.0,0.0015273284
94.0,94.0,0.93509007
95.0,95.0,0.013498526
96.0,96.0,0.0044630077
97.0,97.0,0.13630107
98.0,98.0,0.5016067
99.0,99.0,0.0027375491
100.0,100.0,0.0011292613
101.0,101.0,0.23520373
102.0,102.0,0.88226074
103.0,103.0,0.39419776
104.0,104.0,2.4918173E-4
105.0,105.0,2.1398242E-7
106.0,106.0,1.3544371E-4
107.0,107.0,0.088130906
108.0,108.0,0.103024445
109.0,109.0,5.1151397E-5
110.0,110.0,1.6118042E-4
111.0,111.0,0.62036544
112.0,112.0,0.0043413904
113.0,113.0,0.008018189
114.0,114.0,0.23994294
115.0,115.0,0.6509478
116.0,116.0,8.6143565E-8
117.0,117.0,0.0047133337
118.0,118.0,0.0012730005
119.0,119.0,4.5883186E-5
120.0,120.0,0.022662262
121.0,121.0,0.005211272
122.0,122.0,0.022703014
123.0,123.0,1.2389245E-4
124.0,124.0,0.17432521
125.0,125.0,0.0041880836
126.0,126.0,0.00610959
127.0,127.0,0.0012990392
128.0,128.0,0.18663052
129.0,129.0,6.26586E-5
130.0,130.0,0.003983959
131.0,131.0,0.6847058
132.0,132.0,0.003039143
133.0,133.0,0.0028477765
134.0,134.0,0.8276083
135.0,135.0,1.8091945E-4
136.0,136.0,0.51686496
137.0,137.0,0.049799643
138.0,138.0,0.22817232
139.0,139.0,0.7971622
140.0,140.0,0.010868441
141.0,141.0,0.0018744993
142.0,142.0,0.028011592
143.0,143.0,0.012779235
144.0,144.0,0.76697457
145.0,145.0,0.0026771391
146.0,146.0,0.34873438
147.0,147.0,0.12026488
148.0,148.0,1.777442E-5
149.0,149.0,0.023598379
150.0,150.0,0.0030174614
151.0,151.0,9.506388E-4
152.0,152.0,0.19497389
153.0,153.0,0.030674139
154.0,154.0,0.023493245
155.0,155.0,1.2267611E-5
156.0,156.0,0.0048500365
157.0,157.0,0.016296418
158.0,158.0,0.0010185393
159.0,159.0,0.13983239
160.0,160.0,0.0013057496
161.0,161.0,0.10531718
162.0,162.0,7.038053E-4
163.0,163.0,2.9686416E-4
164.0,164.0,0.024622142
165.0,165.0,2.6438303E-5
166.0,166.0,0.15622401
167.0,167.0,0.02185601
168.0,168.0,0.16303033
169.0,169.0,0.3046644
170.0,170.0,0.10383708
171.0,171.0,4.547756E-5
172.0,172.0,1.14042535E-7
173.0,173.0,0.018231925
174.0,174.0,0.06435464
175.0,175.0,0.003195828
176.0,176.0,1.0186503E-4
177.0,177.0,0.19060375
178.0,178.0,0.07856124
179.0,179.0,0.16402681
180.0,180.0,1.19008924E-4
181.0,181.0,0.24261211
182.0,182.0,0.12913305
183.0,183.0,0.78079
184.0,184.0,5.358011E-6
185.0,185.0,0.9669444
186.0,186.0,0.04040426
187.0,187.0,0.002761637
188.0,188.0,0.68619937
189.0,189.0,0.005354226
190.0,190.0,0.6382529
191.0,191.0,0.058034394
192.0,192.0,0.0016023048
193.0,193.0,0.0016759122
194.0,194.0,0.19847845
195.0,195.0,0.0050439597
196.0,196.0,3.5765546E-4
197.0,197.0,1.5461215E-5
198.0,198.0,0.008546627
199.0,199.0,6.595731E-5
200.0,200.0,0.026146995
201.0,201.0,4.6378854E-4
202.0,202.0,0.036284965
203.0,203.0,4.9926323E-4
204.0,204.0,0.600783
205.0,205.0,0.21143053
206.0,206.0,0.010739708
207.0,207.0,0.5613735
208.0,208.0,0.013108813
209.0,209.0,0.10697174
210.0,210.0,0.83761716
211.0,211.0,4.9129344E-6
212.0,212.0,0.9590732
213.0,213.0,5.384227E-6
214.0,214.0,0.0037485613
215.0,215.0,0.016402805
216.0,216.0,0.2312133
217.0,217.0,0.1532025
218.0,218.0,7.684413E-6
219.0,219.0,0.14683221
220.0,220.0,0.21773715
221.0,221.0,0.5338413
222.0,222.0,0.033777554
223.0,223.0,0.44795865
224.0,224.0,0.07686468
225.0,225.0,0.002596257
