Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.47281E-12,0.000000001,0.000000006,0.99920048,0,0
3.96035E-12,0.000000003,0.00000001,0.99870078,0,0
8.78486E-12,0.00000001,0.000000023,0.997501499,0,0
1.39239E-11,0.000000025,0.000000036,0.996202279,0,0
3.07271E-11,0.000000102,0.00000008,0.992604437,0,0
5.91639E-11,0.000000255,0.000000155,0.989206476,0,0
1.25891E-10,0.000001009,0.000000329,0.980811513,0,0
2.25905E-10,0.000002514,0.00000059,0.97241655,0,0
4.8055E-10,0.000010003,0.000001256,0.951029382,0,0
1.123E-9,0.000025084,0.000002935,0.930541675,0,0
2.3377E-9,0.000050168,0.000006109,0.91615031,0,0
3.97386E-9,0.000100363,0.000010385,0.899760144,0,0
8.16911E-9,0.000250056,0.000021348,0.873975615,0,0
1.48248E-8,0.000500402,0.000038742,0.851788927,0,0
2.66416E-8,0.001000581,0.000069621,0.826903858,0,0
7.03511E-8,0.002501117,0.000183834,0.794423346,0,0
1.5071E-7,0.005012448,0.00039378,0.770737557,0,0
2.58459E-7,0.010013551,0.000675214,0.745952429,0,0
4.93791E-7,0.0250481,0.001289609,0.705576654,0,0
8.79467E-7,0.050087649,0.002295706,0.66729962,0,0
1.57018E-6,0.100024315,0.004094995,0.624925045,0,0
2.80976E-6,0.20006727,0.00731596,0.579552269,0,0
3.7608E-6,0.300144171,0.009780098,0.549070558,0,0
4.67203E-6,0.400179175,0.012135358,0.525384769,0,0
5.48235E-6,0.50052811,0.014225086,0.505496702,0,0
6.62119E-6,0.600547278,0.017154559,0.488806716,0,0
7.66676E-6,0.700419857,0.019836451,0.474815111,0,0
8.27406E-6,0.750294171,0.021390811,0.468518889,0,0
9.01039E-6,0.800449569,0.023272127,0.462722367,0,0
9.93395E-6,0.900868876,0.025626682,0.452128723,0,0
1.11497E-5,1.000580261,0.028717401,0.442634419,0,0
1.22303E-5,1.100188889,0.031456528,0.434139516,0,0
1.33201E-5,1.201231451,0.034211067,0.426244253,0,0
1.4293E-5,1.300544573,0.036663367,0.419048571,0,0
1.54001E-5,1.400277982,0.039446454,0.412352588,0,0
1.62923E-5,1.500238827,0.041683692,0.406056366,0,0
1.89765E-5,1.750956986,0.048382373,0.391864881,0,0
2.15025E-5,2.001567785,0.054643622,0.379472317,0,0
2.43884E-5,2.251264421,0.061746625,0.368578853,0,0
2.76879E-5,2.500710928,0.069801953,0.358984609,0,0
3.04668E-5,2.750502643,0.076532871,0.350389766,0,0
