x,y,species stddev
1.0,1.0,0.0061811246
2.0,2.0,9.797599E-5
3.0,3.0,0.012015656
4.0,4.0,7.329557E-5
5.0,5.0,1.86357E-5
6.0,6.0,0.013600181
7.0,7.0,9.1288655E-7
8.0,8.0,0.07409519
9.0,9.0,0.034157205
10.0,10.0,2.6524917E-4
11.0,11.0,0.00207873
12.0,12.0,2.9568557E-5
13.0,13.0,0.056705527
14.0,14.0,1.0876476E-5
15.0,15.0,1.41941655E-5
16.0,16.0,0.009582554
17.0,17.0,0.0030826675
18.0,18.0,0.064068936
19.0,19.0,4.7307467E-4
20.0,20.0,0.10233063
21.0,21.0,0.0044556474
22.0,22.0,1.6718044E-5
23.0,23.0,4.4598163E-4
24.0,24.0,0.0050674006
25.0,25.0,2.1622277E-6
26.0,26.0,0.14198403
27.0,27.0,0.05911173
28.0,28.0,6.274205E-6
29.0,29.0,0.07503182
30.0,30.0,0.01272339
31.0,31.0,1.4539486E-4
32.0,32.0,0.16074364
33.0,33.0,3.7439964E-5
34.0,34.0,0.08148246
35.0,35.0,0.008119319
36.0,36.0,0.0010828694
37.0,37.0,3.1927342E-5
38.0,38.0,0.027339052
39.0,39.0,5.161302E-4
40.0,40.0,0.007424774
41.0,41.0,0.0023053314
42.0,42.0,0.06651969
43.0,43.0,0.018091766
44.0,44.0,0.09649511
45.0,45.0,0.0063384697
46.0,46.0,0.0131437285
47.0,47.0,0.02995625
48.0,48.0,6.052688E-6
49.0,49.0,7.010964E-7
50.0,50.0,0.01671227
51.0,51.0,0.015528319
52.0,52.0,0.037834954
53.0,53.0,2.3082202E-6
54.0,54.0,0.0017077333
55.0,55.0,0.005543606
56.0,56.0,0.08033969
57.0,57.0,0.032287087
58.0,58.0,2.0022886E-5
59.0,59.0,0.010039865
60.0,60.0,0.0060858554
61.0,61.0,0.008359024
62.0,62.0,0.035025798
63.0,63.0,9.083781E-4
64.0,64.0,0.12567317
65.0,65.0,0.0011167373
66.0,66.0,0.078769654
67.0,67.0,0.035243567
68.0,68.0,0.14516324
69.0,69.0,0.018787341
70.0,70.0,0.008255655
71.0,71.0,0.09122056
72.0,72.0,0.008476574
73.0,73.0,0.031094255
74.0,74.0,0.028243413
75.0,75.0,1.9419323E-4
76.0,76.0,8.494463E-6
77.0,77.0,0.0348914
78.0,78.0,0.05886133
79.0,79.0,0.017794972
80.0,80.0,0.0012450635
81.0,81.0,0.024069656
82.0,82.0,0.024551112
83.0,83.0,0.0084270695
84.0,84.0,7.794259E-5
85.0,85.0,0.110728405
86.0,86.0,0.023235025
87.0,87.0,0.01866243
88.0,88.0,0.07935131
89.0,89.0,8.937801E-5
90.0,90.0,0.021604901
91.0,91.0,0.0021287978
92.0,92.0,0.012305317
93.0,93.0,8.685729E-4
94.0,94.0,0.035468016
95.0,95.0,0.006712187
96.0,96.0,0.0023479955
97.0,97.0,0.054714765
98.0,98.0,0.091532506
99.0,99.0,0.0013911421
100.0,100.0,6.426918E-4
101.0,101.0,0.081597984
102.0,102.0,0.008835596
103.0,103.0,0.044795956
104.0,104.0,1.6005614E-4
105.0,105.0,1.8013903E-7
106.0,106.0,8.744407E-5
107.0,107.0,0.031175049
108.0,108.0,0.041319974
109.0,109.0,3.478832E-5
110.0,110.0,1.0237651E-4
111.0,111.0,0.060926568
112.0,112.0,0.0023889497
113.0,113.0,0.004217964
114.0,114.0,0.03780634
115.0,115.0,0.066848196
116.0,116.0,7.352891E-8
117.0,117.0,0.002528133
118.0,118.0,7.2635646E-4
119.0,119.0,3.1381063E-5
120.0,120.0,0.010098388
121.0,121.0,0.0028092887
122.0,122.0,0.01035928
123.0,123.0,8.048096E-5
124.0,124.0,0.04711491
125.0,125.0,0.0021854148
126.0,126.0,0.0031252406
127.0,127.0,7.332934E-4
128.0,128.0,0.027864661
129.0,129.0,4.3088774E-5
130.0,130.0,0.0020594075
131.0,131.0,0.06674701
132.0,132.0,0.0015231568
133.0,133.0,0.0015410422
134.0,134.0,0.13694835
135.0,135.0,1.16150455E-4
136.0,136.0,0.07462542
137.0,137.0,0.021599459
138.0,138.0,0.08008246
139.0,139.0,0.04136394
140.0,140.0,0.00544841
141.0,141.0,0.0010356726
142.0,142.0,0.01106502
143.0,143.0,0.005713634
144.0,144.0,0.021032955
145.0,145.0,0.001438108
146.0,146.0,0.046942692
147.0,147.0,0.048598975
148.0,148.0,1.2802844E-5
149.0,149.0,0.011956802
150.0,150.0,0.001514247
151.0,151.0,5.64985E-4
152.0,152.0,0.069028914
153.0,153.0,0.012570126
154.0,154.0,0.010731836
155.0,155.0,9.136211E-6
156.0,156.0,0.002654453
157.0,157.0,0.007856937
158.0,158.0,5.9205043E-4
159.0,159.0,0.054865442
160.0,160.0,7.4251025E-4
161.0,161.0,0.034582615
162.0,162.0,4.1042705E-4
163.0,163.0,1.8353801E-4
164.0,164.0,0.011074386
165.0,165.0,1.8314031E-5
166.0,166.0,0.027268114
167.0,167.0,0.011052022
168.0,168.0,0.06862011
169.0,169.0,0.11345123
170.0,170.0,0.041623462
171.0,171.0,3.1051433E-5
172.0,172.0,1.016911E-7
173.0,173.0,0.008812823
174.0,174.0,0.021177938
175.0,175.0,0.0016563215
176.0,176.0,6.726538E-5
177.0,177.0,0.06735733
178.0,178.0,0.023800224
179.0,179.0,0.025840038
180.0,180.0,7.600487E-5
181.0,181.0,0.100669496
182.0,182.0,0.0475164
183.0,183.0,0.09313002
184.0,184.0,4.040158E-6
185.0,185.0,0.009179667
186.0,186.0,0.019237105
187.0,187.0,0.0014522295
188.0,188.0,0.03776207
189.0,189.0,0.0027492857
190.0,190.0,0.07287369
191.0,191.0,0.022142356
192.0,192.0,9.215238E-4
193.0,193.0,9.3300914E-4
194.0,194.0,0.06488609
195.0,195.0,0.0027766689
196.0,196.0,2.1711623E-4
197.0,197.0,1.1181433E-5
198.0,198.0,0.004061146
199.0,199.0,4.42311E-5
200.0,200.0,0.012473214
201.0,201.0,2.862365E-4
202.0,202.0,0.014155919
203.0,203.0,2.975408E-4
204.0,204.0,0.12957166
205.0,205.0,0.03319368
206.0,206.0,0.0049672173
207.0,207.0,0.13504563
208.0,208.0,0.006334467
209.0,209.0,0.024043623
210.0,210.0,0.020417485
211.0,211.0,3.8085223E-6
212.0,212.0,0.00802567
213.0,213.0,4.084698E-6
214.0,214.0,0.0019631085
215.0,215.0,0.0074778586
216.0,216.0,0.066709094
217.0,217.0,0.06323862
218.0,218.0,5.809405E-6
219.0,219.0,0.053796988
220.0,220.0,0.087827764
221.0,221.0,0.08259519
222.0,222.0,0.016302612
223.0,223.0,0.08362007
224.0,224.0,0.0343714
225.0,225.0,0.0013909456
226.0,226.0,0.0018054837
227.0,227.0,1.4352766E-4
228.0,228.0,7.6227944E-4
229.0,229.0,0.009383953
230.0,230.0,0.09340827
231.0,231.0,0.0055857743
232.0,232.0,0.0033278698
233.0,233.0,0.0015634763
234.0,234.0,0.009427769
235.0,235.0,0.007832205
236.0,236.0,0.017796809
237.0,237.0,0.008379233
238.0,238.0,5.4711616E-4
239.0,239.0,0.005640976
240.0,240.0,0.021320112
241.0,241.0,0.08112084
242.0,242.0,0.024504192
243.0,243.0,8.866265E-5
244.0,244.0,0.006927804
245.0,245.0,0.026903087
246.0,246.0,0.014040749
247.0,247.0,0.006697461
248.0,248.0,0.0022053593
249.0,249.0,0.0049227313
250.0,250.0,0.0102972165
251.0,251.0,5.558491E-4
252.0,252.0,0.12823854
253.0,253.0,0.0096130585
254.0,254.0,0.10400295
255.0,255.0,0.0020616027
256.0,256.0,0.0012544361
257.0,257.0,1.9174945E-4
258.0,258.0,0.030643886
259.0,259.0,0.013122428
260.0,260.0,0.0070662065
261.0,261.0,0.0011627201
262.0,262.0,6.023802E-5
263.0,263.0,0.08644759
264.0,264.0,7.6166407E-4
265.0,265.0,0.032383956
266.0,266.0,0.0015381131
267.0,267.0,0.08149817
268.0,268.0,0.13108027
269.0,269.0,0.06219962
270.0,270.0,4.1876623E-4
271.0,271.0,3.8198908E-4
272.0,272.0,0.032563034
273.0,273.0,0.076711945
274.0,274.0,0.023249425
275.0,275.0,0.017265623
276.0,276.0,0.08772421
277.0,277.0,0.069606215
278.0,278.0,0.011437382
279.0,279.0,0.17147057
280.0,280.0,0.0020371804
281.0,281.0,0.08780366
282.0,282.0,0.002278335
283.0,283.0,0.046575546
284.0,284.0,0.09448591
285.0,285.0,2.8342592E-6
286.0,286.0,0.0159118
287.0,287.0,7.060808E-5
288.0,288.0,6.0373026E-7
289.0,289.0,0.084643506
290.0,290.0,0.005164942
291.0,291.0,0.07830644
292.0,292.0,0.0016298429
293.0,293.0,7.101935E-5
294.0,294.0,0.020303376
295.0,295.0,0.032789994
296.0,296.0,3.274563E-5
297.0,297.0,2.1000451E-4
298.0,298.0,0.16763063
299.0,299.0,1.3952685E-4
300.0,300.0,0.16532677
301.0,301.0,3.1670123E-5
302.0,302.0,0.016573148
303.0,303.0,0.05029724
304.0,304.0,0.098584175
305.0,305.0,0.009932628
306.0,306.0,0.032442894
307.0,307.0,5.424888E-4
308.0,308.0,0.14097413
309.0,309.0,0.007981521
310.0,310.0,2.7238118E-4
311.0,311.0,0.007432874
312.0,312.0,2.8278562E-5
313.0,313.0,0.00512329
314.0,314.0,0.026356984
315.0,315.0,0.15574053
316.0,316.0,0.0030608128
317.0,317.0,0.010367626
318.0,318.0,0.006652011
319.0,319.0,0.013253962
320.0,320.0,1.3612489E-4
321.0,321.0,0.009986412
322.0,322.0,0.0018211791
323.0,323.0,2.1406953E-5
324.0,324.0,0.0025737113
325.0,325.0,0.004331318
326.0,326.0,0.01960549
327.0,327.0,0.0339666
328.0,328.0,0.02643043
329.0,329.0,0.092946626
330.0,330.0,0.01380996
331.0,331.0,0.009685193
332.0,332.0,5.6429826E-7
333.0,333.0,0.005005196
334.0,334.0,0.009895558
335.0,335.0,0.011926321
336.0,336.0,5.12775E-4
337.0,337.0,1.1765701E-6
338.0,338.0,0.004216792
339.0,339.0,0.006238669
340.0,340.0,0.04168755
341.0,341.0,0.02684816
342.0,342.0,2.8752087E-4
343.0,343.0,8.4542015E-5
344.0,344.0,0.0028582136
345.0,345.0,0.04859474
346.0,346.0,0.051138926
347.0,347.0,2.3511941E-4
348.0,348.0,0.005433034
349.0,349.0,0.031375073
350.0,350.0,0.085027605
351.0,351.0,7.510934E-4
352.0,352.0,9.984488E-4
353.0,353.0,0.0029376189
354.0,354.0,7.793833E-4
355.0,355.0,0.033539582
356.0,356.0,4.012839E-5
357.0,357.0,2.496953E-4
358.0,358.0,0.0032677292
359.0,359.0,0.0025149633
360.0,360.0,0.024790108
361.0,361.0,0.009652839
362.0,362.0,3.0442543E-4
363.0,363.0,0.05325582
364.0,364.0,0.008518045
365.0,365.0,0.004823637
366.0,366.0,0.045486618
367.0,367.0,0.08096725
368.0,368.0,0.004860944
369.0,369.0,0.08543347
370.0,370.0,1.2573514E-4
