Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt9 contribution,tmean9 contribution,vpdmax9 contribution,ppt9 permutation importance,tmean9 permutation importance,vpdmax9 permutation importance,Training gain without ppt9,Training gain without tmean9,Training gain without vpdmax9,Training gain with only ppt9,Training gain with only tmean9,Training gain with only vpdmax9,Test gain without ppt9,Test gain without tmean9,Test gain without vpdmax9,Test gain with only ppt9,Test gain with only tmean9,Test gain with only vpdmax9,AUC without ppt9,AUC without tmean9,AUC without vpdmax9,AUC with only ppt9,AUC with only tmean9,AUC with only vpdmax9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,9,0.9192,1.1471,60,0.9211,2,0.8989,0.9043,0.0131,10009,87.1708,12.8292,0.0000,82.9950,17.0050,0.0000,0.4376,0.8516,0.9192,0.8344,0.1521,0.0499,0.4706,0.8835,0.8989,0.7858,0.1812,0.0441,0.8766,0.8697,0.9043,0.8434,0.6863,0.5895,8.2921,0.2309,1.0000,0.0291,0.8214,0.0000,0.0000,6.746E-1,5.0000,0.0971,0.5449,0.0000,0.0000,2.969E-1,10.0000,0.1924,0.4095,0.0000,0.0000,1.677E-1,39.4895,0.5050,0.1290,0.0000,0.0000,1.664E-2,39.4895,0.5050,0.1290,0.0000,0.0000,1.664E-2,40.1888,0.5160,0.1251,0.1111,0.0000,1.565E-2,39.4895,0.5050,0.1290,0.0000,0.0000,1.664E-2,42.3033,0.5568,0.1140,0.2222,0.0000,1.3E-2,42.3033,0.5568,0.1140,0.2222,0.0000,1.3E-2,7.8630,0.1474,0.4553,0.0000,0.0000,2.073E-1,10.5962,0.2040,0.3988,0.0000,0.0000,1.591E-1
species_1,10,0.8790,1.0560,80,0.9151,1,1.5971,0.9517,-1.0000,10010,84.5866,15.4134,0.0000,83.1267,16.8733,0.0000,0.5293,0.8071,0.8790,0.7758,0.1665,0.0819,0.8423,1.6314,1.5971,1.4873,0.2750,0.1352,0.9308,0.9690,0.9517,0.9623,0.7624,0.6512,8.3324,0.2405,1.0000,0.0335,0.8386,0.0000,0.0000,8.386E-1,5.0000,0.0994,0.5720,0.0000,0.0000,5.72E-1,10.0000,0.1872,0.4305,0.0000,0.0000,4.305E-1,38.8375,0.4977,0.1387,0.0000,0.0000,1.387E-1,41.1882,0.5311,0.1252,0.1000,0.0000,1.252E-1,41.1882,0.5311,0.1252,0.1000,0.0000,1.252E-1,38.8375,0.4977,0.1387,0.0000,0.0000,1.387E-1,63.2465,0.8713,0.0483,0.9000,0.0000,4.825E-2,63.2465,0.8713,0.0483,0.9000,0.0000,4.825E-2,8.2918,0.1529,0.4687,0.0000,0.0000,4.687E-1,10.7993,0.2014,0.4152,0.0000,0.0000,4.152E-1
species_2,10,0.9179,1.1044,120,0.9140,1,0.5634,0.8607,-1.0000,10010,90.0061,8.9013,1.0926,79.3199,0.0823,20.5977,0.4160,0.9175,0.8972,0.8339,0.1241,0.0654,2.1902,0.4415,1.3276,0.7968,0.7426,0.3387,0.9941,0.8400,0.9395,0.8539,0.9532,0.8193,8.2934,0.2309,1.0000,0.0332,0.8268,0.0000,0.0000,8.268E-1,5.0000,0.0878,0.5453,0.0000,0.0000,5.453E-1,10.0000,0.1872,0.3992,0.0000,0.0000,3.992E-1,39.5888,0.5383,0.1267,0.0000,1.0000,1E0,41.3737,0.5659,0.1179,0.1000,1.0000,1E0,41.3737,0.5659,0.1179,0.1000,1.0000,1E0,39.5888,0.5383,0.1267,0.0000,1.0000,1E0,37.2823,0.5042,0.1393,0.0000,0.0000,1.393E-1,37.2823,0.5042,0.1393,0.0000,0.0000,1.393E-1,8.1590,0.1475,0.4394,0.0000,0.0000,4.394E-1,9.9993,0.1870,0.3993,0.0000,0.0000,3.993E-1
species_3,10,0.8869,1.0676,120,0.9125,1,1.1634,0.9255,-1.0000,10010,89.9549,9.6764,0.3687,85.3381,2.9364,11.7255,0.4228,0.8811,0.8800,0.8139,0.1250,0.0675,2.0721,0.7959,1.4997,0.9912,0.7292,0.3018,0.9923,0.8880,0.9493,0.9011,0.9493,0.7944,8.3244,0.2387,1.0000,0.0334,0.8342,0.0000,0.0000,8.342E-1,5.0000,0.0936,0.5553,0.0000,0.0000,5.553E-1,10.0000,0.1905,0.4114,0.0000,0.0000,4.114E-1,41.6774,0.5581,0.1220,0.0000,0.0000,1.22E-1,41.7369,0.5589,0.1218,0.1000,0.0000,1.218E-1,41.7369,0.5589,0.1218,0.1000,0.0000,1.218E-1,41.6774,0.5581,0.1220,0.0000,0.0000,1.22E-1,53.8452,0.7324,0.0745,0.6000,0.0000,7.453E-2,53.8452,0.7324,0.0745,0.6000,0.0000,7.453E-2,8.2201,0.1519,0.4505,0.0000,0.0000,4.505E-1,9.9751,0.1899,0.4119,0.0000,0.0000,4.119E-1
species_4,10,0.8857,1.0645,80,0.9154,1,1.4325,0.9450,-1.0000,10010,87.5787,12.4213,0.0000,84.1574,15.8426,0.0000,0.5281,0.8263,0.8857,0.8028,0.1452,0.0969,0.9071,1.3118,1.4325,1.1106,0.4892,-0.0030,0.9388,0.9358,0.9450,0.9206,0.8645,0.5236,8.3256,0.2392,1.0000,0.0313,0.8329,0.0000,0.0000,8.329E-1,5.0000,0.0981,0.5589,0.0000,0.0000,5.589E-1,10.0000,0.1934,0.4204,0.0000,0.0000,4.204E-1,40.4855,0.5182,0.1296,0.0000,0.0000,1.296E-1,41.2599,0.5302,0.1253,0.1000,0.0000,1.253E-1,41.2599,0.5302,0.1253,0.1000,0.0000,1.253E-1,40.4855,0.5182,0.1296,0.0000,0.0000,1.296E-1,60.3578,0.8223,0.0550,0.8000,0.0000,5.504E-2,60.3578,0.8223,0.0550,0.8000,0.0000,5.504E-2,8.0952,0.1521,0.4619,0.0000,0.0000,4.619E-1,10.4326,0.2017,0.4124,0.0000,0.0000,4.124E-1
species_5,10,0.9756,1.1710,80,0.9228,1,0.5789,0.8745,-1.0000,10010,84.8054,15.1946,0.0000,81.5991,18.4009,0.0000,0.5955,0.8929,0.9756,0.8608,0.1935,0.0907,0.2247,0.6977,0.5789,0.5643,0.0237,0.0526,0.8232,0.8719,0.8745,0.7988,0.5792,0.5632,8.2357,0.2169,1.0000,0.0274,0.8075,0.0000,0.0000,8.075E-1,5.0000,0.0930,0.5356,0.0000,0.0000,5.356E-1,10.0000,0.1812,0.4006,0.0000,0.0000,4.006E-1,35.6557,0.4539,0.1389,0.0000,0.0000,1.389E-1,41.2472,0.5523,0.1084,0.1000,1.0000,1E0,41.2472,0.5523,0.1084,0.1000,1.0000,1E0,35.6557,0.4539,0.1389,0.0000,0.0000,1.389E-1,37.9243,0.4896,0.1255,0.1000,0.0000,1.255E-1,37.9243,0.4896,0.1255,0.1000,0.0000,1.255E-1,7.7853,0.1399,0.4483,0.0000,0.0000,4.483E-1,11.3445,0.2040,0.3769,0.0000,0.0000,3.769E-1
species_6,10,0.9345,1.1271,80,0.9176,1,1.0568,0.9249,-1.0000,10010,78.8674,21.1326,0.0000,77.4455,22.5545,0.0000,0.6243,0.8126,0.9345,0.7775,0.2301,0.0787,0.0271,1.5672,1.0568,1.4562,-0.2985,0.1672,0.7643,0.9633,0.9249,0.9607,0.4718,0.6850,8.2768,0.2258,1.0000,0.0323,0.8269,0.0000,0.0000,8.269E-1,5.0000,0.0968,0.5676,0.0000,0.0000,5.676E-1,10.0000,0.1699,0.4267,0.0000,0.0000,4.267E-1,33.2482,0.4266,0.1604,0.0000,0.0000,1.604E-1,38.5241,0.5009,0.1271,0.1000,0.0000,1.271E-1,38.5241,0.5009,0.1271,0.1000,0.0000,1.271E-1,33.2482,0.4266,0.1604,0.0000,0.0000,1.604E-1,50.1212,0.6770,0.0751,0.5000,0.0000,7.512E-2,50.1212,0.6770,0.0751,0.5000,0.0000,7.512E-2,8.2264,0.1453,0.4675,0.0000,0.0000,4.675E-1,11.7667,0.2026,0.3927,0.0000,0.0000,3.927E-1
species_7,10,0.9201,1.1011,80,0.9175,1,1.0845,0.9211,-1.0000,10010,88.6441,11.3559,0.0000,84.8898,15.1102,0.0000,0.5372,0.8654,0.9201,0.8401,0.1468,0.0997,0.8235,0.9343,1.0845,0.7407,0.4719,-0.0266,0.9309,0.8999,0.9211,0.8388,0.8577,0.5062,8.2912,0.2307,1.0000,0.0288,0.8198,0.0000,0.0000,8.198E-1,5.0000,0.0972,0.5419,0.0000,0.0000,5.419E-1,10.0000,0.1939,0.4074,0.0000,0.0000,4.074E-1,39.8461,0.5101,0.1273,0.0000,0.0000,1.273E-1,40.1350,0.5159,0.1257,0.1000,0.0000,1.257E-1,40.1350,0.5159,0.1257,0.1000,0.0000,1.257E-1,39.8461,0.5101,0.1273,0.0000,0.0000,1.273E-1,51.1010,0.6923,0.0789,0.4000,0.0000,7.892E-2,51.1010,0.6923,0.0789,0.4000,0.0000,7.892E-2,7.8255,0.1473,0.4536,0.0000,0.0000,4.536E-1,10.5074,0.2050,0.3984,0.0000,0.0000,3.984E-1
species_8,10,0.9578,1.1314,80,0.9198,1,0.7718,0.8916,-1.0000,10010,89.7071,10.2929,0.0000,87.7365,12.2635,0.0000,0.5529,0.9092,0.9578,0.8832,0.1459,0.1073,0.7063,0.6011,0.7718,0.3883,0.4818,-0.0908,0.9169,0.8508,0.8916,0.7662,0.8609,0.4500,8.2536,0.2219,1.0000,0.0265,0.8037,0.0000,0.0000,8.037E-1,5.0000,0.0954,0.5220,0.0000,0.0000,5.22E-1,10.0000,0.1968,0.3931,0.0000,0.0000,3.931E-1,38.9960,0.5001,0.1259,0.0000,0.0000,1.259E-1,39.2139,0.5039,0.1248,0.1000,0.0000,1.248E-1,39.2139,0.5039,0.1248,0.1000,0.0000,1.248E-1,38.9960,0.5001,0.1259,0.0000,0.0000,1.259E-1,42.4671,0.5641,0.1084,0.3000,0.0000,1.084E-1,42.4671,0.5641,0.1084,0.3000,0.0000,1.084E-1,7.4691,0.1421,0.4455,0.0000,0.0000,4.455E-1,10.5481,0.2040,0.3837,0.0000,0.0000,3.837E-1
species_9,10,1.0152,1.2185,80,0.9271,1,0.2211,0.8206,-1.0000,10010,75.1312,24.8688,0.0000,74.9664,25.0336,0.0000,0.6969,0.8609,1.0152,0.8130,0.2870,0.0736,-0.4645,0.9806,0.2211,1.0006,-0.7706,0.2228,0.5610,0.9046,0.8206,0.9022,0.3524,0.7450,8.1961,0.2067,1.0000,0.0287,0.8060,0.0000,0.0000,8.06E-1,5.0000,0.0897,0.5462,0.0000,0.0000,5.462E-1,10.0000,0.1614,0.4079,0.0000,0.0000,4.079E-1,35.4442,0.4605,0.1289,0.0000,1.0000,1E0,44.0489,0.5823,0.0865,0.1000,1.0000,1E0,40.9655,0.5418,0.1000,0.1000,1.0000,1E0,35.4442,0.4605,0.1289,0.0000,1.0000,1E0,28.1338,0.3636,0.1794,0.0000,0.0000,1.794E-1,28.1338,0.3636,0.1794,0.0000,0.0000,1.794E-1,8.1404,0.1348,0.4505,0.0000,0.0000,4.505E-1,12.4957,0.1960,0.3622,0.0000,0.0000,3.622E-1
