x,y,species avg
1.0,1.0,0.0924843
2.0,2.0,0.04561766
3.0,3.0,0.023552708
4.0,4.0,0.26205277
5.0,5.0,0.43224815
6.0,6.0,0.9472966
7.0,7.0,0.17712972
8.0,8.0,0.15387231
9.0,9.0,0.0426264
10.0,10.0,0.12742329
11.0,11.0,0.22538404
12.0,12.0,0.4544369
13.0,13.0,0.039582096
14.0,14.0,0.06975541
15.0,15.0,0.46113095
16.0,16.0,0.54116976
17.0,17.0,0.41908836
18.0,18.0,0.09877657
19.0,19.0,0.88813025
20.0,20.0,0.90709096
21.0,21.0,0.8346532
22.0,22.0,0.61738026
23.0,23.0,0.55636215
24.0,24.0,0.3105365
25.0,25.0,0.015637422
26.0,26.0,0.44137162
27.0,27.0,0.071103945
28.0,28.0,0.06750507
29.0,29.0,0.4759952
30.0,30.0,0.1505632
31.0,31.0,0.022770986
32.0,32.0,0.09238792
33.0,33.0,0.038322654
34.0,34.0,0.62845504
35.0,35.0,0.02689467
36.0,36.0,0.44124094
37.0,37.0,0.6351821
38.0,38.0,0.13118747
39.0,39.0,0.017218124
40.0,40.0,0.01977518
41.0,41.0,0.43307677
42.0,42.0,0.30512026
43.0,43.0,0.37383813
44.0,44.0,0.8655182
45.0,45.0,0.283646
46.0,46.0,0.3501802
47.0,47.0,0.0726085
48.0,48.0,0.03407872
49.0,49.0,0.24207051
50.0,50.0,0.44514218
51.0,51.0,0.10529262
52.0,52.0,0.7947376
53.0,53.0,0.04768328
54.0,54.0,0.2234148
55.0,55.0,0.034277376
56.0,56.0,0.014895805
57.0,57.0,0.04193397
58.0,58.0,0.01924717
59.0,59.0,0.19802243
60.0,60.0,0.030844396
61.0,61.0,0.025187017
62.0,62.0,0.022872683
63.0,63.0,0.96886647
64.0,64.0,0.019100256
65.0,65.0,0.26695222
66.0,66.0,0.38562107
67.0,67.0,0.01744527
68.0,68.0,0.02010892
69.0,69.0,0.05569103
70.0,70.0,0.031251855
71.0,71.0,0.56942564
72.0,72.0,0.15809503
73.0,73.0,0.027757015
74.0,74.0,0.10535957
75.0,75.0,0.5822933
76.0,76.0,0.11330584
77.0,77.0,0.54034156
78.0,78.0,0.06403092
79.0,79.0,0.024782795
80.0,80.0,0.18830976
81.0,81.0,0.2358433
82.0,82.0,0.048269354
83.0,83.0,0.017560786
84.0,84.0,0.028695779
85.0,85.0,0.014961496
86.0,86.0,0.074325375
87.0,87.0,0.3272233
88.0,88.0,0.26892534
89.0,89.0,0.084286585
90.0,90.0,0.061652817
91.0,91.0,0.020277184
92.0,92.0,0.38869542
93.0,93.0,0.019292554
