x,y,species max
1.0,1.0,0.13983193
2.0,2.0,0.23380531
3.0,3.0,0.7427423
4.0,4.0,0.062356457
5.0,5.0,0.36587736
6.0,6.0,0.08846949
7.0,7.0,0.11057639
8.0,8.0,0.27399638
9.0,9.0,0.02670458
10.0,10.0,0.06738537
11.0,11.0,0.17179516
12.0,12.0,0.17194861
13.0,13.0,0.05680103
14.0,14.0,0.43152693
15.0,15.0,0.02956932
16.0,16.0,0.7121389
17.0,17.0,0.06790553
18.0,18.0,0.22594231
19.0,19.0,0.3731429
20.0,20.0,0.22102727
21.0,21.0,0.14284134
22.0,22.0,0.2953793
23.0,23.0,0.3873921
24.0,24.0,0.8220633
25.0,25.0,0.5182841
26.0,26.0,0.9526695
27.0,27.0,0.1671946
28.0,28.0,0.049908906
29.0,29.0,0.06604377
30.0,30.0,0.15357386
31.0,31.0,0.0243498
32.0,32.0,0.16245323
33.0,33.0,0.06736651
34.0,34.0,0.6494718
35.0,35.0,0.48610577
36.0,36.0,0.67198724
37.0,37.0,0.04682988
38.0,38.0,0.040096827
39.0,39.0,0.055907726
40.0,40.0,0.118257575
41.0,41.0,0.3543388
42.0,42.0,0.14562558
43.0,43.0,0.015958713
44.0,44.0,0.32984114
45.0,45.0,0.16718791
46.0,46.0,0.120600015
47.0,47.0,0.11763689
48.0,48.0,0.21312372
49.0,49.0,0.09338952
50.0,50.0,0.20702909
51.0,51.0,0.065058365
52.0,52.0,0.26595584
53.0,53.0,0.13977711
54.0,54.0,0.14439783
55.0,55.0,0.02780186
56.0,56.0,0.15785307
57.0,57.0,0.53011763
58.0,58.0,0.03329719
59.0,59.0,0.5498595
60.0,60.0,0.035119113
61.0,61.0,0.043060567
62.0,62.0,0.049599703
63.0,63.0,0.19991241
64.0,64.0,0.061153702
65.0,65.0,0.094364755
66.0,66.0,0.026431302
67.0,67.0,0.59675634
68.0,68.0,0.03455842
69.0,69.0,0.9801463
70.0,70.0,0.41513547
71.0,71.0,0.0495854
72.0,72.0,0.27790555
73.0,73.0,0.05940973
74.0,74.0,0.9363555
75.0,75.0,0.111741275
76.0,76.0,0.12690851
77.0,77.0,0.18644877
78.0,78.0,0.066018894
79.0,79.0,0.17736644
80.0,80.0,0.06633363
81.0,81.0,0.039927498
82.0,82.0,0.5693923
83.0,83.0,0.41158268
84.0,84.0,0.0879468
85.0,85.0,0.019443462
86.0,86.0,0.4910947
87.0,87.0,0.31195024
88.0,88.0,0.33449414
89.0,89.0,0.071939
90.0,90.0,0.06904899
91.0,91.0,0.38631168
92.0,92.0,0.9785677
93.0,93.0,0.04456155
94.0,94.0,0.036633868
95.0,95.0,0.04666249
96.0,96.0,0.035200678
97.0,97.0,0.06554981
98.0,98.0,0.050544336
99.0,99.0,0.9340045
100.0,100.0,0.07919133
101.0,101.0,0.06897969
102.0,102.0,0.09141278
103.0,103.0,0.28782403
104.0,104.0,0.85850126
105.0,105.0,0.02262848
106.0,106.0,0.02148694
107.0,107.0,0.025827736
108.0,108.0,0.578152
109.0,109.0,0.028607452
110.0,110.0,0.048121266
111.0,111.0,0.9864179
112.0,112.0,0.49389768
113.0,113.0,0.5237992
114.0,114.0,0.32361162
115.0,115.0,0.8945715
116.0,116.0,0.033693586
117.0,117.0,0.05428007
118.0,118.0,0.024706673
119.0,119.0,0.026956074
120.0,120.0,0.88219017
121.0,121.0,0.022375058
122.0,122.0,0.04638347
123.0,123.0,0.5187267
124.0,124.0,0.02718121
125.0,125.0,0.2969525
126.0,126.0,0.9988607
127.0,127.0,0.3421163
128.0,128.0,0.032077838
129.0,129.0,0.049090263
130.0,130.0,0.29118872
131.0,131.0,0.15897454
132.0,132.0,0.69572437
133.0,133.0,0.043397084
134.0,134.0,0.72028655
135.0,135.0,0.7007522
136.0,136.0,0.07170538
137.0,137.0,0.5064466
138.0,138.0,0.4711861
139.0,139.0,0.3052547
140.0,140.0,0.41755056
141.0,141.0,0.06955891
142.0,142.0,0.3124851
143.0,143.0,0.065671355
144.0,144.0,0.8458887
145.0,145.0,0.06979279
146.0,146.0,0.46376276
147.0,147.0,0.33255047
148.0,148.0,0.42786118
149.0,149.0,0.9935325
150.0,150.0,0.10640067
151.0,151.0,0.96159744
152.0,152.0,0.02888018
153.0,153.0,0.14535835
154.0,154.0,0.597806
155.0,155.0,0.9638928
156.0,156.0,0.41453308
157.0,157.0,0.9501399
158.0,158.0,0.15911317
159.0,159.0,0.14143953
160.0,160.0,0.40936917
161.0,161.0,0.45470625
162.0,162.0,0.4354926
163.0,163.0,0.43916798
164.0,164.0,0.4708108
165.0,165.0,0.02931234
166.0,166.0,0.21000189
167.0,167.0,0.021580875
168.0,168.0,0.14836243
169.0,169.0,0.4012088
170.0,170.0,0.023506945
171.0,171.0,0.37461892
172.0,172.0,0.41431236
173.0,173.0,0.035911296
174.0,174.0,0.03447405
175.0,175.0,0.1380129
176.0,176.0,0.124603644
177.0,177.0,0.11163822
178.0,178.0,0.046072613
179.0,179.0,0.41665876
180.0,180.0,0.08186906
181.0,181.0,0.1694041
182.0,182.0,0.10668315
183.0,183.0,0.033322603
184.0,184.0,0.42772776
185.0,185.0,0.07874912
186.0,186.0,0.36390543
187.0,187.0,0.37364766
188.0,188.0,0.15760425
189.0,189.0,0.33839908
190.0,190.0,0.3659089
191.0,191.0,0.1540979
192.0,192.0,0.4183895
193.0,193.0,0.7857303
194.0,194.0,0.062440354
195.0,195.0,0.23328896
196.0,196.0,0.055094685
197.0,197.0,0.36306578
198.0,198.0,0.055825014
199.0,199.0,0.42500076
200.0,200.0,0.07382674
201.0,201.0,0.849897
202.0,202.0,0.20539841
203.0,203.0,0.9969345
204.0,204.0,0.32726502
205.0,205.0,0.254466
206.0,206.0,0.21756914
207.0,207.0,0.93552244
208.0,208.0,0.21024156
209.0,209.0,0.30538255
210.0,210.0,0.2652498
211.0,211.0,0.36940554
212.0,212.0,0.63139325
213.0,213.0,0.04085016
214.0,214.0,0.030779026
215.0,215.0,0.02106873
216.0,216.0,0.91883445
217.0,217.0,0.41621387
218.0,218.0,0.018359693
219.0,219.0,0.5613976
220.0,220.0,0.029548865
221.0,221.0,0.35271814
222.0,222.0,0.04656585
223.0,223.0,0.042731933
224.0,224.0,0.13315527
225.0,225.0,0.21073188
226.0,226.0,0.8026316
227.0,227.0,0.1198798
228.0,228.0,0.119419396
229.0,229.0,0.038104467
230.0,230.0,0.083975874
231.0,231.0,0.19780049
232.0,232.0,0.19258378
233.0,233.0,0.21468797
234.0,234.0,0.18022826
235.0,235.0,0.99525726
236.0,236.0,0.04746136
