x,y,species min
1.0,1.0,0.07605421
2.0,2.0,0.034579005
3.0,3.0,0.017039059
4.0,4.0,0.19937247
5.0,5.0,0.3086159
6.0,6.0,0.9347183
7.0,7.0,0.13139519
8.0,8.0,0.09925393
9.0,9.0,0.034392077
10.0,10.0,0.106359884
11.0,11.0,0.19535343
12.0,12.0,0.41510907
13.0,13.0,0.029284129
14.0,14.0,0.044505984
15.0,15.0,0.43087247
16.0,16.0,0.48459405
17.0,17.0,0.19575632
18.0,18.0,0.071109034
19.0,19.0,0.8643577
20.0,20.0,0.88670325
21.0,21.0,0.64444995
22.0,22.0,0.47313717
23.0,23.0,0.5210804
24.0,24.0,0.09345092
25.0,25.0,0.010562428
26.0,26.0,0.35622016
27.0,27.0,0.052566055
28.0,28.0,0.04644833
29.0,29.0,0.43351054
30.0,30.0,0.12711181
31.0,31.0,0.016536681
32.0,32.0,0.07470378
33.0,33.0,0.026421608
34.0,34.0,0.47287202
35.0,35.0,0.019060245
36.0,36.0,0.407263
37.0,37.0,0.56973094
38.0,38.0,0.10880358
39.0,39.0,0.011621007
40.0,40.0,0.015370557
41.0,41.0,0.33765298
42.0,42.0,0.19265106
43.0,43.0,0.2708158
44.0,44.0,0.7858819
45.0,45.0,0.17085366
46.0,46.0,0.2426238
47.0,47.0,0.056400638
48.0,48.0,0.025573913
49.0,49.0,0.2051277
50.0,50.0,0.32888672
51.0,51.0,0.08510053
52.0,52.0,0.7413064
53.0,53.0,0.034248218
54.0,54.0,0.1877354
55.0,55.0,0.023784457
56.0,56.0,0.011187958
57.0,57.0,0.02262555
58.0,58.0,0.014584921
59.0,59.0,0.1487307
60.0,60.0,0.022150507
61.0,61.0,0.01880604
62.0,62.0,0.016438311
63.0,63.0,0.8474805
64.0,64.0,0.014379312
65.0,65.0,0.16074689
66.0,66.0,0.34858915
67.0,67.0,0.012218857
68.0,68.0,0.014432165
69.0,69.0,0.04018457
70.0,70.0,0.025980156
71.0,71.0,0.48667657
72.0,72.0,0.10758244
73.0,73.0,0.022190413
74.0,74.0,0.07171568
75.0,75.0,0.5037042
76.0,76.0,0.055079207
77.0,77.0,0.47770417
78.0,78.0,0.04940943
79.0,79.0,0.017789727
80.0,80.0,0.110488415
81.0,81.0,0.1778059
82.0,82.0,0.039377954
83.0,83.0,0.011566231
84.0,84.0,0.020593759
85.0,85.0,0.010983106
86.0,86.0,0.06080555
87.0,87.0,0.29624563
