x,y,species stddev
1.0,1.0,0.026256979
2.0,2.0,0.017857086
3.0,3.0,0.045183666
4.0,4.0,0.0064381114
5.0,5.0,0.016251646
6.0,6.0,0.009449771
7.0,7.0,0.012369141
8.0,8.0,0.04095647
9.0,9.0,0.0033127638
10.0,10.0,0.007153206
11.0,11.0,0.012585364
12.0,12.0,0.021528436
13.0,13.0,0.007663402
14.0,14.0,0.050290745
15.0,15.0,0.003455548
16.0,16.0,0.063424446
17.0,17.0,0.006437448
18.0,18.0,0.013408318
19.0,19.0,0.081929505
20.0,20.0,0.014057239
21.0,21.0,0.0107770255
22.0,22.0,0.027078323
23.0,23.0,0.048109047
24.0,24.0,0.020862427
25.0,25.0,0.019189455
26.0,26.0,0.0074200854
27.0,27.0,0.018068543
28.0,28.0,0.0049280743
29.0,29.0,0.006783147
30.0,30.0,0.018728023
31.0,31.0,0.0031297365
32.0,32.0,0.020034304
33.0,33.0,0.0064909807
34.0,34.0,0.036269017
35.0,35.0,0.029687436
36.0,36.0,0.05037699
37.0,37.0,0.0049720057
38.0,38.0,0.0038622387
39.0,39.0,0.005170882
40.0,40.0,0.0153477
41.0,41.0,0.01632825
42.0,42.0,0.029077733
43.0,43.0,0.0021734063
44.0,44.0,0.03673092
45.0,45.0,0.03381066
46.0,46.0,0.013604664
47.0,47.0,0.014178121
48.0,48.0,0.026187042
49.0,49.0,0.0077878768
50.0,50.0,0.023007438
51.0,51.0,0.006042709
52.0,52.0,0.03219075
53.0,53.0,0.02351352
54.0,54.0,0.014233763
55.0,55.0,0.002898959
56.0,56.0,0.017450117
57.0,57.0,0.018166624
58.0,58.0,0.003772789
59.0,59.0,0.022470294
60.0,60.0,0.004016928
61.0,61.0,0.004828099
62.0,62.0,0.006453522
63.0,63.0,0.03187709
64.0,64.0,0.00558403
65.0,65.0,0.008890203
66.0,66.0,0.003262896
67.0,67.0,0.031453922
68.0,68.0,0.004011702
69.0,69.0,0.019914255
70.0,70.0,0.05954167
71.0,71.0,0.0055453535
72.0,72.0,0.02570528
73.0,73.0,0.0057300637
74.0,74.0,0.009413176
75.0,75.0,0.019377496
76.0,76.0,0.016905582
77.0,77.0,0.02877488
78.0,78.0,0.006274691
79.0,79.0,0.012194915
80.0,80.0,0.0062834867
81.0,81.0,0.0052542244
82.0,82.0,0.02505909
83.0,83.0,0.0779071
84.0,84.0,0.013891563
85.0,85.0,0.0025365434
86.0,86.0,0.026310602
87.0,87.0,0.05341239
88.0,88.0,0.034830056
89.0,89.0,0.0070776376
90.0,90.0,0.00852582
91.0,91.0,0.030620951
92.0,92.0,0.009332501
93.0,93.0,0.006284192
94.0,94.0,0.0034145936
95.0,95.0,0.0042453203
96.0,96.0,0.004084809
97.0,97.0,0.0089167105
98.0,98.0,0.008505246
99.0,99.0,0.014331158
100.0,100.0,0.0066662617
101.0,101.0,0.006483026
102.0,102.0,0.008328174
103.0,103.0,0.028710859
104.0,104.0,0.007836938
105.0,105.0,0.0031695631
106.0,106.0,0.0022969472
107.0,107.0,0.0026972003
108.0,108.0,0.06153625
109.0,109.0,0.0029593075
110.0,110.0,0.004764242
111.0,111.0,0.0045919344
112.0,112.0,0.019944498
113.0,113.0,0.04471485
114.0,114.0,0.04337278
115.0,115.0,0.012401374
116.0,116.0,0.0034738888
117.0,117.0,0.007381772
118.0,118.0,0.002787488
119.0,119.0,0.0026986566
120.0,120.0,0.011017371
121.0,121.0,0.0028078943
122.0,122.0,0.005029733
123.0,123.0,0.015327606
124.0,124.0,0.0029391537
125.0,125.0,0.027611677
126.0,126.0,0.0026103512
127.0,127.0,0.04836768
128.0,128.0,0.0036365753
129.0,129.0,0.005258676
130.0,130.0,0.018785246
131.0,131.0,0.021417268
132.0,132.0,0.01473432
133.0,133.0,0.0041958755
134.0,134.0,0.045768887
135.0,135.0,0.038311694
136.0,136.0,0.00852007
137.0,137.0,0.03323791
138.0,138.0,0.058534704
139.0,139.0,0.034604564
140.0,140.0,0.0218222
141.0,141.0,0.006491552
142.0,142.0,0.028132465
143.0,143.0,0.0069156126
144.0,144.0,0.05658959
145.0,145.0,0.006273086
146.0,146.0,0.043039
147.0,147.0,0.064512536
148.0,148.0,0.06221237
149.0,149.0,0.0059197196
150.0,150.0,0.0183358
151.0,151.0,0.012456297
152.0,152.0,0.0029847526
153.0,153.0,0.018264914
154.0,154.0,0.11652691
155.0,155.0,0.05097342
156.0,156.0,0.016644107
157.0,157.0,0.015639005
158.0,158.0,0.01570329
159.0,159.0,0.01152305
160.0,160.0,0.016509231
161.0,161.0,0.016513659
162.0,162.0,0.015474655
163.0,163.0,0.022129487
164.0,164.0,0.042595357
165.0,165.0,0.0034082064
166.0,166.0,0.023193128
167.0,167.0,0.0026851206
168.0,168.0,0.012520124
169.0,169.0,0.04624784
170.0,170.0,0.0033332282
171.0,171.0,0.019621637
172.0,172.0,0.061060105
173.0,173.0,0.004006922
174.0,174.0,0.0037014796
175.0,175.0,0.013179083
176.0,176.0,0.014745089
177.0,177.0,0.017638383
178.0,178.0,0.0055672876
179.0,179.0,0.01830606
180.0,180.0,0.0074617486
181.0,181.0,0.02517734
182.0,182.0,0.014501589
183.0,183.0,0.004625665
184.0,184.0,0.052168183
185.0,185.0,0.007263738
186.0,186.0,0.034894153
187.0,187.0,0.04460225
188.0,188.0,0.011358584
189.0,189.0,0.02526251
190.0,190.0,0.030809341
191.0,191.0,0.011397774
192.0,192.0,0.03890607
193.0,193.0,0.05351715
194.0,194.0,0.0058167074
195.0,195.0,0.01796055
196.0,196.0,0.0074709533
197.0,197.0,0.054154642
198.0,198.0,0.0052501424
199.0,199.0,0.015888354
200.0,200.0,0.007883774
201.0,201.0,0.018347057
202.0,202.0,0.013396338
203.0,203.0,0.0044880267
204.0,204.0,0.026666371
205.0,205.0,0.016547728
206.0,206.0,0.017973758
207.0,207.0,0.009524627
208.0,208.0,0.021635517
209.0,209.0,0.040973444
210.0,210.0,0.033207767
211.0,211.0,0.03505584
212.0,212.0,0.02871171
213.0,213.0,0.004151798
214.0,214.0,0.0039591826
215.0,215.0,0.0021613464
216.0,216.0,0.02221688
217.0,217.0,0.052617636
218.0,218.0,0.002296837
219.0,219.0,0.051341392
220.0,220.0,0.0027969815
221.0,221.0,0.026013711
222.0,222.0,0.004938269
223.0,223.0,0.006090657
224.0,224.0,0.020556422
225.0,225.0,0.030339345
226.0,226.0,0.014193788
227.0,227.0,0.020876925
228.0,228.0,0.010638497
229.0,229.0,0.0044715963
230.0,230.0,0.007476096
231.0,231.0,0.022385122
232.0,232.0,0.0113117425
233.0,233.0,0.022806173
234.0,234.0,0.028598264
235.0,235.0,0.004221209
236.0,236.0,0.004791924
237.0,237.0,0.024469147
238.0,238.0,0.060132194
239.0,239.0,0.0028245433
240.0,240.0,0.009963208
241.0,241.0,0.008368409
242.0,242.0,0.0015849324
243.0,243.0,0.025507556
244.0,244.0,0.011659184
245.0,245.0,0.0055558803
246.0,246.0,0.0062631695
247.0,247.0,0.0087864585
248.0,248.0,0.059088726
249.0,249.0,0.016813347
250.0,250.0,0.017038083
251.0,251.0,0.006580965
252.0,252.0,0.038689084
253.0,253.0,0.0032048125
254.0,254.0,0.0072967433
255.0,255.0,0.0024572553
256.0,256.0,0.057057075
257.0,257.0,0.052019987
258.0,258.0,0.0025803498
259.0,259.0,0.047341675
260.0,260.0,0.0019659805
261.0,261.0,0.00409835
262.0,262.0,0.0070487834
263.0,263.0,0.003213802
264.0,264.0,0.015879357
265.0,265.0,0.01956137
266.0,266.0,0.0038765783
267.0,267.0,0.03640025
268.0,268.0,0.058651228
269.0,269.0,0.047745474
270.0,270.0,0.018815715
271.0,271.0,0.0067197103
272.0,272.0,0.010027233
273.0,273.0,0.0046814764
274.0,274.0,0.010447353
275.0,275.0,0.0553024
276.0,276.0,0.0054046423
277.0,277.0,0.017479973
278.0,278.0,0.016139327
279.0,279.0,0.02160329
280.0,280.0,0.0045162924
281.0,281.0,0.022724723
282.0,282.0,0.020656025
283.0,283.0,0.015019371
284.0,284.0,0.0022317686
285.0,285.0,0.0033541976
286.0,286.0,0.019896764
287.0,287.0,0.032167897
288.0,288.0,0.0029169356
289.0,289.0,0.019405944
290.0,290.0,0.0031178165
291.0,291.0,0.006440401
292.0,292.0,0.006297705
293.0,293.0,0.024717893
294.0,294.0,0.00376363
295.0,295.0,0.024986114
296.0,296.0,0.01830443
297.0,297.0,0.013759206
298.0,298.0,0.050466742
299.0,299.0,0.0060141664
300.0,300.0,0.006832023
301.0,301.0,0.016636232
302.0,302.0,0.0020316388
303.0,303.0,0.010494882
304.0,304.0,0.0019609532
305.0,305.0,0.05254022
306.0,306.0,0.0025499607
307.0,307.0,0.004133398
308.0,308.0,0.05476767
309.0,309.0,0.048657976
310.0,310.0,0.035886373
311.0,311.0,0.0050117774
312.0,312.0,0.0040775407
313.0,313.0,0.0072804415
314.0,314.0,0.060576685
315.0,315.0,0.041599803
316.0,316.0,0.04466894
317.0,317.0,0.033720016
318.0,318.0,0.0457753
319.0,319.0,0.030747537
320.0,320.0,0.0030413468
321.0,321.0,0.04838663
322.0,322.0,0.02992849
323.0,323.0,0.013065341
324.0,324.0,0.0071295775
325.0,325.0,0.031809367
326.0,326.0,0.021732874
327.0,327.0,0.0053062565
328.0,328.0,0.005404565
329.0,329.0,0.005157649
330.0,330.0,0.0055841394
331.0,331.0,0.003498375
332.0,332.0,0.0026208486
333.0,333.0,0.002399799
334.0,334.0,0.0059931423
335.0,335.0,0.05259318
336.0,336.0,0.034007937
337.0,337.0,0.010215679
338.0,338.0,0.026586551
339.0,339.0,0.0038838563
340.0,340.0,0.002642892
341.0,341.0,0.0033198146
342.0,342.0,0.00885621
343.0,343.0,0.006782683
344.0,344.0,0.011045898
345.0,345.0,0.012113432
346.0,346.0,0.051026918
347.0,347.0,0.04710601
348.0,348.0,0.002464458
349.0,349.0,0.004087187
350.0,350.0,0.028414495
351.0,351.0,0.04965333
352.0,352.0,0.021948142
353.0,353.0,0.006091458
354.0,354.0,0.003538164
355.0,355.0,0.019988066
356.0,356.0,0.0026005632
357.0,357.0,0.015004275
358.0,358.0,0.01526927
359.0,359.0,0.024720127
360.0,360.0,0.10055773
361.0,361.0,0.022841323
362.0,362.0,0.06494262
363.0,363.0,0.0065211314
364.0,364.0,0.04559616
365.0,365.0,0.0392505
366.0,366.0,0.004633054
367.0,367.0,0.012524311
368.0,368.0,0.004052095
369.0,369.0,0.0057593402
370.0,370.0,0.057195615
371.0,371.0,0.029447969
372.0,372.0,0.011886748
373.0,373.0,0.00589446
374.0,374.0,0.046674766
375.0,375.0,0.0069906292
376.0,376.0,0.026606182
377.0,377.0,0.012613719
378.0,378.0,0.0038266974
379.0,379.0,0.017567765
380.0,380.0,0.046702296
381.0,381.0,0.023223156
382.0,382.0,0.009945424
383.0,383.0,0.017650694
384.0,384.0,0.0034189355
385.0,385.0,0.006153764
386.0,386.0,0.02397543
387.0,387.0,0.005709972
388.0,388.0,0.049861737
389.0,389.0,0.068539515
390.0,390.0,0.046149205
391.0,391.0,0.05764701
392.0,392.0,0.021752356
393.0,393.0,0.0119070355
394.0,394.0,0.008020345
395.0,395.0,0.017322341
396.0,396.0,0.0021995436
397.0,397.0,0.06018161
398.0,398.0,0.034945518
399.0,399.0,0.0022729875
400.0,400.0,0.005554247
401.0,401.0,0.0022742883
402.0,402.0,0.007202521
403.0,403.0,0.01704679
404.0,404.0,0.0032667199
405.0,405.0,0.011176286
406.0,406.0,0.048514623
407.0,407.0,0.04843855
408.0,408.0,0.011588767
409.0,409.0,0.006182885
410.0,410.0,0.0062733963
411.0,411.0,0.0041703945
412.0,412.0,0.034869175
413.0,413.0,0.014267711
414.0,414.0,0.038734816
415.0,415.0,0.0023709168
416.0,416.0,0.0040618926
417.0,417.0,0.0090546245
418.0,418.0,0.06613624
419.0,419.0,0.01839419
420.0,420.0,0.020073267
421.0,421.0,0.018769694
422.0,422.0,0.028311217
423.0,423.0,0.010879169
424.0,424.0,0.054202203
425.0,425.0,0.0027094707
426.0,426.0,0.005080605
427.0,427.0,0.012890414
428.0,428.0,0.0145780435
429.0,429.0,0.021188255
430.0,430.0,0.0334858
431.0,431.0,0.004090249
432.0,432.0,0.007905589
433.0,433.0,0.003935673
434.0,434.0,0.049252223
435.0,435.0,0.0064495024
436.0,436.0,0.015261915
437.0,437.0,0.025017478
438.0,438.0,0.027738743
439.0,439.0,0.0104864985
