Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt11 contribution,tdmean11 contribution,tmean11 contribution,vpdmin11 contribution,ppt11 permutation importance,tdmean11 permutation importance,tmean11 permutation importance,vpdmin11 permutation importance,Training gain without ppt11,Training gain without tdmean11,Training gain without tmean11,Training gain without vpdmin11,Training gain with only ppt11,Training gain with only tdmean11,Training gain with only tmean11,Training gain with only vpdmin11,Test gain without ppt11,Test gain without tdmean11,Test gain without tmean11,Test gain without vpdmin11,Test gain with only ppt11,Test gain with only tdmean11,Test gain with only tmean11,Test gain with only vpdmin11,AUC without ppt11,AUC without tdmean11,AUC without tmean11,AUC without vpdmin11,AUC with only ppt11,AUC with only tdmean11,AUC with only tmean11,AUC with only vpdmin11,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,10,0.5539,0.7961,120,0.8594,1,1.5918,0.9936,-1.0000,10010,4.6726,53.3992,5.1251,36.8031,0.0000,7.7370,17.0161,75.2469,0.5387,0.5488,0.5498,0.4855,0.0824,0.4026,0.0910,0.3117,1.8789,1.3350,1.7882,1.5363,-0.2747,1.6735,0.5040,0.7138,0.9988,0.9673,0.9983,0.9840,0.3741,0.9912,0.9082,0.9441,8.6574,0.3451,1.0000,0.0759,0.7726,0.0000,0.0000,7.726E-1,5.0000,0.2031,0.6179,0.0000,0.0000,6.179E-1,10.0000,0.2871,0.5152,0.0000,0.0000,5.152E-1,36.7727,0.5757,0.2321,0.0000,0.0000,2.321E-1,47.5425,0.6650,0.1683,0.1000,0.0000,1.683E-1,47.5425,0.6650,0.1683,0.2000,0.0000,1.683E-1,36.7727,0.5757,0.2321,0.0000,0.0000,2.321E-1,96.6945,0.9406,0.0064,1.0000,0.0000,6.394E-3,96.6945,0.9406,0.0064,1.0000,0.0000,6.394E-3,5.1326,0.2053,0.6146,0.0000,0.0000,6.146E-1,6.8754,0.2364,0.5746,0.0000,0.0000,5.746E-1
species_1,10,0.6471,0.8804,100,0.8715,1,0.6145,0.8451,-1.0000,10010,0.9361,61.1208,0.0000,37.9431,0.0000,36.7255,0.0000,63.2745,0.6432,0.6098,0.6471,0.5495,0.0654,0.4759,0.0999,0.3656,0.6364,0.6971,0.6145,0.5973,-0.1141,0.7075,0.4065,0.1504,0.8637,0.8426,0.8451,0.8356,0.5067,0.8727,0.8644,0.5673,8.5643,0.3131,1.0000,0.0701,0.7318,0.0000,0.0000,7.318E-1,5.0000,0.1912,0.5805,0.0000,0.0000,5.805E-1,10.0000,0.2765,0.4817,0.0000,0.0000,4.817E-1,29.3589,0.4741,0.2691,0.0000,0.0000,2.691E-1,42.0483,0.5836,0.1796,0.1000,0.0000,1.796E-1,42.0650,0.5838,0.1796,0.2000,0.0000,1.796E-1,29.3589,0.4741,0.2691,0.0000,0.0000,2.691E-1,46.3939,0.6201,0.1549,0.4000,0.0000,1.549E-1,46.3939,0.6201,0.1549,0.4000,0.0000,1.549E-1,4.8767,0.1889,0.5836,0.0000,0.0000,5.836E-1,7.6302,0.2363,0.5236,0.0000,0.0000,5.236E-1
species_2,10,0.6418,0.8381,80,0.8718,1,0.6671,0.8727,-1.0000,10010,0.0000,69.4724,0.0000,30.5276,0.0000,38.9366,0.0000,61.0634,0.6418,0.5913,0.6418,0.5563,0.0265,0.5249,0.1473,0.3175,0.6671,0.8542,0.6671,0.5336,0.2448,0.2514,-0.0460,0.6256,0.8727,0.8758,0.8727,0.8223,0.8950,0.7881,0.5332,0.8418,8.5695,0.3134,1.0000,0.0665,0.7599,0.0000,0.0000,7.599E-1,5.0000,0.1898,0.6059,0.0000,0.0000,6.059E-1,10.0000,0.2656,0.5043,0.0000,0.0000,5.043E-1,24.0930,0.4016,0.3246,0.0000,0.0000,3.246E-1,40.8744,0.5339,0.1830,0.1000,0.0000,1.83E-1,40.8889,0.5339,0.1830,0.2000,0.0000,1.83E-1,40.8744,0.5339,0.1830,0.1000,0.0000,1.83E-1,50.2460,0.6414,0.1273,0.3000,0.0000,1.273E-1,50.2460,0.6414,0.1273,0.3000,0.0000,1.273E-1,5.0130,0.1898,0.6056,0.0000,0.0000,6.056E-1,8.7609,0.2486,0.5263,0.0000,0.0000,5.263E-1
species_3,10,0.6579,0.8548,80,0.8740,1,0.5246,0.8470,-1.0000,10010,0.0000,71.1491,0.0000,28.8509,0.0000,39.7380,0.0000,60.2620,0.6579,0.6176,0.6579,0.5682,0.0191,0.5447,0.1727,0.3173,0.5246,0.6334,0.5246,0.4459,0.3104,0.0806,-0.2726,0.6285,0.8470,0.8554,0.8470,0.8038,0.9389,0.7470,0.4496,0.8444,8.5534,0.3078,1.0000,0.0649,0.7581,0.0000,0.0000,7.581E-1,5.0000,0.1854,0.6025,0.0000,0.0000,6.025E-1,10.0000,0.2629,0.4999,0.0000,0.0000,4.999E-1,23.4313,0.3895,0.3258,0.0000,0.0000,3.258E-1,40.0095,0.5243,0.1836,0.1000,0.0000,1.836E-1,40.0095,0.5243,0.1836,0.2000,0.0000,1.836E-1,40.0095,0.5243,0.1836,0.1000,0.0000,1.836E-1,44.7960,0.5832,0.1530,0.2000,0.0000,1.53E-1,44.7960,0.5832,0.1530,0.2000,0.0000,1.53E-1,5.0938,0.1871,0.6002,0.0000,0.0000,6.002E-1,8.9901,0.2460,0.5179,0.0000,0.0000,5.179E-1
species_4,10,0.7356,0.9297,100,0.8905,1,-0.1380,0.6689,-1.0000,10010,0.0000,75.1551,0.3653,24.4796,0.0000,42.8663,0.0000,57.1337,0.7356,0.6984,0.7356,0.6543,0.0155,0.6290,0.2349,0.3266,-0.1380,0.0444,-0.1380,-0.1620,0.3462,-0.5877,-0.8025,0.5161,0.6689,0.7306,0.6689,0.6601,0.9596,0.5310,0.2968,0.7527,8.4757,0.2826,1.0000,0.0586,0.7434,0.0000,0.0000,7.434E-1,5.0000,0.1679,0.5825,0.0000,0.0000,5.825E-1,10.0000,0.2442,0.4773,0.0000,0.0000,4.773E-1,36.3525,0.4826,0.1854,0.0000,1.0000,1E0,40.8050,0.5409,0.1559,0.1000,1.0000,1E0,40.8212,0.5410,0.1559,0.2000,1.0000,1E0,36.3525,0.4826,0.1854,0.0000,1.0000,1E0,20.5211,0.3413,0.3311,0.0000,0.0000,3.311E-1,20.5211,0.3413,0.3311,0.0000,0.0000,3.311E-1,5.4012,0.1744,0.5723,0.0000,0.0000,5.723E-1,9.8983,0.2431,0.4791,0.0000,0.0000,4.791E-1
species_5,10,0.6477,0.8798,100,0.8718,1,0.6082,0.8448,-1.0000,10010,1.3283,60.2942,0.0000,38.3775,0.0000,35.9178,0.0000,64.0822,0.6443,0.6099,0.6477,0.5492,0.0640,0.4772,0.1005,0.3657,0.6259,0.6939,0.6082,0.5988,-0.1007,0.6951,0.4002,0.1496,0.8615,0.8432,0.8448,0.8366,0.5155,0.8706,0.8608,0.5670,8.5636,0.3129,1.0000,0.0701,0.7318,0.0000,0.0000,7.318E-1,5.0000,0.1915,0.5806,0.0000,0.0000,5.806E-1,10.0000,0.2764,0.4819,0.0000,0.0000,4.819E-1,29.0871,0.4714,0.2714,0.0000,0.0000,2.714E-1,41.9556,0.5815,0.1800,0.1000,0.0000,1.8E-1,41.9722,0.5815,0.1800,0.2000,0.0000,1.8E-1,29.0871,0.4714,0.2714,0.0000,0.0000,2.714E-1,46.2938,0.6176,0.1552,0.3000,0.0000,1.552E-1,46.2938,0.6176,0.1552,0.3000,0.0000,1.552E-1,4.8692,0.1887,0.5839,0.0000,0.0000,5.839E-1,7.6622,0.2370,0.5232,0.0000,0.0000,5.232E-1
species_6,10,0.6568,0.8775,100,0.8704,1,0.5476,0.8293,-1.0000,10010,0.0163,56.1523,0.0013,43.8301,0.0000,32.8819,0.0000,67.1181,0.6548,0.6283,0.6568,0.5387,0.0666,0.4652,0.0939,0.3880,0.5492,0.5833,0.5476,0.7106,-0.1259,0.8171,0.4709,-0.0316,0.8439,0.8207,0.8293,0.8692,0.4987,0.8930,0.8923,0.5233,8.5546,0.3103,1.0000,0.0717,0.7207,0.0000,0.0000,7.207E-1,5.0000,0.1976,0.5722,0.0000,0.0000,5.722E-1,10.0000,0.2794,0.4765,0.0000,0.0000,4.765E-1,28.8770,0.4696,0.2724,0.0000,0.0000,2.724E-1,41.6436,0.5758,0.1816,0.1000,0.0000,1.816E-1,41.6436,0.5758,0.1816,0.2000,0.0000,1.816E-1,28.8770,0.4696,0.2724,0.0000,0.0000,2.724E-1,43.4811,0.5920,0.1707,0.2000,0.0000,1.707E-1,43.4811,0.5920,0.1707,0.2000,0.0000,1.707E-1,4.5352,0.1872,0.5835,0.0000,0.0000,5.835E-1,7.5711,0.2403,0.5185,0.0000,0.0000,5.185E-1
species_7,10,0.6723,0.8753,80,0.8779,1,0.3706,0.8172,-1.0000,10010,0.0000,69.2647,0.0000,30.7353,0.0000,38.0780,0.0000,61.9220,0.6723,0.6304,0.6723,0.5748,0.0229,0.5462,0.1644,0.3334,0.3706,0.4532,0.3706,0.3862,0.2766,0.0679,-0.1997,0.4435,0.8172,0.8213,0.8172,0.7880,0.9188,0.7435,0.4738,0.7042,8.5390,0.3034,1.0000,0.0650,0.7469,0.0000,0.0000,7.469E-1,5.0000,0.1838,0.5937,0.0000,0.0000,5.937E-1,10.0000,0.2603,0.4921,0.0000,0.0000,4.921E-1,23.2925,0.3903,0.3222,0.0000,0.0000,3.222E-1,45.0893,0.5864,0.1494,0.1000,1.0000,1E0,45.0893,0.5864,0.1494,0.1000,1.0000,1E0,45.0893,0.5864,0.1494,0.1000,1.0000,1E0,39.7583,0.5227,0.1828,0.1000,0.0000,1.828E-1,39.7583,0.5227,0.1828,0.1000,0.0000,1.828E-1,5.0220,0.1843,0.5932,0.0000,0.0000,5.932E-1,8.9535,0.2461,0.5105,0.0000,0.0000,5.105E-1
species_8,10,0.5604,0.7900,140,0.8597,1,1.5360,0.9856,-1.0000,10010,3.6044,52.3449,5.4467,38.6039,0.0000,17.2835,9.0541,73.6624,0.5513,0.5529,0.5584,0.4821,0.0765,0.4054,0.0887,0.3239,1.6853,1.2739,1.6476,1.5179,-0.2188,1.6093,0.5324,0.5461,0.9934,0.9500,0.9920,0.9829,0.4216,0.9894,0.9278,0.7739,8.6510,0.3431,1.0000,0.0758,0.7647,0.0000,0.0000,7.647E-1,5.0000,0.2092,0.6134,0.0000,0.0000,6.134E-1,10.0000,0.2905,0.5130,0.0000,0.0000,5.13E-1,35.6323,0.5542,0.2414,0.0000,0.0000,2.414E-1,46.8952,0.6477,0.1713,0.1000,0.0000,1.713E-1,46.9135,0.6478,0.1712,0.2000,0.0000,1.712E-1,35.6323,0.5542,0.2414,0.0000,0.0000,2.414E-1,92.7147,0.9296,0.0144,0.9000,0.0000,1.439E-2,92.7147,0.9296,0.0144,0.9000,0.0000,1.439E-2,4.7678,0.2041,0.6192,0.0000,0.0000,6.192E-1,6.8909,0.2412,0.5709,0.0000,0.0000,5.709E-1
species_9,10,0.6238,0.8220,80,0.8715,1,0.8116,0.8887,-1.0000,10010,0.0000,59.8736,0.0000,40.1264,0.0000,36.0664,0.0000,63.9336,0.6238,0.5838,0.6238,0.5057,0.0285,0.4760,0.1138,0.3434,0.8116,0.8084,0.8116,0.9876,0.2273,0.7073,0.2666,0.3466,0.8887,0.8775,0.8887,0.9208,0.8766,0.8726,0.7585,0.6372,8.5875,0.3205,1.0000,0.0734,0.7471,0.0000,0.0000,7.471E-1,5.0000,0.2010,0.5994,0.0000,0.0000,5.994E-1,10.0000,0.2785,0.5025,0.0000,0.0000,5.025E-1,25.9680,0.4338,0.3130,0.0000,0.0000,3.13E-1,42.3892,0.5548,0.1828,0.1000,0.0000,1.828E-1,42.4043,0.5551,0.1828,0.2000,0.0000,1.828E-1,42.3892,0.5548,0.1828,0.1000,0.0000,1.828E-1,55.2373,0.7008,0.1113,0.8000,0.0000,1.113E-1,55.2373,0.7008,0.1113,0.8000,0.0000,1.113E-1,4.6050,0.1928,0.6091,0.0000,0.0000,6.091E-1,8.0804,0.2540,0.5359,0.0000,0.0000,5.359E-1
