x,y,species median
1.0,1.0,0.018755602
2.0,2.0,0.0010673599
3.0,3.0,0.19957162
4.0,4.0,0.18699846
5.0,5.0,0.36025703
6.0,6.0,0.67709523
7.0,7.0,0.28000623
8.0,8.0,7.262401E-4
9.0,9.0,0.12663421
10.0,10.0,0.30063277
11.0,11.0,0.13733163
12.0,12.0,0.2410665
13.0,13.0,0.002068262
14.0,14.0,0.23898745
15.0,15.0,0.4754482
16.0,16.0,0.06662053
17.0,17.0,0.88171166
18.0,18.0,0.14363706
19.0,19.0,0.10369803
20.0,20.0,0.027239393
21.0,21.0,0.9392274
22.0,22.0,0.4158264
23.0,23.0,0.0822366
24.0,24.0,0.7331567
25.0,25.0,0.55949897
26.0,26.0,0.10866344
27.0,27.0,0.41804183
28.0,28.0,0.40141344
29.0,29.0,0.3891104
30.0,30.0,5.76566E-5
31.0,31.0,0.21175839
32.0,32.0,0.53693235
33.0,33.0,0.8336656
34.0,34.0,0.08025313
35.0,35.0,0.38239825
36.0,36.0,0.3354755
37.0,37.0,0.005212668
38.0,38.0,0.27234423
39.0,39.0,0.7612546
40.0,40.0,0.3435696
41.0,41.0,0.093427345
42.0,42.0,5.7705026E-4
43.0,43.0,0.5425898
44.0,44.0,0.6605366
45.0,45.0,0.12373558
46.0,46.0,0.5461459
47.0,47.0,0.7270945
48.0,48.0,0.2423894
49.0,49.0,0.6613481
50.0,50.0,0.0015205361
51.0,51.0,0.008369167
52.0,52.0,0.63435626
53.0,53.0,0.24323836
54.0,54.0,0.019211292
55.0,55.0,0.8638341
56.0,56.0,0.6528491
57.0,57.0,0.8667436
58.0,58.0,0.11195982
59.0,59.0,0.7022274
60.0,60.0,0.254724
61.0,61.0,0.14153627
62.0,62.0,0.33108285
63.0,63.0,0.51818275
64.0,64.0,0.852268
65.0,65.0,0.30625847
66.0,66.0,0.009322831
67.0,67.0,0.55761915
68.0,68.0,0.343637
69.0,69.0,0.3272548
70.0,70.0,0.18249276
71.0,71.0,0.08839939
72.0,72.0,0.95646757
73.0,73.0,0.6031421
74.0,74.0,0.40706727
75.0,75.0,0.20596755
76.0,76.0,0.26759732
77.0,77.0,0.0027509916
78.0,78.0,0.49007425
79.0,79.0,0.1484392
80.0,80.0,0.009978234
81.0,81.0,0.027128495
82.0,82.0,0.28069708
83.0,83.0,0.001420922
84.0,84.0,0.0030464716
85.0,85.0,0.0028109676
86.0,86.0,0.25317562
87.0,87.0,0.6434927
88.0,88.0,0.5612869
89.0,89.0,0.26114386
90.0,90.0,0.6326358
91.0,91.0,0.18440874
92.0,92.0,0.16589662
93.0,93.0,0.62200284
94.0,94.0,0.1764127
95.0,95.0,0.0011446951
96.0,96.0,0.8960108
97.0,97.0,0.22604328
98.0,98.0,0.03689126
99.0,99.0,0.012112018
100.0,100.0,0.80853415
101.0,101.0,0.03398502
102.0,102.0,0.0131938765
103.0,103.0,0.08031099
104.0,104.0,2.458294E-4
105.0,105.0,0.20172006
106.0,106.0,0.005318142
107.0,107.0,0.22269358
108.0,108.0,0.22095098
109.0,109.0,0.6740023
110.0,110.0,0.007188565
111.0,111.0,0.17956991
112.0,112.0,0.280498
113.0,113.0,0.42724094
114.0,114.0,0.0010033341
115.0,115.0,0.860793
116.0,116.0,0.44595274
117.0,117.0,0.4001887
118.0,118.0,0.6513921
119.0,119.0,0.12350986
120.0,120.0,0.0013344112
121.0,121.0,0.5903702
122.0,122.0,0.547941
123.0,123.0,0.58523947
124.0,124.0,0.5299683
125.0,125.0,0.082722545
126.0,126.0,0.26278803
127.0,127.0,0.3035027
128.0,128.0,0.07419782
129.0,129.0,0.60819906
130.0,130.0,0.0011669134
131.0,131.0,0.13291399
132.0,132.0,0.8773508
133.0,133.0,0.35885358
134.0,134.0,0.19113319
135.0,135.0,0.039663214
136.0,136.0,0.07244538
137.0,137.0,0.006519132
138.0,138.0,0.054864928
139.0,139.0,0.40581247
140.0,140.0,0.41844133
141.0,141.0,0.9179941
142.0,142.0,0.030860813
143.0,143.0,0.18842112
144.0,144.0,0.3842843
145.0,145.0,0.3343917
146.0,146.0,0.19917235
147.0,147.0,0.013446762
148.0,148.0,0.018182615
149.0,149.0,0.42311856
150.0,150.0,0.055532936
151.0,151.0,0.13053289
152.0,152.0,0.39458287
153.0,153.0,0.0017387231
154.0,154.0,0.35250482
155.0,155.0,0.11784837
156.0,156.0,0.02883204
157.0,157.0,0.42016345
158.0,158.0,0.681141
159.0,159.0,0.065142706
160.0,160.0,0.90913975
161.0,161.0,0.23079796
162.0,162.0,1.12229995E-4
163.0,163.0,0.23490402
164.0,164.0,0.047501307
165.0,165.0,0.20837349
166.0,166.0,0.92828745
167.0,167.0,0.9153966
168.0,168.0,0.27426288
169.0,169.0,0.15881519
170.0,170.0,0.14470154
171.0,171.0,0.110977106
172.0,172.0,0.9457539
173.0,173.0,0.43330017
174.0,174.0,0.31924596
175.0,175.0,0.6671629
176.0,176.0,0.039565034
177.0,177.0,0.105127335
178.0,178.0,0.8782289
179.0,179.0,0.015102468
180.0,180.0,0.5214256
181.0,181.0,0.34726083
182.0,182.0,0.016187383
183.0,183.0,0.267971
184.0,184.0,0.008543899
185.0,185.0,0.16470881
186.0,186.0,0.24928376
187.0,187.0,0.9234986
188.0,188.0,0.19705938
189.0,189.0,0.6923939
190.0,190.0,0.3736313
191.0,191.0,0.60871947
192.0,192.0,0.74109495
193.0,193.0,0.2673045
194.0,194.0,0.34114358
195.0,195.0,0.0023775338
196.0,196.0,0.37149602
197.0,197.0,0.023544267
198.0,198.0,0.11116322
199.0,199.0,0.21569757
200.0,200.0,0.796953
201.0,201.0,0.43885008
202.0,202.0,1.7988755E-4
203.0,203.0,0.2871959
204.0,204.0,0.37011647
205.0,205.0,0.4190358
206.0,206.0,0.052396223
207.0,207.0,0.24554731
208.0,208.0,0.37969598
209.0,209.0,0.16823879
210.0,210.0,0.089098506
211.0,211.0,0.0011861458
212.0,212.0,0.029746806
213.0,213.0,0.011462944
214.0,214.0,0.09129792
215.0,215.0,0.22652425
216.0,216.0,0.021103887
217.0,217.0,0.21969643
218.0,218.0,0.0033887373
