Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt9 contribution,tmean9 contribution,vpdmax9 contribution,ppt9 permutation importance,tmean9 permutation importance,vpdmax9 permutation importance,Training gain without ppt9,Training gain without tmean9,Training gain without vpdmax9,Training gain with only ppt9,Training gain with only tmean9,Training gain with only vpdmax9,Test gain without ppt9,Test gain without tmean9,Test gain without vpdmax9,Test gain with only ppt9,Test gain with only tmean9,Test gain with only vpdmax9,AUC without ppt9,AUC without tmean9,AUC without vpdmax9,AUC with only ppt9,AUC with only tmean9,AUC with only vpdmax9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,30,0.4700,0.7096,260,0.8120,4,0.6298,0.7994,0.0792,10030,85.9303,13.5611,0.5086,64.4123,30.1775,5.4102,0.3172,0.4029,0.4642,0.3804,0.1037,0.0782,0.3311,0.5850,0.6458,0.5244,0.2955,0.0803,0.7658,0.8022,0.8011,0.7120,0.6684,0.5909,8.7429,0.3798,1.0000,0.0536,0.7880,0.0000,0.0000,3.856E-1,5.0000,0.2358,0.5956,0.0000,0.0000,1.259E-1,10.0000,0.4019,0.5173,0.0667,0.0000,7.164E-2,7.5010,0.3486,0.5503,0.0000,0.0000,9.174E-2,14.2037,0.4538,0.4712,0.1000,0.0000,4.929E-2,36.7824,0.5827,0.2812,0.2667,0.2500,7.015E-2,28.5914,0.5457,0.3429,0.1667,0.2500,1.198E-1,41.2588,0.6012,0.2500,0.3667,0.2500,5.081E-2,17.1673,0.4790,0.4417,0.1333,0.0000,3.805E-2,4.7313,0.2208,0.6022,0.0000,0.0000,1.315E-1,3.9226,0.1832,0.6247,0.0000,0.0000,1.523E-1
species_1,30,0.5228,0.7298,400,0.8216,4,0.0235,0.6524,0.1229,10030,81.9825,17.9308,0.0867,75.2487,22.6917,2.0595,0.3146,0.4541,0.5222,0.4002,0.1313,0.0612,0.2421,0.0592,0.0284,0.2829,0.0083,0.1782,0.6632,0.6509,0.6518,0.6135,0.4999,0.7773,8.6907,0.3586,1.0000,0.0539,0.7742,0.0000,0.0000,3.592E-1,5.0000,0.2133,0.5800,0.0000,0.2500,4.409E-1,10.0000,0.3581,0.4913,0.0333,0.5000,6.744E-1,6.0175,0.2454,0.5568,0.0000,0.5000,7.676E-1,22.7738,0.5154,0.3604,0.1000,0.5000,4.555E-1,34.7689,0.5748,0.2702,0.2667,0.5000,2.962E-1,16.0705,0.4388,0.4214,0.0333,0.5000,5.615E-1,9.3715,0.3448,0.5000,0.0333,0.5000,6.875E-1,4.8958,0.2102,0.5826,0.0000,0.0000,1.152E-1,5.0431,0.2151,0.5789,0.0000,0.2500,4.39E-1,4.5002,0.1968,0.5929,0.0000,0.0000,1.236E-1
species_2,30,0.4557,0.6675,320,0.7983,4,0.6864,0.8430,0.0551,10030,85.6943,14.3057,0.0000,82.4042,17.5958,0.0000,0.2824,0.3995,0.4557,0.3769,0.1179,0.0645,0.5455,0.6038,0.6857,0.5457,0.1764,0.1708,0.8567,0.8084,0.8434,0.7675,0.6367,0.6313,8.7578,0.3867,1.0000,0.0541,0.7806,0.0000,0.0000,3.712E-1,5.0000,0.2526,0.5930,0.0000,0.0000,1.237E-1,10.0000,0.4337,0.5204,0.0333,0.0000,7.336E-2,5.4228,0.2770,0.5843,0.0000,0.0000,1.166E-1,13.8715,0.5020,0.4818,0.1000,0.0000,5.386E-2,32.4710,0.5683,0.3333,0.3333,0.0000,1.234E-2,11.3654,0.4617,0.5059,0.0333,0.0000,6.549E-2,43.8201,0.5915,0.2500,0.4000,0.2500,5.081E-2,35.3185,0.5723,0.3119,0.3333,0.0000,9.459E-3,4.4148,0.2236,0.6067,0.0000,0.0000,1.355E-1,3.4662,0.1733,0.6340,0.0000,0.0000,1.616E-1
species_3,30,0.5018,0.7690,180,0.8070,4,0.1080,0.5995,0.0271,10030,78.9980,21.0020,0.0000,69.5435,30.4565,0.0000,0.3218,0.4233,0.5019,0.3773,0.1842,0.0615,0.0284,0.3156,0.1103,0.5188,-0.4714,0.1537,0.6816,0.6510,0.5990,0.6202,0.2035,0.5230,8.7115,0.3672,1.0000,0.0509,0.7786,0.0000,0.0000,3.674E-1,5.0000,0.2422,0.5901,0.0000,0.0000,1.213E-1,10.0000,0.4003,0.5167,0.0333,0.0000,7.125E-2,7.0416,0.3487,0.5543,0.0000,0.0000,9.443E-2,14.2882,0.4623,0.4704,0.1000,0.0000,4.896E-2,33.5848,0.5288,0.3000,0.3000,1.0000,1E0,11.4679,0.4209,0.4999,0.0333,0.0000,6.245E-2,20.6462,0.4876,0.4115,0.2000,0.5000,5.445E-1,14.8649,0.4680,0.4649,0.1333,0.0000,4.672E-2,4.5072,0.2149,0.6017,0.0000,0.0000,1.311E-1,4.3624,0.2074,0.6054,0.0000,0.0000,1.343E-1
species_4,31,0.4316,0.5784,240,0.7841,3,0.8889,0.9314,0.0264,10031,91.8460,8.1539,0.0002,81.6376,18.3624,0.0000,0.2632,0.3955,0.4316,0.3828,0.0585,0.0800,0.7401,0.6972,0.8882,0.5510,0.6546,-0.0006,0.9013,0.9165,0.9315,0.7230,0.9579,0.4506,8.7817,0.3978,1.0000,0.0577,0.7726,0.0000,0.0000,4.612E-1,5.0000,0.2668,0.5895,0.0323,0.0000,2.048E-1,10.0000,0.4502,0.5178,0.0323,0.0000,1.388E-1,4.5654,0.2427,0.5990,0.0000,0.0000,2.15E-1,18.0759,0.5487,0.4453,0.0968,0.0000,8.831E-2,34.8902,0.6137,0.3224,0.3226,0.0000,3.351E-2,23.7135,0.5805,0.4014,0.1290,0.0000,6.465E-2,67.2065,0.7372,0.1332,0.6452,0.0000,2.363E-3,67.2065,0.7372,0.1332,0.6452,0.0000,2.363E-3,4.2906,0.2285,0.6057,0.0000,0.0000,2.222E-1,2.9014,0.1531,0.6493,0.0000,0.0000,2.737E-1
species_5,31,0.4721,0.7048,480,0.8133,3,0.4992,0.7695,0.0195,10031,89.1983,10.1549,0.6468,59.7724,31.0812,9.1465,0.3354,0.4166,0.4652,0.3995,0.0953,0.1039,0.0707,0.3425,0.5346,0.2277,0.4191,-0.2868,0.6469,0.6271,0.7680,0.5263,0.8696,0.3088,8.7412,0.3788,1.0000,0.0532,0.8019,0.0000,0.0000,5.157E-1,5.0000,0.2126,0.5955,0.0000,0.0000,2.111E-1,10.0000,0.3961,0.5098,0.0645,0.0000,1.325E-1,7.4515,0.3156,0.5457,0.0000,0.0000,1.625E-1,13.4908,0.4474,0.4702,0.0968,0.0000,1.04E-1,42.5655,0.6321,0.2455,0.2581,0.3333,1.513E-1,39.3626,0.6228,0.2658,0.1935,0.3333,1.744E-1,37.6754,0.6172,0.2766,0.1935,0.3333,1.872E-1,37.6626,0.6171,0.2766,0.1935,0.0000,2.117E-2,5.2197,0.2206,0.5899,0.0000,0.0000,2.052E-1,4.0458,0.1727,0.6236,0.0000,0.0000,2.425E-1
species_6,31,0.4711,0.7139,420,0.8132,3,0.6570,0.8456,0.0494,10031,84.5853,15.3237,0.0909,67.8130,31.3559,0.8311,0.3073,0.4051,0.4698,0.3837,0.1243,0.0716,0.3844,0.6131,0.6265,0.5405,0.1234,0.1392,0.8277,0.8152,0.8201,0.7472,0.5735,0.6136,8.7425,0.3801,1.0000,0.0524,0.7786,0.0000,0.0000,4.72E-1,5.0000,0.2459,0.5907,0.0000,0.0000,2.061E-1,10.0000,0.4190,0.5160,0.0323,0.0000,1.374E-1,5.9954,0.3026,0.5713,0.0000,0.0000,1.865E-1,12.1919,0.4655,0.4926,0.0968,0.0000,1.195E-1,37.8065,0.5751,0.2843,0.2903,0.0000,2.298E-2,33.5476,0.5653,0.3158,0.1935,0.0000,3.15E-2,46.3155,0.5973,0.2240,0.4194,0.3333,1.281E-1,46.3127,0.5973,0.2240,0.4194,0.0000,1.124E-2,4.4761,0.2210,0.6030,0.0000,0.0000,2.193E-1,3.7128,0.1813,0.6244,0.0000,0.0000,2.434E-1
species_7,31,0.5166,0.7035,320,0.8141,3,0.0894,0.6575,0.1276,10031,87.7852,12.1943,0.0205,77.5224,22.4776,0.0000,0.3175,0.4664,0.5165,0.4384,0.0978,0.0776,0.2796,-0.0249,0.0797,-0.0524,0.3748,0.0675,0.7670,0.6566,0.6578,0.6568,0.6703,0.5369,8.6974,0.3650,1.0000,0.0570,0.7030,0.0000,0.0000,3.475E-1,5.0000,0.3171,0.5533,0.0000,0.3333,5.796E-1,10.0000,0.4422,0.4931,0.0645,0.3333,4.896E-1,6.0234,0.3601,0.5387,0.0000,0.3333,5.58E-1,22.1442,0.5245,0.3836,0.0968,0.3333,3.286E-1,34.5226,0.5752,0.2903,0.2903,0.6667,6.425E-1,22.1442,0.5245,0.3836,0.0968,0.3333,3.286E-1,22.1603,0.5246,0.3834,0.1290,0.3333,3.283E-1,3.2023,0.1961,0.5903,0.0000,0.0000,2.057E-1,3.4584,0.2123,0.5836,0.0000,0.3333,6.242E-1,2.9717,0.1819,0.5968,0.0000,0.0000,2.126E-1
species_8,31,0.5243,0.7712,380,0.8174,3,0.0548,0.6245,0.0257,10031,77.3317,22.0778,0.5905,55.6905,40.5695,3.7399,0.3598,0.4340,0.5180,0.3824,0.1719,0.0695,-0.2010,0.2611,0.0790,0.5530,-0.4420,0.0950,0.5900,0.6144,0.6417,0.8162,0.2884,0.4444,8.6891,0.3576,1.0000,0.0504,0.7757,0.0000,0.0000,4.667E-1,5.0000,0.2355,0.5889,0.0000,0.0000,2.042E-1,10.0000,0.3627,0.5091,0.0645,0.0000,1.32E-1,9.6722,0.3580,0.5134,0.0000,0.0000,1.353E-1,11.8048,0.3932,0.4866,0.0968,0.0000,1.152E-1,32.0939,0.5112,0.2903,0.2903,1.0000,1E0,9.6722,0.3580,0.5134,0.0000,0.0000,1.353E-1,20.6108,0.4549,0.3938,0.2258,0.3333,3.431E-1,18.1751,0.4440,0.4180,0.1613,0.0000,7.304E-2,4.5255,0.2102,0.6000,0.0000,0.0000,2.16E-1,4.8670,0.2280,0.5919,0.0000,0.0000,2.073E-1
species_9,31,0.4698,0.6976,380,0.8078,3,0.5664,0.7803,0.1252,10031,87.0242,12.2220,0.7538,56.3987,33.7001,9.9012,0.3023,0.4018,0.4595,0.3880,0.0833,0.0894,0.4278,0.5887,0.6569,0.4749,0.4997,-0.0483,0.7875,0.7927,0.7972,0.6130,0.7774,0.4589,8.7435,0.3806,1.0000,0.0539,0.7807,0.0000,0.0000,4.758E-1,5.0000,0.2369,0.5918,0.0000,0.0000,2.072E-1,10.0000,0.3937,0.5131,0.0323,0.3333,5.197E-1,7.4111,0.3395,0.5485,0.0000,0.0000,1.65E-1,17.6292,0.5077,0.4351,0.0968,0.3333,4.031E-1,36.1163,0.5908,0.2927,0.2903,0.3333,2.069E-1,12.8941,0.4489,0.4800,0.0323,0.3333,4.7E-1,30.4139,0.5752,0.3334,0.2258,0.3333,2.593E-1,70.1903,0.7671,0.0976,0.6129,0.3333,2.672E-2,4.6189,0.2211,0.6009,0.0000,0.0000,2.17E-1,3.7687,0.1802,0.6250,0.0000,0.0000,2.441E-1
