x,y,species avg
1.0,1.0,0.25163925
2.0,2.0,0.51245546
3.0,3.0,0.8002659
4.0,4.0,0.08495327
5.0,5.0,0.55577487
6.0,6.0,0.035790175
7.0,7.0,0.10619475
8.0,8.0,0.062039353
9.0,9.0,0.4221832
10.0,10.0,0.57870376
11.0,11.0,0.7426601
12.0,12.0,0.09845373
13.0,13.0,0.07163644
14.0,14.0,0.67129815
15.0,15.0,0.088444956
16.0,16.0,0.08266602
17.0,17.0,0.6134414
18.0,18.0,0.5193814
19.0,19.0,0.8298537
20.0,20.0,0.91050595
21.0,21.0,0.020279465
22.0,22.0,0.19854096
23.0,23.0,0.42993712
24.0,24.0,0.0449323
25.0,25.0,0.2779601
26.0,26.0,0.45046303
27.0,27.0,0.06676227
28.0,28.0,0.018092897
29.0,29.0,0.7907702
30.0,30.0,0.58912677
31.0,31.0,0.07717068
32.0,32.0,0.6835024
33.0,33.0,0.072562985
34.0,34.0,0.031148067
35.0,35.0,0.500026
36.0,36.0,0.06367552
37.0,37.0,0.011375671
38.0,38.0,0.5582152
39.0,39.0,0.76106817
40.0,40.0,0.493911
41.0,41.0,0.4440735
42.0,42.0,0.3979798
43.0,43.0,0.56216
44.0,44.0,0.42938283
45.0,45.0,0.08368133
46.0,46.0,0.054331414
47.0,47.0,0.6207856
48.0,48.0,0.5344744
49.0,49.0,0.6078105
50.0,50.0,0.32907477
51.0,51.0,0.80226314
52.0,52.0,0.34393033
53.0,53.0,0.6393189
54.0,54.0,0.59791976
55.0,55.0,0.08616485
56.0,56.0,0.06944227
57.0,57.0,0.8267889
58.0,58.0,0.10070404
59.0,59.0,0.07185786
60.0,60.0,0.704483
61.0,61.0,0.81352645
62.0,62.0,0.24901435
63.0,63.0,0.5924469
64.0,64.0,0.5583143
65.0,65.0,0.5801312
66.0,66.0,0.2915923
67.0,67.0,0.6054691
68.0,68.0,0.561984
69.0,69.0,0.10496631
70.0,70.0,0.5527563
71.0,71.0,0.57687455
72.0,72.0,0.022254778
73.0,73.0,0.8175235
74.0,74.0,0.116910756
75.0,75.0,0.026217295
76.0,76.0,0.61849827
77.0,77.0,0.06843881
78.0,78.0,0.56226873
79.0,79.0,0.8606129
80.0,80.0,0.006702558
81.0,81.0,0.02741728
82.0,82.0,0.2684214
83.0,83.0,0.0373357
84.0,84.0,0.5656107
85.0,85.0,0.03690759
86.0,86.0,0.62318087
87.0,87.0,0.049777925
88.0,88.0,0.70843256
89.0,89.0,0.63052475
90.0,90.0,0.1603486
91.0,91.0,0.014170395
92.0,92.0,0.5052291
93.0,93.0,0.5006781
94.0,94.0,0.7003055
95.0,95.0,0.7602287
96.0,96.0,0.44214243
97.0,97.0,0.43261233
98.0,98.0,0.025193783
99.0,99.0,0.19621685
100.0,100.0,0.6130616
101.0,101.0,0.029196812
102.0,102.0,0.036223013
103.0,103.0,0.12047926
104.0,104.0,0.5615445
105.0,105.0,0.55192924
106.0,106.0,0.33094823
107.0,107.0,0.56313753
108.0,108.0,0.5543027
109.0,109.0,0.51640904
110.0,110.0,0.72708446
111.0,111.0,0.036500555
112.0,112.0,0.19342743
113.0,113.0,0.05277383
114.0,114.0,0.38027373
115.0,115.0,0.8337899
116.0,116.0,0.59571856
117.0,117.0,0.1367658
118.0,118.0,0.47395268
119.0,119.0,0.5014114
120.0,120.0,0.040303446
121.0,121.0,0.4116032
122.0,122.0,0.13154715
123.0,123.0,0.5167496
124.0,124.0,0.8319318
125.0,125.0,0.036372196
126.0,126.0,0.03646393
127.0,127.0,0.19651166
128.0,128.0,0.80950505
129.0,129.0,0.027520537
130.0,130.0,0.05394805
131.0,131.0,0.5876771
132.0,132.0,0.047991037
133.0,133.0,0.6111251
134.0,134.0,0.5946651
135.0,135.0,0.60142076
136.0,136.0,0.039935995
137.0,137.0,0.87710285
138.0,138.0,0.25856566
139.0,139.0,0.12696308
140.0,140.0,0.5622553
141.0,141.0,0.4174292
142.0,142.0,0.050764613
143.0,143.0,0.8696632
144.0,144.0,0.88481194
145.0,145.0,0.017235804
146.0,146.0,0.2197169
147.0,147.0,0.382199
148.0,148.0,0.016611705
149.0,149.0,0.5104947
150.0,150.0,0.18072766
151.0,151.0,0.06662965
152.0,152.0,0.5538334
153.0,153.0,0.021625414
154.0,154.0,0.589989
155.0,155.0,0.010964232
156.0,156.0,0.6576074
157.0,157.0,0.8442005
158.0,158.0,0.030937592
159.0,159.0,0.5733441
160.0,160.0,0.69872206
161.0,161.0,0.018335296
162.0,162.0,0.2601388
163.0,163.0,0.020868566
164.0,164.0,0.041576393
165.0,165.0,0.8191889
166.0,166.0,0.88064986
167.0,167.0,0.7223439
168.0,168.0,0.016222352
169.0,169.0,0.670952
170.0,170.0,0.6317245
171.0,171.0,0.5112884
172.0,172.0,0.5778129
