x,y,species max
1.0,1.0,0.2953174
2.0,2.0,0.5816964
3.0,3.0,0.8606167
4.0,4.0,0.100880004
5.0,5.0,0.64385986
6.0,6.0,0.04504465
7.0,7.0,0.12593909
8.0,8.0,0.06953187
9.0,9.0,0.5297748
10.0,10.0,0.66091204
11.0,11.0,0.82845604
12.0,12.0,0.11781981
13.0,13.0,0.08580718
14.0,14.0,0.7343486
15.0,15.0,0.107406884
16.0,16.0,0.09972218
17.0,17.0,0.6622287
18.0,18.0,0.61465734
19.0,19.0,0.8732768
20.0,20.0,0.94880414
21.0,21.0,0.026177997
22.0,22.0,0.22986516
23.0,23.0,0.4885821
24.0,24.0,0.06137783
25.0,25.0,0.32194865
26.0,26.0,0.5926184
27.0,27.0,0.08717388
28.0,28.0,0.024060586
29.0,29.0,0.83215624
30.0,30.0,0.66059315
31.0,31.0,0.10002378
32.0,32.0,0.80527604
33.0,33.0,0.08756895
34.0,34.0,0.038007766
35.0,35.0,0.56509644
36.0,36.0,0.07433634
37.0,37.0,0.019913964
38.0,38.0,0.625395
39.0,39.0,0.8368597
40.0,40.0,0.5542309
41.0,41.0,0.50553167
42.0,42.0,0.5072787
43.0,43.0,0.64336604
44.0,44.0,0.515892
45.0,45.0,0.0987739
46.0,46.0,0.08261936
47.0,47.0,0.68913126
48.0,48.0,0.60867774
49.0,49.0,0.6712598
50.0,50.0,0.3646948
51.0,51.0,0.86952513
52.0,52.0,0.38274053
53.0,53.0,0.71266997
54.0,54.0,0.6577985
55.0,55.0,0.105548464
56.0,56.0,0.081702195
57.0,57.0,0.9534894
58.0,58.0,0.119379185
59.0,59.0,0.080851726
60.0,60.0,0.75183403
61.0,61.0,0.86825716
62.0,62.0,0.29320702
63.0,63.0,0.68843395
64.0,64.0,0.6420465
65.0,65.0,0.63859576
66.0,66.0,0.34476703
67.0,67.0,0.69646305
68.0,68.0,0.6272118
69.0,69.0,0.12480787
70.0,70.0,0.6275385
71.0,71.0,0.6458175
72.0,72.0,0.033340853
73.0,73.0,0.8834661
74.0,74.0,0.15082313
75.0,75.0,0.03732262
76.0,76.0,0.6856272
77.0,77.0,0.08710434
78.0,78.0,0.6307891
79.0,79.0,0.9614312
80.0,80.0,0.011051854
81.0,81.0,0.039327763
82.0,82.0,0.31319535
