x,y,species median
1.0,1.0,0.24377802
2.0,2.0,0.5187908
3.0,3.0,0.8222944
4.0,4.0,0.09083415
5.0,5.0,0.56457764
6.0,6.0,0.035848852
7.0,7.0,0.112767145
8.0,8.0,0.06374763
9.0,9.0,0.437603
10.0,10.0,0.58613515
11.0,11.0,0.7466895
12.0,12.0,0.10565717
13.0,13.0,0.07791882
14.0,14.0,0.7104029
15.0,15.0,0.096081175
16.0,16.0,0.089397416
17.0,17.0,0.61236537
18.0,18.0,0.5454695
19.0,19.0,0.8369657
20.0,20.0,0.93183935
21.0,21.0,0.022632992
22.0,22.0,0.19832295
23.0,23.0,0.4321546
24.0,24.0,0.04882961
25.0,25.0,0.2891931
26.0,26.0,0.469588
27.0,27.0,0.071844
28.0,28.0,0.018679582
29.0,29.0,0.80112046
30.0,30.0,0.5915363
31.0,31.0,0.07882703
32.0,32.0,0.7012934
33.0,33.0,0.07848581
34.0,34.0,0.032567274
35.0,35.0,0.50598365
36.0,36.0,0.070017755
37.0,37.0,0.01065633
38.0,38.0,0.5726191
39.0,39.0,0.7625064
40.0,40.0,0.5098228
41.0,41.0,0.4677696
42.0,42.0,0.4053124
43.0,43.0,0.5728979
44.0,44.0,0.42847154
45.0,45.0,0.08676277
46.0,46.0,0.047586635
47.0,47.0,0.64492637
48.0,48.0,0.5410197
49.0,49.0,0.60488373
50.0,50.0,0.34859952
51.0,51.0,0.80221456
52.0,52.0,0.35552505
53.0,53.0,0.6577415
54.0,54.0,0.5945678
55.0,55.0,0.09223493
56.0,56.0,0.07064352
57.0,57.0,0.8718727
58.0,58.0,0.111613266
59.0,59.0,0.075906
60.0,60.0,0.7291812
61.0,61.0,0.8127968
62.0,62.0,0.25659356
63.0,63.0,0.60447717
64.0,64.0,0.5647592
65.0,65.0,0.57516074
66.0,66.0,0.30372563
67.0,67.0,0.62033033
68.0,68.0,0.55689335
69.0,69.0,0.11199639
70.0,70.0,0.56589746
71.0,71.0,0.58846104
72.0,72.0,0.024510883
73.0,73.0,0.84058046
74.0,74.0,0.11952628
75.0,75.0,0.02822739
76.0,76.0,0.63983655
77.0,77.0,0.07654176
78.0,78.0,0.56983566
79.0,79.0,0.90356475
80.0,80.0,0.0064151213
81.0,81.0,0.029610971
82.0,82.0,0.29134464
83.0,83.0,0.039344575
84.0,84.0,0.5703334
85.0,85.0,0.04080962
86.0,86.0,0.6259432
87.0,87.0,0.05162334
88.0,88.0,0.73910904
