Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.74926E-7,0.000047493,0.003049143,1,0,0
6.00327E-7,0.000107525,0.003852696,0.999900279,0,0
6.70687E-7,0.000307337,0.004303266,0.999601117,0,0
8.38604E-7,0.00053123,0.005377758,0.999301955,0,0
9.65829E-7,0.001002819,0.006191089,0.998803351,0,0
1.25663E-6,0.002612233,0.008047613,0.99740726,0,0
1.36478E-6,0.005122514,0.008737204,0.995512565,0,0
1.53758E-6,0.010068836,0.009838032,0.992122058,0,0
1.92932E-6,0.025062036,0.012328988,0.983645792,0,0
2.36978E-6,0.05000704,0.015122332,0.972078181,0,0
3.0595E-6,0.100202687,0.01948051,0.953829278,0,0
4.29898E-6,0.200214583,0.027264102,0.926804946,0,0
5.0628E-6,0.300066909,0.032029886,0.90556442,0,0
5.54786E-6,0.400050937,0.035044257,0.886816913,0,0
6.18695E-6,0.500429053,0.039001485,0.869664938,0,0
6.79393E-6,0.600241899,0.042744884,0.854307938,0,0
7.4628E-6,0.700073139,0.046853071,0.840347028,0,0
7.70911E-6,0.750134219,0.048361477,0.833765457,0,0
7.97718E-6,0.800431895,0.050000393,0.827383327,0,0
8.59812E-6,0.900681217,0.053785872,0.815317112,0,0
9.21213E-6,1.000311374,0.05751427,0.804148385,0,0
9.85843E-6,1.100960002,0.061422891,0.793577982,0,0
1.0445E-5,1.200644378,0.064955907,0.783805345,0,0
1.11421E-5,1.300110937,0.069138218,0.774631033,0,0
1.17132E-5,1.400962918,0.072550351,0.765855604,0,0
1.23508E-5,1.500776083,0.076344674,0.757578779,0,0
1.42473E-5,1.751403083,0.087539632,0.738731552,0,0
1.61071E-5,2.000884018,0.098386654,0.722277623,0,0
1.78175E-5,2.25062574,0.108248071,0.707618668,0,0
1.97653E-5,2.50066146,0.119347544,0.694355804,0,0
2.12826E-5,2.750849001,0.127897173,0.682189868,0,0
2.31844E-5,3.000112348,0.13849705,0.671021141,0,0
2.48644E-5,3.250436756,0.147753657,0.660650179,0,0
2.64795E-5,3.500121267,0.156558199,0.650977264,0,0
2.86729E-5,3.751403801,0.168370588,0.641902673,0,0
