X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,1.5314794157401452E-4,43.695148368705546,0.6264672159745692
3.0,3.0,train,1.3615160906339915E-4,34.568060179732,0.5833305972235714
4.0,4.0,train,1.3279801601053795E-4,31.910904619585086,0.5742480532674477
5.0,5.0,train,1.44206074509261E-4,39.223467937238695,0.604360888099144
6.0,6.0,train,1.9259000420738945E-4,57.00911283984199,0.7101419874093835
7.0,7.0,train,1.7959334137940158E-4,53.53306702485756,0.6848778213104629
8.0,8.0,train,3.133417700620433E-4,91.59398330689342,0.8666535216910279
11.0,11.0,train,1.9888229002805344E-4,58.47178242410291,0.7216354863502468
12.0,12.0,train,8.896303888751531E-5,11.397491086112447,0.4356254351928498
13.0,13.0,train,1.2032163464595634E-4,23.907778145159917,0.5386851898169163
14.0,14.0,train,2.1379447696997768E-4,63.46404180115283,0.7470870671052396
15.0,15.0,train,2.64430473724402E-4,80.81351836346873,0.8173716693428907
16.0,16.0,train,1.975474263092663E-4,58.148538235666685,0.7192359321350608
17.0,17.0,train,7.098388787778028E-5,8.197814623367549,0.3664587821951819
18.0,18.0,train,2.1563708261850042E-4,64.08642837179181,0.7500659114510996
20.0,20.0,train,2.2776959735188351E-4,68.88275478157699,0.7688228002634561
21.0,21.0,train,2.5268700114095455E-4,77.41016272312767,0.8030471681070103
22.0,22.0,train,8.425181569701871E-5,10.42648325823315,0.41826700462779764
23.0,23.0,train,1.4460936624670085E-4,39.43579959916314,0.605385525412695
25.0,25.0,train,9.690225353547304E-5,13.121030090559973,0.4637134771619682
26.0,26.0,train,2.239555713099527E-4,67.25185132581981,0.7630832277524969
28.0,28.0,train,4.6593468928262196E-4,99.40938619805594,0.950012640603508
29.0,29.0,train,4.2585603449922803E-4,98.75827959754122,0.9353183161622287
30.0,30.0,train,3.7157951685915067E-4,97.29245194059418,0.9083039781565838
31.0,31.0,train,3.3245201202682957E-4,94.5549594648114,0.8820723905460539
32.0,32.0,train,3.8238130050155755E-4,97.71204458083285,0.9144566772786475
33.0,33.0,train,3.8437857516775825E-4,97.77816186645875,0.9155482502364363
34.0,34.0,train,1.7846006394187447E-4,53.25375403480156,0.6825731280081426
10.0,10.0,test,2.628346249382723E-4,80.40387605572595,0.8154880001626738
9.0,9.0,test,2.1503120164436526E-4,63.86611448055876,0.7490903072490736
1.0,1.0,test,1.121452453412589E-4,19.591382582698802,0.5137828579526373
27.0,27.0,test,1.425778704644856E-4,38.38265332232908,0.6001970096101124
19.0,19.0,test,2.8952760657131876E-4,86.8773091915176,0.844588382589011
24.0,24.0,test,1.1921163795770972E-4,23.361875988795564,0.5353808518370843
