x,y,species stddev
1.0,1.0,0.023199417
2.0,2.0,0.042493038
3.0,3.0,0.069596745
4.0,4.0,0.014538853
5.0,5.0,0.052726693
6.0,6.0,0.007422424
7.0,7.0,0.015877413
8.0,8.0,0.009204225
9.0,9.0,0.088536985
10.0,10.0,0.04968975
11.0,11.0,0.04387117
12.0,12.0,0.015524591
13.0,13.0,0.013233
14.0,14.0,0.052202422
15.0,15.0,0.015029974
16.0,16.0,0.015987322
17.0,17.0,0.027377445
18.0,18.0,0.06501916
19.0,19.0,0.034741223
20.0,20.0,0.039278973
21.0,21.0,0.005881127
22.0,22.0,0.01953555
23.0,23.0,0.034384493
24.0,24.0,0.01204328
25.0,25.0,0.030777555
26.0,26.0,0.093283765
27.0,27.0,0.016250502
28.0,28.0,0.0041626045
29.0,29.0,0.027281892
30.0,30.0,0.032467175
31.0,31.0,0.013978632
32.0,32.0,0.06303699
33.0,33.0,0.013600049
34.0,34.0,0.005911895
35.0,35.0,0.040423375
36.0,36.0,0.011613347
37.0,37.0,0.004086565
38.0,38.0,0.032501705
39.0,39.0,0.037715547
40.0,40.0,0.041163303
41.0,41.0,0.057928614
42.0,42.0,0.05418354
43.0,43.0,0.05291359
44.0,44.0,0.04980925
45.0,45.0,0.012174588
46.0,46.0,0.019375887
47.0,47.0,0.05232881
48.0,48.0,0.05117634
49.0,49.0,0.03083567
50.0,50.0,0.044093166
51.0,51.0,0.029958962
52.0,52.0,0.02654969
53.0,53.0,0.050515223
54.0,54.0,0.027714394
55.0,55.0,0.0174592
56.0,56.0,0.0109231975
57.0,57.0,0.14841436
58.0,58.0,0.022747837
59.0,59.0,0.010114363
60.0,60.0,0.037304323
61.0,61.0,0.0347062
62.0,62.0,0.031441573
63.0,63.0,0.05219831
64.0,64.0,0.051553614
65.0,65.0,0.04015296
66.0,66.0,0.046362817
67.0,67.0,0.051014077
68.0,68.0,0.029791754
69.0,69.0,0.016152186
70.0,70.0,0.049804956
71.0,71.0,0.049298372
72.0,72.0,0.006292981
73.0,73.0,0.049633246
74.0,74.0,0.020011518
75.0,75.0,0.0068787094
76.0,76.0,0.046994418
77.0,77.0,0.01671651
78.0,78.0,0.046304196
79.0,79.0,0.14516366
80.0,80.0,0.0022443407
81.0,81.0,0.0068946066
82.0,82.0,0.04276773
83.0,83.0,0.007362465
84.0,84.0,0.03468435
85.0,85.0,0.0096676005
86.0,86.0,0.03373266
87.0,87.0,0.008650728
88.0,88.0,0.045720093
89.0,89.0,0.041335505
90.0,90.0,0.024302257
91.0,91.0,0.0068269996
92.0,92.0,0.043303344
93.0,93.0,0.03905404
94.0,94.0,0.051231872
95.0,95.0,0.023877474
96.0,96.0,0.04816853
97.0,97.0,0.051349472
98.0,98.0,0.0070791217
99.0,99.0,0.030865427
100.0,100.0,0.03223047
101.0,101.0,0.0077636647
102.0,102.0,0.009204196
103.0,103.0,0.013905108
104.0,104.0,0.04627054
105.0,105.0,0.042260855
106.0,106.0,0.03728483
107.0,107.0,0.06017177
108.0,108.0,0.03435419
109.0,109.0,0.03703772
110.0,110.0,0.027388707
111.0,111.0,0.01495199
112.0,112.0,0.021970155
113.0,113.0,0.009991384
114.0,114.0,0.042118847
115.0,115.0,0.036546726
116.0,116.0,0.03546303
117.0,117.0,0.021600172
118.0,118.0,0.058977097
119.0,119.0,0.058614552
120.0,120.0,0.0112504
121.0,121.0,0.05308384
122.0,122.0,0.033374246
123.0,123.0,0.0532104
124.0,124.0,0.14888763
125.0,125.0,0.009010578
126.0,126.0,0.009189888
127.0,127.0,0.02275116
128.0,128.0,0.05093095
129.0,129.0,0.0071323314
130.0,130.0,0.01404189
131.0,131.0,0.027164336
132.0,132.0,0.008353748
133.0,133.0,0.036213826
134.0,134.0,0.032601006
135.0,135.0,0.027724545
136.0,136.0,0.013351523
137.0,137.0,0.03638111
138.0,138.0,0.034292024
139.0,139.0,0.014052509
140.0,140.0,0.055557456
141.0,141.0,0.03349854
142.0,142.0,0.014189148
143.0,143.0,0.036858886
144.0,144.0,0.0394887
145.0,145.0,0.0040414003
146.0,146.0,0.043585926
147.0,147.0,0.04694114
148.0,148.0,0.0052891783
149.0,149.0,0.062882766
150.0,150.0,0.02658722
151.0,151.0,0.011922583
152.0,152.0,0.0444084
153.0,153.0,0.006414488
154.0,154.0,0.03309586
155.0,155.0,0.0032119243
156.0,156.0,0.045434494
157.0,157.0,0.04262858
158.0,158.0,0.007847546
159.0,159.0,0.04789553
160.0,160.0,0.046109937
161.0,161.0,0.0045274016
162.0,162.0,0.023829611
163.0,163.0,0.005924275
164.0,164.0,0.01096191
165.0,165.0,0.02852895
166.0,166.0,0.030570013
167.0,167.0,0.029831048
168.0,168.0,0.0039666877
169.0,169.0,0.03660051
170.0,170.0,0.04323499
171.0,171.0,0.05319761
172.0,172.0,0.058724914
173.0,173.0,0.059517626
174.0,174.0,0.05160105
175.0,175.0,0.052645545
176.0,176.0,0.036750894
177.0,177.0,0.012486149
178.0,178.0,0.043488637
179.0,179.0,0.016154109
180.0,180.0,0.06648464
181.0,181.0,0.021004291
182.0,182.0,0.03194404
183.0,183.0,0.036470886
184.0,184.0,0.016633125
185.0,185.0,0.041256547
186.0,186.0,0.07288362
187.0,187.0,0.012026846
188.0,188.0,0.044588868
189.0,189.0,0.0033439267
190.0,190.0,0.050828572
191.0,191.0,0.051926855
192.0,192.0,0.012183759
193.0,193.0,0.099197246
194.0,194.0,0.0025913487
195.0,195.0,0.023803301
196.0,196.0,0.120981306
197.0,197.0,0.04503793
198.0,198.0,0.0122357905
199.0,199.0,0.027644726
200.0,200.0,0.04412676
201.0,201.0,0.053688955
202.0,202.0,0.05214184
203.0,203.0,0.0654054
204.0,204.0,0.005248932
205.0,205.0,0.046137407
206.0,206.0,0.01657513
207.0,207.0,0.011870874
208.0,208.0,0.0066505014
209.0,209.0,0.030766586
210.0,210.0,0.02732114
211.0,211.0,0.0035545616
212.0,212.0,0.016433962
213.0,213.0,0.039858453
214.0,214.0,0.023009736
