Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt11 contribution,tdmean11 contribution,tmean11 contribution,vpdmin11 contribution,ppt11 permutation importance,tdmean11 permutation importance,tmean11 permutation importance,vpdmin11 permutation importance,Training gain without ppt11,Training gain without tdmean11,Training gain without tmean11,Training gain without vpdmin11,Training gain with only ppt11,Training gain with only tdmean11,Training gain with only tmean11,Training gain with only vpdmin11,Test gain without ppt11,Test gain without tdmean11,Test gain without tmean11,Test gain without vpdmin11,Test gain with only ppt11,Test gain with only tdmean11,Test gain with only tmean11,Test gain with only vpdmin11,AUC without ppt11,AUC without tdmean11,AUC without tmean11,AUC without vpdmin11,AUC with only ppt11,AUC with only tdmean11,AUC with only tmean11,AUC with only vpdmin11,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,30,0.4772,0.7896,340,0.8318,4,-0.5664,0.5419,0.1610,10030,33.7404,61.7172,3.7772,0.7651,29.4014,67.9657,2.6330,0.0000,0.4430,0.3541,0.4674,0.4773,0.2158,0.4175,0.1310,0.0689,-0.6540,0.7306,-0.6161,-0.5646,0.2794,-0.9126,0.3618,0.0080,0.4987,0.8731,0.5294,0.5423,0.6478,0.4244,0.7687,0.6980,8.7354,0.3740,1.0000,0.0697,0.8158,0.0000,0.0000,4.428E-1,5.0000,0.2115,0.6407,0.0000,0.5000,8.644E-1,10.0000,0.3219,0.5435,0.0000,0.5000,7.497E-1,10.1980,0.3239,0.5404,0.0000,0.5000,7.455E-1,17.4868,0.4082,0.4420,0.1000,0.5000,5.958E-1,38.2383,0.5812,0.2503,0.2667,0.5000,2.623E-1,32.2911,0.5326,0.2957,0.1667,0.5000,3.407E-1,12.9212,0.3595,0.5000,0.1000,0.5000,6.875E-1,51.1268,0.6783,0.1695,0.3667,0.5000,1.359E-1,5.2054,0.2196,0.6355,0.0000,0.5000,8.592E-1,5.8635,0.2407,0.6199,0.0000,0.5000,8.43E-1
species_1,30,0.4634,0.7231,360,0.8217,4,0.1947,0.6908,0.0408,10030,38.8483,53.8568,5.7211,1.5738,42.9385,40.6079,6.5461,9.9075,0.4007,0.4331,0.4517,0.4450,0.2375,0.3521,0.1793,0.0451,0.3596,0.1307,0.1560,0.2997,0.0789,0.2753,0.0092,0.1648,0.7346,0.6825,0.6556,0.7263,0.5265,0.6910,0.5309,0.7605,8.7491,0.3798,1.0000,0.0736,0.8050,0.0000,0.0000,4.199E-1,5.0000,0.2284,0.6460,0.0000,0.0000,1.741E-1,10.0000,0.3166,0.5482,0.1000,0.0000,9.028E-2,5.1274,0.2317,0.6430,0.0000,0.0000,1.709E-1,12.3693,0.3487,0.5114,0.1000,0.0000,6.838E-2,36.3704,0.5642,0.2667,0.2667,0.7500,7.108E-1,31.9592,0.5353,0.3014,0.1667,0.5000,3.508E-1,25.1469,0.4818,0.3617,0.1333,0.2500,1.379E-1,21.5178,0.4511,0.3980,0.1333,0.0000,2.509E-2,4.8005,0.2221,0.6509,0.0000,0.0000,1.795E-1,5.7532,0.2451,0.6285,0.0333,0.0000,1.56E-1
species_2,30,0.4907,0.8130,220,0.8480,4,-0.0627,0.6366,0.1378,10030,20.4787,74.1484,2.8383,2.5345,25.2607,60.4084,5.8967,8.4343,0.4419,0.4189,0.4830,0.4706,0.2102,0.3981,0.1391,0.0431,-0.0534,0.2042,-0.1251,0.0982,0.3252,-0.1127,0.2481,0.1518,0.6324,0.6898,0.6191,0.6712,0.7331,0.5904,0.5418,0.7112,8.7226,0.3704,1.0000,0.0707,0.7853,0.0000,0.0000,3.804E-1,5.0000,0.2133,0.6145,0.0000,0.5000,8.371E-1,10.0000,0.3105,0.5150,0.0333,0.5000,7.096E-1,7.6440,0.2756,0.5562,0.0000,0.5000,7.668E-1,23.5914,0.5018,0.3530,0.1000,0.5000,4.424E-1,37.6685,0.6390,0.2515,0.2667,0.5000,2.643E-1,23.5914,0.5018,0.3530,0.1000,0.5000,4.424E-1,10.9315,0.3228,0.5000,0.0333,0.5000,6.875E-1,69.3156,0.7857,0.1013,0.5000,0.5000,5.357E-2,5.2371,0.2170,0.6085,0.0000,0.5000,8.304E-1,5.0907,0.2142,0.6122,0.0000,0.5000,8.345E-1
species_3,30,0.3808,0.6655,240,0.8247,4,0.8379,0.9044,0.0128,10030,40.8820,53.9878,2.7325,2.3978,34.6464,49.5151,7.2018,8.6367,0.3380,0.3469,0.3704,0.3723,0.2086,0.2872,0.1051,0.0664,0.7727,0.7697,0.7271,0.8942,0.3175,0.7066,0.5012,0.0083,0.8953,0.8928,0.8649,0.9168,0.6568,0.9331,0.8861,0.4940,8.8326,0.4162,1.0000,0.0848,0.8317,0.0000,0.0000,4.785E-1,5.0000,0.2413,0.6684,0.0000,0.0000,1.996E-1,10.0000,0.3476,0.5728,0.0000,0.0000,1.076E-1,11.1366,0.3648,0.5551,0.0000,0.0000,9.497E-2,19.1823,0.4638,0.4534,0.1000,0.0000,4.227E-2,41.4045,0.6456,0.2667,0.2667,0.0000,5.059E-3,36.7844,0.6137,0.2983,0.2000,0.0000,7.918E-3,64.6711,0.7548,0.1368,0.4000,0.2500,9.188E-3,64.6579,0.7547,0.1368,0.4000,0.0000,3.501E-4,4.9323,0.2391,0.6701,0.0000,0.0000,2.016E-1,4.4267,0.2178,0.6833,0.0000,0.0000,2.181E-1
species_4,31,0.4171,0.7083,480,0.8272,3,0.6602,0.8275,0.0661,10031,36.4431,55.1779,6.7373,1.6418,27.9904,51.6031,12.4665,7.9401,0.3867,0.3860,0.4011,0.4057,0.2068,0.3197,0.1647,0.0582,0.4675,0.6208,0.6492,0.7389,0.3775,0.5724,0.0906,0.0791,0.7641,0.8284,0.8268,0.8508,0.7316,0.7965,0.4750,0.5710,8.7970,0.3998,1.0000,0.0813,0.8296,0.0000,0.0000,5.71E-1,5.0000,0.2355,0.6641,0.0000,0.0000,2.929E-1,10.0000,0.3300,0.5671,0.0000,0.0000,1.824E-1,10.1518,0.3320,0.5647,0.0000,0.0000,1.801E-1,21.5392,0.4665,0.4181,0.0968,0.0000,7.309E-2,43.5833,0.6261,0.2349,0.2258,0.3333,1.396E-1,43.5833,0.6261,0.2349,0.2258,0.3333,1.396E-1,31.8903,0.5478,0.3222,0.2258,0.3333,2.445E-1,31.8875,0.5478,0.3222,0.2258,0.0000,3.345E-2,4.8568,0.2317,0.6677,0.0000,0.0000,2.977E-1,5.1991,0.2403,0.6594,0.0000,0.0000,2.867E-1
species_5,31,0.4326,0.7077,320,0.8264,3,0.5668,0.7792,0.1229,10031,30.9517,62.5519,4.9528,1.5436,31.9745,47.8088,10.7643,9.4524,0.3934,0.3888,0.4224,0.4212,0.2072,0.3449,0.1588,0.0493,0.4474,0.6053,0.4876,0.6382,0.4028,0.3570,0.1673,0.1741,0.7433,0.7967,0.7603,0.8007,0.8380,0.7264,0.5906,0.6738,8.7809,0.3929,1.0000,0.0806,0.8235,0.0000,0.0000,5.586E-1,5.0000,0.2230,0.6557,0.0000,0.0000,2.819E-1,10.0000,0.3204,0.5551,0.0645,0.0000,1.71E-1,7.2511,0.2782,0.6050,0.0000,0.0000,2.215E-1,24.9137,0.4927,0.3704,0.0968,0.3333,3.099E-1,36.7978,0.5962,0.2731,0.2581,0.3333,1.83E-1,24.9137,0.4927,0.3704,0.0968,0.3333,3.099E-1,29.0346,0.5359,0.3334,0.1613,0.3333,2.593E-1,59.8375,0.7607,0.1410,0.5161,0.3333,5.401E-2,5.2352,0.2286,0.6498,0.0000,0.0000,2.744E-1,5.2752,0.2296,0.6488,0.0000,0.0000,2.731E-1
species_6,31,0.4398,0.7029,260,0.8289,3,0.3623,0.7277,0.1449,10031,33.5146,63.1826,2.8009,0.5019,19.6954,71.6979,8.6068,0.0000,0.4108,0.3875,0.4272,0.4398,0.2191,0.3454,0.1313,0.1194,0.1814,0.4314,0.3137,0.3594,0.2299,0.3464,0.4360,-0.6698,0.6817,0.7439,0.7082,0.7274,0.5690,0.7355,0.7049,0.2893,8.7739,0.3908,1.0000,0.0737,0.8087,0.0000,0.0000,5.289E-1,5.0000,0.2333,0.6404,0.0000,0.0000,2.627E-1,10.0000,0.3354,0.5456,0.0323,0.3333,5.682E-1,9.0177,0.3216,0.5616,0.0000,0.3333,5.919E-1,23.9891,0.4850,0.3756,0.0968,0.3333,3.173E-1,42.7362,0.6598,0.2350,0.2258,0.3333,1.397E-1,35.4646,0.6013,0.2817,0.1613,0.3333,1.934E-1,28.7164,0.5409,0.3334,0.1290,0.3333,2.593E-1,51.8169,0.7115,0.1846,0.3548,0.3333,8.968E-2,4.8429,0.2272,0.6443,0.0000,0.0000,2.675E-1,4.8429,0.2272,0.6443,0.0000,0.0000,2.675E-1
species_7,31,0.4572,0.7547,360,0.8304,3,0.2083,0.7011,0.1573,10031,47.8594,46.1130,4.3376,1.6901,49.9627,22.6280,20.5330,6.8762,0.3795,0.4372,0.4428,0.4362,0.2486,0.3263,0.1470,0.0517,0.5983,-0.0079,0.2130,0.4144,-0.0541,0.5306,0.2824,0.1537,0.8169,0.6736,0.6975,0.7341,0.6903,0.7891,0.7259,0.6616,8.7567,0.3839,1.0000,0.0740,0.7954,0.0000,0.0000,5.033E-1,5.0000,0.2314,0.6368,0.0000,0.3333,7.001E-1,10.0000,0.3322,0.5416,0.0323,0.3333,5.623E-1,9.7385,0.3267,0.5458,0.0000,0.3333,5.685E-1,26.3508,0.5102,0.3533,0.0968,0.3333,2.863E-1,37.8743,0.6016,0.2635,0.2581,0.3333,1.717E-1,34.4254,0.5747,0.2881,0.1613,0.3333,2.012E-1,28.6777,0.5293,0.3334,0.1290,0.3333,2.593E-1,51.1143,0.6849,0.1817,0.4194,0.3333,8.708E-2,4.7431,0.2236,0.6432,0.0000,0.3333,7.089E-1,5.1499,0.2352,0.6333,0.0000,0.3333,6.953E-1
species_8,31,0.4381,0.7203,260,0.8330,3,0.3170,0.7087,0.0863,10031,38.5636,57.2846,1.8691,2.2827,19.6130,66.2793,5.3780,8.7297,0.3996,0.3804,0.4285,0.4286,0.2297,0.3286,0.1353,0.0604,0.2847,0.6063,0.2599,0.4337,0.1503,0.4767,0.3733,0.0544,0.6923,0.8187,0.6743,0.7475,0.4800,0.7867,0.7627,0.5395,8.7747,0.3914,1.0000,0.0804,0.8035,0.0000,0.0000,5.188E-1,5.0000,0.2335,0.6412,0.0000,0.0000,2.636E-1,10.0000,0.3338,0.5460,0.0000,0.0000,1.628E-1,10.0831,0.3347,0.5447,0.0000,0.0000,1.616E-1,18.6389,0.4411,0.4323,0.0968,0.3333,3.99E-1,40.7611,0.6398,0.2475,0.2581,0.6667,5.739E-1,34.5600,0.5859,0.2897,0.1613,0.6667,6.416E-1,28.9602,0.5381,0.3334,0.1613,0.3333,2.593E-1,15.0097,0.4005,0.4750,0.0645,0.0000,1.072E-1,4.7976,0.2273,0.6462,0.0000,0.0000,2.698E-1,4.8537,0.2293,0.6448,0.0000,0.0000,2.681E-1
species_9,31,0.4400,0.7206,380,0.8252,3,0.4588,0.7874,0.0290,10031,32.6121,60.2769,6.9588,0.1522,32.6721,46.7057,16.2116,4.4106,0.4083,0.4063,0.4191,0.4370,0.2111,0.3477,0.1930,0.0696,0.2563,0.3922,0.4928,0.4295,0.3500,0.2547,-0.2027,-0.0230,0.7196,0.7857,0.7806,0.7806,0.7184,0.6951,0.5416,0.5626,8.7738,0.3891,1.0000,0.0769,0.8360,0.0000,0.0000,5.843E-1,5.0000,0.2191,0.6659,0.0000,0.0000,2.953E-1,10.0000,0.3149,0.5648,0.0000,0.0000,1.802E-1,10.9120,0.3277,0.5496,0.0000,0.0000,1.66E-1,16.4553,0.3981,0.4705,0.0968,0.0000,1.042E-1,36.9410,0.5712,0.2692,0.2581,0.0000,1.95E-2,32.6672,0.5344,0.3034,0.1613,0.0000,2.792E-2,37.4152,0.5751,0.2657,0.2903,0.3333,1.742E-1,37.4113,0.5749,0.2657,0.2903,0.0000,1.875E-2,5.2434,0.2272,0.6598,0.0000,0.0000,2.872E-1,5.8949,0.2451,0.6442,0.0000,0.0000,2.673E-1
