x,y,species cloglog values
1.0,1.0,0.3758323
2.0,2.0,0.6135839
3.0,3.0,0.72993445
4.0,4.0,0.8905725
5.0,5.0,0.05922941
6.0,6.0,0.08863785
7.0,7.0,0.6683662
8.0,8.0,0.8049855
9.0,9.0,0.028932732
10.0,10.0,0.6215658
11.0,11.0,0.028705707
12.0,12.0,0.7384678
13.0,13.0,0.49480948
14.0,14.0,0.20150217
15.0,15.0,0.6085142
16.0,16.0,0.80210567
17.0,17.0,0.13368385
18.0,18.0,0.36371896
19.0,19.0,0.6916916
20.0,20.0,0.72868913
21.0,21.0,0.49684522
22.0,22.0,0.38478732
23.0,23.0,0.4509887
24.0,24.0,0.6161464
25.0,25.0,0.022243312
26.0,26.0,0.070727825
27.0,27.0,0.7368185
28.0,28.0,0.28542072
29.0,29.0,0.27130944
30.0,30.0,0.41065866
31.0,31.0,0.79265535
32.0,32.0,0.6013482
33.0,33.0,0.7688595
34.0,34.0,0.6396792
35.0,35.0,0.17318337
36.0,36.0,0.7613299
37.0,37.0,0.54602414
38.0,38.0,0.69214195
39.0,39.0,0.06771157
40.0,40.0,0.7777072
41.0,41.0,0.59420156
42.0,42.0,0.44401342
43.0,43.0,0.6180023
44.0,44.0,0.48260626
45.0,45.0,0.8148551
46.0,46.0,0.4371212
47.0,47.0,0.8200218
48.0,48.0,0.062266752
49.0,49.0,0.5822838
50.0,50.0,0.31217015
51.0,51.0,0.09187252
52.0,52.0,0.43182734
53.0,53.0,0.70772445
54.0,54.0,0.4091676
55.0,55.0,0.37403768
56.0,56.0,0.079783425
57.0,57.0,0.663834
58.0,58.0,0.29253387
59.0,59.0,0.32651493
60.0,60.0,0.704533
61.0,61.0,0.49254298
62.0,62.0,0.6790174
63.0,63.0,0.47351715
64.0,64.0,0.37817696
65.0,65.0,0.8318037
66.0,66.0,0.6180358
67.0,67.0,0.11105323
68.0,68.0,0.32390398
69.0,69.0,0.66299075
70.0,70.0,0.02582148
71.0,71.0,0.41003433
72.0,72.0,0.38527912
73.0,73.0,0.020049518
74.0,74.0,0.08312858
75.0,75.0,0.51851827
76.0,76.0,0.18568923
77.0,77.0,0.17363298
78.0,78.0,0.8177364
79.0,79.0,0.018156879
80.0,80.0,0.049964096
81.0,81.0,0.6899127
82.0,82.0,0.8236034
83.0,83.0,0.009404246
84.0,84.0,0.5051374
85.0,85.0,0.06492809
86.0,86.0,0.082131684
87.0,87.0,0.830077
88.0,88.0,0.59389985
89.0,89.0,0.12874706
90.0,90.0,0.8321937
91.0,91.0,0.047828216
92.0,92.0,0.19778746
93.0,93.0,0.84422535
94.0,94.0,0.7848713
95.0,95.0,0.5633825
96.0,96.0,0.030794276
97.0,97.0,0.3714679
98.0,98.0,0.045183618
99.0,99.0,0.74593633
100.0,100.0,0.54943526
101.0,101.0,0.5163241
