x,y,species min
1.0,1.0,0.0061802804
2.0,2.0,0.481483
3.0,3.0,0.051387735
4.0,4.0,0.70874935
5.0,5.0,0.039446745
6.0,6.0,0.51205707
7.0,7.0,0.43198332
8.0,8.0,0.26129386
9.0,9.0,0.740841
10.0,10.0,0.21949969
11.0,11.0,0.31921503
12.0,12.0,0.006387038
13.0,13.0,0.75234026
14.0,14.0,0.5183213
15.0,15.0,0.12322079
16.0,16.0,0.50191915
17.0,17.0,0.08206345
18.0,18.0,0.059466988
19.0,19.0,0.35718718
20.0,20.0,0.35062748
21.0,21.0,0.040677465
22.0,22.0,0.6498068
23.0,23.0,0.8031839
24.0,24.0,0.35164708
25.0,25.0,0.12540616
26.0,26.0,0.6918167
27.0,27.0,0.30570695
28.0,28.0,0.49296984
29.0,29.0,0.022867704
30.0,30.0,0.7705864
31.0,31.0,0.59471625
32.0,32.0,0.27658352
33.0,33.0,0.3819391
34.0,34.0,0.34228882
35.0,35.0,0.018375024
36.0,36.0,0.05493873
37.0,37.0,0.048067495
38.0,38.0,0.77587867
39.0,39.0,0.06644478
40.0,40.0,0.294388
41.0,41.0,0.16449594
42.0,42.0,0.78286755
43.0,43.0,0.04602734
44.0,44.0,0.29969233
45.0,45.0,0.48836482
46.0,46.0,0.44364247
47.0,47.0,0.04859084
48.0,48.0,0.29698068
49.0,49.0,0.30348969
50.0,50.0,0.036382366
51.0,51.0,0.20900996
52.0,52.0,0.29270872
53.0,53.0,0.008004507
54.0,54.0,0.027459728
55.0,55.0,0.2847894
56.0,56.0,0.048900623
57.0,57.0,0.30521056
58.0,58.0,0.5477555
59.0,59.0,0.65352064
60.0,60.0,0.08231517
61.0,61.0,0.44245684
62.0,62.0,0.08589587
63.0,63.0,0.576228
64.0,64.0,0.53406835
65.0,65.0,0.21302564
66.0,66.0,0.13915968
67.0,67.0,0.46910897
68.0,68.0,0.100702174
69.0,69.0,0.2124054
70.0,70.0,0.012468248
71.0,71.0,0.14919135
72.0,72.0,0.046697445
73.0,73.0,0.32261503
74.0,74.0,0.25193366
75.0,75.0,0.41440636
76.0,76.0,0.70664376
77.0,77.0,0.046113335
78.0,78.0,0.4531443
79.0,79.0,0.04527969
80.0,80.0,0.2668255
81.0,81.0,0.5765234
82.0,82.0,0.22266085
83.0,83.0,0.061854232
84.0,84.0,0.48130015
85.0,85.0,0.21769626
86.0,86.0,0.014810331
87.0,87.0,0.6497245
88.0,88.0,0.66015935
89.0,89.0,0.109822206
90.0,90.0,0.19939972
91.0,91.0,0.052613266
92.0,92.0,0.5066581
93.0,93.0,0.51161313
94.0,94.0,0.38519305
95.0,95.0,0.11402382
96.0,96.0,0.43717882
97.0,97.0,0.11140363
98.0,98.0,0.044436213
99.0,99.0,0.36677915
100.0,100.0,0.029619668
101.0,101.0,0.21156767
102.0,102.0,0.5292436
103.0,103.0,0.52662444
104.0,104.0,0.63896143
105.0,105.0,0.27587986
106.0,106.0,0.21900985
107.0,107.0,0.4029145
108.0,108.0,0.16446702
109.0,109.0,0.01750231
110.0,110.0,0.5496074
111.0,111.0,0.1925621
112.0,112.0,0.08342138
113.0,113.0,0.25840357
114.0,114.0,0.0075303093
115.0,115.0,0.07537546
116.0,116.0,0.07839552
117.0,117.0,0.17398094
118.0,118.0,0.030808855
119.0,119.0,0.7858058
120.0,120.0,0.07365199
121.0,121.0,0.016175399
122.0,122.0,0.54469854
123.0,123.0,0.023561178
124.0,124.0,0.010004931
125.0,125.0,0.63800293
126.0,126.0,0.103266194
127.0,127.0,0.6500628
128.0,128.0,0.680309
129.0,129.0,0.145215
130.0,130.0,0.06592756
131.0,131.0,0.022949705
132.0,132.0,0.42247802
133.0,133.0,0.102129556
134.0,134.0,0.020361166
135.0,135.0,0.4381763
136.0,136.0,0.28539738
137.0,137.0,0.54416806
138.0,138.0,0.48283526
139.0,139.0,0.25321403
140.0,140.0,0.7458876
141.0,141.0,0.6981146
142.0,142.0,0.013698533
143.0,143.0,0.5219639
144.0,144.0,0.7421319
145.0,145.0,0.4848308
146.0,146.0,0.4561341
147.0,147.0,0.5752392
148.0,148.0,0.16621737
149.0,149.0,0.0871864
150.0,150.0,0.46132687
151.0,151.0,0.073309995
152.0,152.0,0.53193086
153.0,153.0,0.017424
154.0,154.0,0.56366926
155.0,155.0,0.065588556
156.0,156.0,0.53544205
157.0,157.0,0.014473886
158.0,158.0,0.31991658
159.0,159.0,0.105453454
160.0,160.0,0.121991955
161.0,161.0,0.28656095
162.0,162.0,0.12142754
163.0,163.0,0.024399156
164.0,164.0,0.20294099
165.0,165.0,0.7124674
166.0,166.0,0.06362545
167.0,167.0,0.5618192
168.0,168.0,0.018397415
169.0,169.0,0.18376097
170.0,170.0,0.010812271
171.0,171.0,0.022376854
172.0,172.0,0.21683297
173.0,173.0,0.6064508
174.0,174.0,0.32576808
175.0,175.0,0.65843654
176.0,176.0,0.59328973
177.0,177.0,0.03412056
178.0,178.0,0.14514865
179.0,179.0,0.22842276
180.0,180.0,0.725203
181.0,181.0,0.008076774
182.0,182.0,0.27280664
183.0,183.0,0.00845304
184.0,184.0,0.008597187
185.0,185.0,0.25051066
186.0,186.0,0.75676435
187.0,187.0,0.52019835
188.0,188.0,0.36547402
189.0,189.0,0.7676834
190.0,190.0,0.7455081
191.0,191.0,0.05007281
192.0,192.0,0.029880233
193.0,193.0,0.15632527
194.0,194.0,0.021509198
195.0,195.0,0.32799375
196.0,196.0,0.4750784
197.0,197.0,0.7586613
198.0,198.0,0.7719872
199.0,199.0,0.04660549
200.0,200.0,0.10301109
201.0,201.0,0.33761317
202.0,202.0,0.05606322
203.0,203.0,0.38645756
204.0,204.0,0.05573797
205.0,205.0,0.013366322
206.0,206.0,0.011712873
207.0,207.0,0.21383911
208.0,208.0,0.04691483
209.0,209.0,0.026929105
210.0,210.0,0.743448
211.0,211.0,0.025006358
212.0,212.0,0.665984
213.0,213.0,0.037339654
214.0,214.0,0.77512956
215.0,215.0,0.13877082
216.0,216.0,0.022239156
217.0,217.0,0.40778825
218.0,218.0,0.008840279
219.0,219.0,0.34599537
220.0,220.0,0.07719776
221.0,221.0,0.09829094
222.0,222.0,0.32505006
223.0,223.0,0.14241248
224.0,224.0,0.51618195
225.0,225.0,0.5884099
226.0,226.0,0.0051932926
227.0,227.0,0.11108125
228.0,228.0,0.43935642
229.0,229.0,0.24440628
230.0,230.0,0.52487713
231.0,231.0,0.55012375
232.0,232.0,0.39526665
233.0,233.0,0.67682046
234.0,234.0,0.032280814
235.0,235.0,0.13751145
236.0,236.0,0.014759008
237.0,237.0,0.087290525
238.0,238.0,0.31781003
239.0,239.0,0.69964105
240.0,240.0,0.018783713
241.0,241.0,0.788237
242.0,242.0,0.45037746
243.0,243.0,0.007554092
244.0,244.0,0.3648671
245.0,245.0,0.009248974
246.0,246.0,0.20742007
247.0,247.0,0.08080614
248.0,248.0,0.74854815
249.0,249.0,0.3812854
250.0,250.0,0.114398226
251.0,251.0,0.5379252
252.0,252.0,0.51596755
253.0,253.0,0.11163578
254.0,254.0,0.38218892
255.0,255.0,0.016596794
256.0,256.0,0.0033935364
257.0,257.0,0.03719891
258.0,258.0,0.0058190115
259.0,259.0,0.30125973
260.0,260.0,0.44523907
261.0,261.0,0.5993935
262.0,262.0,0.17530064
263.0,263.0,0.39062357
264.0,264.0,0.5181295
265.0,265.0,0.030816887
266.0,266.0,0.71138436
267.0,267.0,0.24025622
268.0,268.0,0.74497277
269.0,269.0,0.6429935
270.0,270.0,0.37963945
271.0,271.0,0.106465705
272.0,272.0,0.40128696
273.0,273.0,0.06944905
274.0,274.0,0.78781575
275.0,275.0,0.45703563
276.0,276.0,0.7756043
277.0,277.0,0.40207803
278.0,278.0,0.5854454
279.0,279.0,0.27984306
280.0,280.0,0.0036311094
281.0,281.0,0.3021812
282.0,282.0,0.012891804
283.0,283.0,0.7532923
284.0,284.0,0.17781925
285.0,285.0,0.07458457
286.0,286.0,0.08479018
287.0,287.0,0.14074415
288.0,288.0,0.34421906
289.0,289.0,0.3284441
290.0,290.0,0.11104408
291.0,291.0,0.62368596
292.0,292.0,0.060325947
293.0,293.0,0.3360055
294.0,294.0,0.5265653
295.0,295.0,0.014407591
296.0,296.0,0.38428015
297.0,297.0,0.058120795
298.0,298.0,0.21679454
299.0,299.0,0.013860133
300.0,300.0,0.792684
301.0,301.0,0.5706215
302.0,302.0,0.009180552
303.0,303.0,0.3134128
304.0,304.0,0.41106206
305.0,305.0,0.71587163
306.0,306.0,0.20115693
307.0,307.0,0.5361308
308.0,308.0,0.22442357
309.0,309.0,0.5339493
310.0,310.0,0.4162352
311.0,311.0,0.24544336
312.0,312.0,0.03916674
313.0,313.0,0.12051801
314.0,314.0,0.6499299
315.0,315.0,0.17530511
316.0,316.0,0.08486176
317.0,317.0,0.54909825
318.0,318.0,0.03253103
319.0,319.0,0.2520193
320.0,320.0,0.009968539
321.0,321.0,0.68903404
322.0,322.0,0.087263845
323.0,323.0,0.552278
324.0,324.0,0.067238785
325.0,325.0,0.5865989
326.0,326.0,0.04371656
327.0,327.0,0.010394996
328.0,328.0,0.57442224
329.0,329.0,0.7419235
330.0,330.0,0.13796543
331.0,331.0,0.1945145
332.0,332.0,0.23851012
333.0,333.0,0.07571054
334.0,334.0,0.34153104
335.0,335.0,0.059950486
336.0,336.0,0.5883075
337.0,337.0,0.085665815
338.0,338.0,0.6435001
339.0,339.0,0.35804272
340.0,340.0,0.46883538
341.0,341.0,0.39991707
342.0,342.0,0.0087982435
343.0,343.0,0.10448475
344.0,344.0,0.23888265
345.0,345.0,0.3257149
346.0,346.0,0.3813523
347.0,347.0,0.27366185
348.0,348.0,0.1205626
349.0,349.0,0.009656872
350.0,350.0,0.085381605
351.0,351.0,0.6839896
352.0,352.0,0.12006636
353.0,353.0,0.029387547
354.0,354.0,0.0861197
355.0,355.0,0.26040176
356.0,356.0,0.15219326
357.0,357.0,0.58388007
358.0,358.0,0.23274383
359.0,359.0,0.15801576
360.0,360.0,0.01216846
361.0,361.0,0.2943472
362.0,362.0,0.0733846
363.0,363.0,0.5223695
364.0,364.0,0.75283456
365.0,365.0,0.16940454
366.0,366.0,0.17518908
367.0,367.0,0.39791024
368.0,368.0,0.29594243
369.0,369.0,0.45822096
370.0,370.0,0.117631614
371.0,371.0,0.028441345
372.0,372.0,0.008203146
373.0,373.0,0.45336035
374.0,374.0,0.4264145
375.0,375.0,0.5044926
376.0,376.0,0.5834228
377.0,377.0,0.016590776
378.0,378.0,0.6912075
379.0,379.0,0.08050874
380.0,380.0,0.15318288
381.0,381.0,0.0068731746
382.0,382.0,0.43424025
383.0,383.0,0.67955536
384.0,384.0,0.10681277
385.0,385.0,0.13832943
386.0,386.0,0.07065587
387.0,387.0,0.5292101
388.0,388.0,0.030648552
389.0,389.0,0.16042529
390.0,390.0,0.04532215
391.0,391.0,0.17912589
392.0,392.0,0.70339334
393.0,393.0,0.38439873
394.0,394.0,0.0479946
395.0,395.0,0.076613754
396.0,396.0,0.06902907
397.0,397.0,0.4909453
398.0,398.0,0.0072649284
399.0,399.0,0.007789778
400.0,400.0,0.50354105
401.0,401.0,0.117215246
402.0,402.0,0.78476346
403.0,403.0,0.011230376
404.0,404.0,0.6890401
405.0,405.0,0.20813237
406.0,406.0,0.23971549
407.0,407.0,0.21203022
408.0,408.0,0.2403084
409.0,409.0,0.31317678
410.0,410.0,0.6192991
411.0,411.0,0.2258978
412.0,412.0,0.21990938
413.0,413.0,0.10376211
414.0,414.0,0.519962
415.0,415.0,0.6462153
416.0,416.0,0.7841698
417.0,417.0,0.3372425
418.0,418.0,0.1870434
419.0,419.0,0.3913955
