"","x"
"1","[1] 0.8409974"
"2","[1] 0.8510345"
"3","[1] 0.8518601"
"4","[1] 0.8546356"
"5","[1] 0.8708627"
"6","[1] 0.888176"
"7","[1] 0.8902228"
"8","[1] 0.9166827"
"9","[1] 0.9177272"
"10","[1] 0.9190206"
"11","[1] 0.9192558"
"12","[1] 0.9216021"
"13","[1] 0.9230591"
"14","[1] 0.9237163"
"15","[1] 0.9244195"
"16","[1] 0.9269484"
"17","[1] 0.9278123"
"18","[1] 0.9312865"
"19","[1] 0.9315098"
"20","[1] 0.9319385"
"21","[1] 0.9383664"
"22","[1] 0.9431807"
"23","[1] 0.9445922"
"24","[1] 0.9452519"
"25","[1] 0.9478829"
"26","[1] 0.9482243"
"27","[1] 0.9490707"
"28","[1] 0.949545"
"29","[1] 0.9497029"
"30","[1] 0.9512802"
"31","[1] 0.9516607"
"32","[1] 0.9518748"
"33","[1] 0.9521687"
"34","[1] 0.9525663"
"35","[1] 0.9533665"
"36","[1] 0.9534978"
"37","[1] 0.9537463"
"38","[1] 0.958157"
"39","[1] 0.9591687"
"40","[1] 0.9612598"
"41","[1] 0.9612926"
"42","[1] 0.9615753"
"43","[1] 0.9618203"
"44","[1] 0.9628903"
"45","[1] 0.9641336"
"46","[1] 0.9660093"
"47","[1] 0.9661801"
"48","[1] 0.9661983"
"49","[1] 0.9708586"
"50","[1] 0.9708976"
"51","[1] 0.9709586"
"52","[1] 0.9718862"
"53","[1] 0.9725324"
"54","[1] 0.9730226"
"55","[1] 0.9733808"
"56","[1] 0.973424"
"57","[1] 0.9737642"
"58","[1] 0.9746847"
"59","[1] 0.9747526"
"60","[1] 0.9748577"
"61","[1] 0.9767115"
"62","[1] 0.9770364"
"63","[1] 0.9771852"
"64","[1] 0.9776761"
"65","[1] 0.9788138"
"66","[1] 0.9797308"
"67","[1] 0.9797588"
"68","[1] 0.9801016"
"69","[1] 0.980261"
"70","[1] 0.9804814"
"71","[1] 0.9806695"
"72","[1] 0.9814974"
"73","[1] 0.9816416"
"74","[1] 0.9816809"
"75","[1] 0.9822263"
"76","[1] 0.9823769"
"77","[1] 0.9824307"
"78","[1] 0.9825537"
"79","[1] 0.9828364"
"80","[1] 0.983086"
"81","[1] 0.9834663"
"82","[1] 0.9836007"
"83","[1] 0.9837698"
"84","[1] 0.9843922"
"85","[1] 0.9845401"
"86","[1] 0.9845872"
"87","[1] 0.9849002"
"88","[1] 0.9851152"
"89","[1] 0.9852582"
"90","[1] 0.9855562"
"91","[1] 0.9855829"
"92","[1] 0.9856294"
"93","[1] 0.9858282"
"94","[1] 0.9885468"
"95","[1] 0.989031"
"96","[1] 0.992391"
"97","[1] 0.9924713"
"98","[1] 0.992583"
"99","[1] 0.9929888"
