"","x"
"1","[1] 0.8705606"
"2","[1] 0.8764284"
"3","[1] 0.8948394"
"4","[1] 0.8953601"
"5","[1] 0.8969706"
"6","[1] 0.8998377"
"7","[1] 0.9021386"
"8","[1] 0.9032986"
"9","[1] 0.9134547"
"10","[1] 0.9157136"
"11","[1] 0.9182393"
"12","[1] 0.9184819"
"13","[1] 0.9185598"
"14","[1] 0.9185916"
"15","[1] 0.9195719"
"16","[1] 0.9197299"
"17","[1] 0.9202139"
"18","[1] 0.9226669"
"19","[1] 0.9229168"
"20","[1] 0.9240889"
"21","[1] 0.9251134"
"22","[1] 0.9271357"
"23","[1] 0.9273422"
"24","[1] 0.928682"
"25","[1] 0.929499"
"26","[1] 0.930343"
"27","[1] 0.9303545"
"28","[1] 0.9320019"
"29","[1] 0.9327875"
"30","[1] 0.9334863"
"31","[1] 0.9339476"
"32","[1] 0.9348619"
"33","[1] 0.9354026"
"34","[1] 0.9367381"
"35","[1] 0.9373477"
"36","[1] 0.9388759"
"37","[1] 0.9391285"
"38","[1] 0.9403354"
"39","[1] 0.9409055"
"40","[1] 0.9414128"
"41","[1] 0.9436769"
"42","[1] 0.9438207"
"43","[1] 0.9443145"
"44","[1] 0.9460562"
"45","[1] 0.9462232"
"46","[1] 0.9470323"
"47","[1] 0.9479472"
"48","[1] 0.9502599"
"49","[1] 0.9503133"
"50","[1] 0.9613767"
"51","[1] 0.9614934"
"52","[1] 0.9641283"
"53","[1] 0.9703829"
"54","[1] 0.9727061"
"55","[1] 0.9733538"
"56","[1] 0.9734696"
"57","[1] 0.9756091"
"58","[1] 0.9775703"
"59","[1] 0.9775757"
"60","[1] 0.9777486"
"61","[1] 0.9784287"
"62","[1] 0.9789581"
"63","[1] 0.9793808"
"64","[1] 0.9798127"
"65","[1] 0.9801874"
"66","[1] 0.9804946"
"67","[1] 0.9813876"
"68","[1] 0.9832344"
"69","[1] 0.9834944"
"70","[1] 0.9841424"
"71","[1] 0.9849547"
"72","[1] 0.9862134"
"73","[1] 0.9862373"
"74","[1] 0.9865728"
"75","[1] 0.9870023"
"76","[1] 0.9885461"
"77","[1] 0.9886014"
"78","[1] 0.9887284"
"79","[1] 0.989155"
"80","[1] 0.9892825"
"81","[1] 0.9897146"
"82","[1] 0.9897783"
"83","[1] 0.9898122"
"84","[1] 0.9899972"
"85","[1] 0.990163"
"86","[1] 0.9903486"
"87","[1] 0.9909429"
"88","[1] 0.9910241"
"89","[1] 0.9911122"
"90","[1] 0.9915496"
"91","[1] 0.9915638"
"92","[1] 0.9917109"
"93","[1] 0.9917957"
"94","[1] 0.9919977"
"95","[1] 0.9925296"
"96","[1] 0.9928567"
"97","[1] 0.9929013"
"98","[1] 0.993145"
"99","[1] 0.9936792"
