"","x"
"1","[1] 0.9010351"
"2","[1] 0.9315389"
"3","[1] 0.9414198"
"4","[1] 0.9440826"
"5","[1] 0.9447226"
"6","[1] 0.9448591"
"7","[1] 0.9497892"
"8","[1] 0.9501304"
"9","[1] 0.9513876"
"10","[1] 0.9531696"
"11","[1] 0.9558325"
"12","[1] 0.9577774"
"13","[1] 0.9590844"
"14","[1] 0.9605601"
"15","[1] 0.9612134"
"16","[1] 0.9630728"
"17","[1] 0.9636181"
"18","[1] 0.9653452"
"19","[1] 0.9660351"
"20","[1] 0.9661513"
"21","[1] 0.9674105"
"22","[1] 0.9682649"
"23","[1] 0.9683749"
"24","[1] 0.9686069"
"25","[1] 0.9686527"
"26","[1] 0.9691009"
"27","[1] 0.9696193"
"28","[1] 0.9699007"
"29","[1] 0.9699374"
"30","[1] 0.9701551"
"31","[1] 0.9703937"
"32","[1] 0.9704973"
"33","[1] 0.9706641"
"34","[1] 0.9709417"
"35","[1] 0.9711968"
"36","[1] 0.9712007"
"37","[1] 0.9712427"
"38","[1] 0.9712459"
"39","[1] 0.9712939"
"40","[1] 0.971379"
"41","[1] 0.9714129"
"42","[1] 0.9715729"
"43","[1] 0.9716612"
"44","[1] 0.971694"
"45","[1] 0.9721178"
"46","[1] 0.9721859"
"47","[1] 0.9723151"
"48","[1] 0.9723926"
"49","[1] 0.9729731"
"50","[1] 0.973166"
"51","[1] 0.9736228"
"52","[1] 0.974074"
"53","[1] 0.9743626"
"54","[1] 0.9745639"
"55","[1] 0.9745719"
"56","[1] 0.9746589"
"57","[1] 0.9747941"
"58","[1] 0.9748311"
"59","[1] 0.9748426"
"60","[1] 0.9748797"
"61","[1] 0.9750159"
"62","[1] 0.9751564"
"63","[1] 0.9753608"
"64","[1] 0.9755492"
"65","[1] 0.9761868"
"66","[1] 0.9762364"
"67","[1] 0.9764009"
"68","[1] 0.9768462"
"69","[1] 0.9769644"
"70","[1] 0.9774223"
"71","[1] 0.977775"
"72","[1] 0.9778526"
"73","[1] 0.9778661"
"74","[1] 0.9785307"
"75","[1] 0.9789507"
"76","[1] 0.9789572"
"77","[1] 0.9791292"
"78","[1] 0.9794946"
"79","[1] 0.979732"
"80","[1] 0.9800829"
"81","[1] 0.9802153"
"82","[1] 0.9805261"
"83","[1] 0.9808532"
"84","[1] 0.9809027"
"85","[1] 0.9811524"
"86","[1] 0.9817585"
"87","[1] 0.9818301"
"88","[1] 0.9822219"
"89","[1] 0.9824911"
"90","[1] 0.9825566"
"91","[1] 0.9830229"
"92","[1] 0.983066"
"93","[1] 0.9834362"
"94","[1] 0.9839357"
"95","[1] 0.9841896"
"96","[1] 0.9860419"
"97","[1] 0.9863453"
"98","[1] 0.9866832"
"99","[1] 0.988218"
