"","x"
"1","[1] 0.7653089"
"2","[1] 0.7703063"
"3","[1] 0.7711407"
"4","[1] 0.7720598"
"5","[1] 0.7734544"
"6","[1] 0.7796204"
"7","[1] 0.7797561"
"8","[1] 0.7798418"
"9","[1] 0.7961602"
"10","[1] 0.7988307"
"11","[1] 0.8007725"
"12","[1] 0.801756"
"13","[1] 0.8046786"
"14","[1] 0.8058865"
"15","[1] 0.8114284"
"16","[1] 0.8190754"
"17","[1] 0.8221533"
"18","[1] 0.8247717"
"19","[1] 0.8254112"
"20","[1] 0.8293701"
"21","[1] 0.8304061"
"22","[1] 0.8316054"
"23","[1] 0.8339027"
"24","[1] 0.8371287"
"25","[1] 0.8398555"
"26","[1] 0.8399699"
"27","[1] 0.845092"
"28","[1] 0.8451813"
"29","[1] 0.8453867"
"30","[1] 0.8481253"
"31","[1] 0.8481267"
"32","[1] 0.8483581"
"33","[1] 0.8495981"
"34","[1] 0.8503838"
"35","[1] 0.8515158"
"36","[1] 0.8515203"
"37","[1] 0.8517228"
"38","[1] 0.8519111"
"39","[1] 0.8523571"
"40","[1] 0.8537599"
"41","[1] 0.8543057"
"42","[1] 0.8552546"
"43","[1] 0.8562552"
"44","[1] 0.8567051"
"45","[1] 0.8568254"
"46","[1] 0.8569455"
"47","[1] 0.8576546"
"48","[1] 0.857696"
"49","[1] 0.8577924"
"50","[1] 0.857974"
"51","[1] 0.8580507"
"52","[1] 0.8580539"
"53","[1] 0.8586911"
"54","[1] 0.8591698"
"55","[1] 0.8592083"
"56","[1] 0.859622"
"57","[1] 0.860004"
"58","[1] 0.8600915"
"59","[1] 0.86131"
"60","[1] 0.861683"
"61","[1] 0.8617659"
"62","[1] 0.8618363"
"63","[1] 0.8633091"
"64","[1] 0.8644277"
"65","[1] 0.8656097"
"66","[1] 0.8657146"
"67","[1] 0.8668085"
"68","[1] 0.8684061"
"69","[1] 0.8705336"
"70","[1] 0.8706125"
"71","[1] 0.8708614"
"72","[1] 0.8736431"
"73","[1] 0.8746549"
"74","[1] 0.8751922"
"75","[1] 0.8777986"
"76","[1] 0.8801977"
"77","[1] 0.8803767"
"78","[1] 0.8825194"
"79","[1] 0.8835413"
"80","[1] 0.8841949"
"81","[1] 0.8847617"
"82","[1] 0.8851534"
"83","[1] 0.8882089"
"84","[1] 0.8883677"
"85","[1] 0.8901368"
"86","[1] 0.8904"
"87","[1] 0.891107"
"88","[1] 0.8920436"
"89","[1] 0.8926575"
"90","[1] 0.8929642"
"91","[1] 0.8929975"
"92","[1] 0.8936264"
"93","[1] 0.8951337"
"94","[1] 0.8955754"
"95","[1] 0.896577"
"96","[1] 0.8979667"
"97","[1] 0.8989259"
"98","[1] 0.8991735"
"99","[1] 0.9030679"
