"","x"
"1","[1] 0.9070762"
"2","[1] 0.9191133"
"3","[1] 0.9236156"
"4","[1] 0.9252596"
"5","[1] 0.9273717"
"6","[1] 0.9321044"
"7","[1] 0.9374609"
"8","[1] 0.9508498"
"9","[1] 0.9510413"
"10","[1] 0.9517466"
"11","[1] 0.9532074"
"12","[1] 0.9532523"
"13","[1] 0.9532864"
"14","[1] 0.9550856"
"15","[1] 0.9557217"
"16","[1] 0.9558675"
"17","[1] 0.9573004"
"18","[1] 0.9575929"
"19","[1] 0.9577991"
"20","[1] 0.9589258"
"21","[1] 0.9600175"
"22","[1] 0.9613252"
"23","[1] 0.9619059"
"24","[1] 0.9624298"
"25","[1] 0.9627889"
"26","[1] 0.9629784"
"27","[1] 0.9630688"
"28","[1] 0.9647098"
"29","[1] 0.9650231"
"30","[1] 0.9652029"
"31","[1] 0.9653768"
"32","[1] 0.9656541"
"33","[1] 0.9657111"
"34","[1] 0.9663494"
"35","[1] 0.9675967"
"36","[1] 0.9676593"
"37","[1] 0.9677298"
"38","[1] 0.9678143"
"39","[1] 0.967967"
"40","[1] 0.9680757"
"41","[1] 0.9686387"
"42","[1] 0.9687523"
"43","[1] 0.9688773"
"44","[1] 0.9690356"
"45","[1] 0.9690842"
"46","[1] 0.9693789"
"47","[1] 0.9696459"
"48","[1] 0.969768"
"49","[1] 0.9700016"
"50","[1] 0.9704095"
"51","[1] 0.9704285"
"52","[1] 0.9712902"
"53","[1] 0.9717195"
"54","[1] 0.9717868"
"55","[1] 0.9723227"
"56","[1] 0.9723435"
"57","[1] 0.9726112"
"58","[1] 0.9727054"
"59","[1] 0.9728473"
"60","[1] 0.9729083"
"61","[1] 0.9732825"
"62","[1] 0.9736438"
"63","[1] 0.9743933"
"64","[1] 0.9744197"
"65","[1] 0.9748398"
"66","[1] 0.975484"
"67","[1] 0.975925"
"68","[1] 0.976622"
"69","[1] 0.9767669"
"70","[1] 0.9770925"
"71","[1] 0.9771466"
"72","[1] 0.977256"
"73","[1] 0.9773797"
"74","[1] 0.9775103"
"75","[1] 0.977899"
"76","[1] 0.9779726"
"77","[1] 0.9782539"
"78","[1] 0.9783267"
"79","[1] 0.9786572"
"80","[1] 0.9789538"
"81","[1] 0.9793004"
"82","[1] 0.9799553"
"83","[1] 0.9802923"
"84","[1] 0.9803348"
"85","[1] 0.9804704"
"86","[1] 0.9805561"
"87","[1] 0.9808869"
"88","[1] 0.9811358"
"89","[1] 0.981167"
"90","[1] 0.9814"
"91","[1] 0.9817116"
"92","[1] 0.9820844"
"93","[1] 0.9825035"
"94","[1] 0.9833992"
"95","[1] 0.9836807"
"96","[1] 0.9837098"
"97","[1] 0.9842344"
"98","[1] 0.9856497"
"99","[1] 0.9885409"
